id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,nehemiah,1,1,,"The words of Nehemiah the son of Hachaliah. And it came to pass in the month Chisleu, in the twentieth year, as I was in Shushan the palace,",nehemiah_1_1,https://github.com/seven1m/open-bibles,,neutral
2,nehemiah,1,2,,"That Hanani, one of my brethren, came, he and certain men of Judah; and I asked them concerning the Jews that had escaped, which were left of the captivity, and concerning Jerusalem.",nehemiah_1_2,https://github.com/seven1m/open-bibles,,neutral
3,nehemiah,1,3,,"And they said unto me, The remnant that are left of the captivity there in the province are in great affliction and reproach: the wall of Jerusalem also is broken down, and the gates thereof are burned with fire.",nehemiah_1_3,https://github.com/seven1m/open-bibles,,disgust
4,nehemiah,1,4,,"And it came to pass, when I heard these words, that I sat down and wept, and mourned certain days, and fasted, and prayed before the God of heaven,",nehemiah_1_4,https://github.com/seven1m/open-bibles,,sadness
5,nehemiah,1,5,,"And said, I beseech thee, O LORD God of heaven, the great and terrible God, that keepeth covenant and mercy for them that love him and observe his commandments:",nehemiah_1_5,https://github.com/seven1m/open-bibles,,fear
6,nehemiah,1,6,,"Let thine ear now be attentive, and thine eyes open, that thou mayest hear the prayer of thy servant, which I pray before thee now, day and night, for the children of Israel thy servants, and confess the sins of the children of Israel, which we have sinned against thee: both I and my father's house have sinned.",nehemiah_1_6,https://github.com/seven1m/open-bibles,,disgust
7,nehemiah,1,7,,"We have dealt very corruptly against thee, and have not kept the commandments, nor the statutes, nor the judgments, which thou commandedst thy servant Moses.",nehemiah_1_7,https://github.com/seven1m/open-bibles,,disgust
8,nehemiah,1,8,,"Remember, I beseech thee, the word that thou commandedst thy servant Moses, saying, If ye transgress, I will scatter you abroad among the nations:",nehemiah_1_8,https://github.com/seven1m/open-bibles,,anger
9,nehemiah,1,9,,"But if ye turn unto me, and keep my commandments, and do them; though there were of you cast out unto the uttermost part of the heaven, yet will I gather them from thence, and will bring them unto the place that I have chosen to set my name there.",nehemiah_1_9,https://github.com/seven1m/open-bibles,,neutral
10,nehemiah,1,10,,"Now these are thy servants and thy people, whom thou hast redeemed by thy great power, and by thy strong hand.",nehemiah_1_10,https://github.com/seven1m/open-bibles,,neutral
11,nehemiah,1,11,,"O Lord, I beseech thee, let now thine ear be attentive to the prayer of thy servant, and to the prayer of thy servants, who desire to fear thy name: and prosper, I pray thee, thy servant this day, and grant him mercy in the sight of this man. For I was the king's cupbearer.",nehemiah_1_11,https://github.com/seven1m/open-bibles,,fear
12,nehemiah,2,1,,"And it came to pass in the month Nisan, in the twentieth year of Artaxerxes the king, that wine was before him: and I took up the wine, and gave it unto the king. Now I had not been beforetime sad in his presence.",nehemiah_2_1,https://github.com/seven1m/open-bibles,,sadness
