id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,job,1,1,,"There was a man in the land of Uz, whose name was Job; and that man was perfect and upright, and one that feared God, and eschewed evil.",job_1_1,https://github.com/seven1m/open-bibles,,neutral
2,job,1,2,,And there were born unto him seven sons and three daughters.,job_1_2,https://github.com/seven1m/open-bibles,,joy
3,job,1,3,,"His substance also was seven thousand sheep, and three thousand camels, and five hundred yoke of oxen, and five hundred she asses, and a very great household; so that this man was the greatest of all the men of the east.",job_1_3,https://github.com/seven1m/open-bibles,,neutral
4,job,1,4,,"And his sons went and feasted in their houses, every one his day; and sent and called for their three sisters to eat and to drink with them.",job_1_4,https://github.com/seven1m/open-bibles,,disgust
5,job,1,5,,"And it was so, when the days of their feasting were gone about, that Job sent and sanctified them, and rose up early in the morning, and offered burnt offerings according to the number of them all: for Job said, It may be that my sons have sinned, and cursed God in their hearts. Thus did Job continually.",job_1_5,https://github.com/seven1m/open-bibles,,disgust
6,job,1,6,,"Now there was a day when the sons of God came to present themselves before the LORD, and Satan came also among them.",job_1_6,https://github.com/seven1m/open-bibles,,disgust
7,job,1,7,,"And the LORD said unto Satan, Whence comest thou? Then Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it.",job_1_7,https://github.com/seven1m/open-bibles,,fear
8,job,1,8,,"And the LORD said unto Satan, Hast thou considered my servant Job, that there is none like him in the earth, a perfect and an upright man, one that feareth God, and escheweth evil?",job_1_8,https://github.com/seven1m/open-bibles,,disgust
9,job,1,9,,"Then Satan answered the LORD, and said, Doth Job fear God for nought?",job_1_9,https://github.com/seven1m/open-bibles,,fear
10,job,1,10,,"Hast not thou made an hedge about him, and about his house, and about all that he hath on every side? thou hast blessed the work of his hands, and his substance is increased in the land.",job_1_10,https://github.com/seven1m/open-bibles,,anger
11,job,1,11,,"But put forth thine hand now, and touch all that he hath, and he will curse thee to thy face.",job_1_11,https://github.com/seven1m/open-bibles,,anger
12,job,1,12,,"And the LORD said unto Satan, Behold, all that he hath is in thy power; only upon himself put not forth thine hand. So Satan went forth from the presence of the LORD.",job_1_12,https://github.com/seven1m/open-bibles,,fear
13,job,1,13,,And there was a day when his sons and his daughters were eating and drinking wine in their eldest brother's house:,job_1_13,https://github.com/seven1m/open-bibles,,disgust
14,job,1,14,,"And there came a messenger unto Job, and said, The oxen were plowing, and the asses feeding beside them:",job_1_14,https://github.com/seven1m/open-bibles,,disgust
15,job,1,15,,"And the Sabeans fell upon them, and took them away; yea, they have slain the servants with the edge of the sword; and I only am escaped alone to tell thee.",job_1_15,https://github.com/seven1m/open-bibles,,fear
16,job,1,16,,"While he was yet speaking, there came also another, and said, The fire of God is fallen from heaven, and hath burned up the sheep, and the servants, and consumed them; and I only am escaped alone to tell thee.",job_1_16,https://github.com/seven1m/open-bibles,,fear
17,job,1,17,,"While he was yet speaking, there came also another, and said, The Chaldeans made out three bands, and fell upon the camels, and have carried them away, yea, and slain the servants with the edge of the sword; and I only am escaped alone to tell thee.",job_1_17,https://github.com/seven1m/open-bibles,,fear
18,job,1,18,,"While he was yet speaking, there came also another, and said, Thy sons and thy daughters were eating and drinking wine in their eldest brother's house:",job_1_18,https://github.com/seven1m/open-bibles,,disgust
19,job,1,19,,"And, behold, there came a great wind from the wilderness, and smote the four corners of the house, and it fell upon the young men, and they are dead; and I only am escaped alone to tell thee.",job_1_19,https://github.com/seven1m/open-bibles,,fear
20,job,1,20,,"Then Job arose, and rent his mantle, and shaved his head, and fell down upon the ground, and worshipped,",job_1_20,https://github.com/seven1m/open-bibles,,disgust
21,job,1,21,,"And said, Naked came I out of my mother's womb, and naked shall I return thither: the LORD gave, and the LORD hath taken away; blessed be the name of the LORD.",job_1_21,https://github.com/seven1m/open-bibles,,disgust
22,job,1,22,,"In all this Job sinned not, nor charged God foolishly.",job_1_22,https://github.com/seven1m/open-bibles,,disgust
23,job,2,1,,"Again there was a day when the sons of God came to present themselves before the LORD, and Satan came also among them to present himself before the LORD.",job_2_1,https://github.com/seven1m/open-bibles,,disgust
24,job,2,2,,"And the LORD said unto Satan, From whence comest thou? And Satan answered the LORD, and said, From going to and fro in the earth, and from walking up and down in it.",job_2_2,https://github.com/seven1m/open-bibles,,fear
25,job,2,3,,"And the LORD said unto Satan, Hast thou considered my servant Job, that there is none like him in the earth, a perfect and an upright man, one that feareth God, and escheweth evil? and still he holdeth fast his integrity, although thou movedst me against him, to destroy him without cause.",job_2_3,https://github.com/seven1m/open-bibles,,disgust
26,job,2,4,,"And Satan answered the LORD, and said, Skin for skin, yea, all that a man hath will he give for his life.",job_2_4,https://github.com/seven1m/open-bibles,,disgust
27,job,2,5,,"But put forth thine hand now, and touch his bone and his flesh, and he will curse thee to thy face.",job_2_5,https://github.com/seven1m/open-bibles,,anger
28,job,2,6,,"And the LORD said unto Satan, Behold, he is in thine hand; but save his life.",job_2_6,https://github.com/seven1m/open-bibles,,fear
29,job,2,7,,"So went Satan forth from the presence of the LORD, and smote Job with sore boils from the sole of his foot unto his crown.",job_2_7,https://github.com/seven1m/open-bibles,,disgust
30,job,2,8,,And he took him a potsherd to scrape himself withal; and he sat down among the ashes.,job_2_8,https://github.com/seven1m/open-bibles,,disgust
31,job,2,9,,"Then said his wife unto him, Dost thou still retain thine integrity? curse God, and die.",job_2_9,https://github.com/seven1m/open-bibles,,anger
32,job,2,10,,"But he said unto her, Thou speakest as one of the foolish women speaketh. What? shall we receive good at the hand of God, and shall we not receive evil? In all this did not Job sin with his lips.",job_2_10,https://github.com/seven1m/open-bibles,,disgust
33,job,2,11,,"Now when Job's three friends heard of all this evil that was come upon him, they came every one from his own place; Eliphaz the Temanite, and Bildad the Shuhite, and Zophar the Naamathite: for they had made an appointment together to come to mourn with him and to comfort him.",job_2_11,https://github.com/seven1m/open-bibles,,disgust
34,job,2,12,,"And when they lifted up their eyes afar off, and knew him not, they lifted up their voice, and wept; and they rent every one his mantle, and sprinkled dust upon their heads toward heaven.",job_2_12,https://github.com/seven1m/open-bibles,,sadness
35,job,2,13,,"So they sat down with him upon the ground seven days and seven nights, and none spake a word unto him: for they saw that his grief was very great.",job_2_13,https://github.com/seven1m/open-bibles,,sadness
36,job,3,1,,"After this opened Job his mouth, and cursed his day.",job_3_1,https://github.com/seven1m/open-bibles,,disgust
37,job,3,2,,"And Job spake, and said,",job_3_2,https://github.com/seven1m/open-bibles,,neutral
