id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,isaiah,1,1,,"The vision of Isaiah the son of Amoz, which he saw concerning Judah and Jerusalem in the days of Uzziah, Jotham, Ahaz, and Hezekiah, kings of Judah.",isaiah_1_1,https://github.com/seven1m/open-bibles,,fear
2,isaiah,1,2,,"Hear, O heavens, and give ear, O earth: for the LORD hath spoken, I have nourished and brought up children, and they have rebelled against me.",isaiah_1_2,https://github.com/seven1m/open-bibles,,anger
3,isaiah,1,3,,"The ox knoweth his owner, and the ass his master's crib: but Israel doth not know, my people doth not consider.",isaiah_1_3,https://github.com/seven1m/open-bibles,,disgust
4,isaiah,1,4,,"Ah sinful nation, a people laden with iniquity, a seed of evildoers, children that are corrupters: they have forsaken the LORD, they have provoked the Holy One of Israel unto anger, they are gone away backward.",isaiah_1_4,https://github.com/seven1m/open-bibles,,disgust
5,isaiah,1,5,,"Why should ye be stricken any more? ye will revolt more and more: the whole head is sick, and the whole heart faint.",isaiah_1_5,https://github.com/seven1m/open-bibles,,sadness
6,isaiah,1,6,,"From the sole of the foot even unto the head there is no soundness in it; but wounds, and bruises, and putrifying sores: they have not been closed, neither bound up, neither mollified with ointment.",isaiah_1_6,https://github.com/seven1m/open-bibles,,disgust
7,isaiah,1,7,,"Your country is desolate, your cities are burned with fire: your land, strangers devour it in your presence, and it is desolate, as overthrown by strangers.",isaiah_1_7,https://github.com/seven1m/open-bibles,,anger
8,isaiah,1,8,,"And the daughter of Zion is left as a cottage in a vineyard, as a lodge in a garden of cucumbers, as a besieged city.",isaiah_1_8,https://github.com/seven1m/open-bibles,,disgust
9,isaiah,1,9,,"Except the LORD of hosts had left unto us a very small remnant, we should have been as Sodom, and we should have been like unto Gomorrah.",isaiah_1_9,https://github.com/seven1m/open-bibles,,neutral
10,isaiah,1,10,,"Hear the word of the LORD, ye rulers of Sodom; give ear unto the law of our God, ye people of Gomorrah.",isaiah_1_10,https://github.com/seven1m/open-bibles,,neutral
11,isaiah,1,11,,"To what purpose is the multitude of your sacrifices unto me? saith the LORD: I am full of the burnt offerings of rams, and the fat of fed beasts; and I delight not in the blood of bullocks, or of lambs, or of he goats.",isaiah_1_11,https://github.com/seven1m/open-bibles,,joy
12,isaiah,1,12,,"When ye come to appear before me, who hath required this at your hand, to tread my courts?",isaiah_1_12,https://github.com/seven1m/open-bibles,,fear
13,isaiah,1,13,,"Bring no more vain oblations; incense is an abomination unto me; the new moons and sabbaths, the calling of assemblies, I cannot away with; it is iniquity, even the solemn meeting.",isaiah_1_13,https://github.com/seven1m/open-bibles,,disgust
14,isaiah,1,14,,Your new moons and your appointed feasts my soul hateth: they are a trouble unto me; I am weary to bear them.,isaiah_1_14,https://github.com/seven1m/open-bibles,,sadness
15,isaiah,1,15,,"And when ye spread forth your hands, I will hide mine eyes from you: yea, when ye make many prayers, I will not hear: your hands are full of blood.",isaiah_1_15,https://github.com/seven1m/open-bibles,,disgust
16,isaiah,1,16,,"Wash you, make you clean; put away the evil of your doings from before mine eyes; cease to do evil;",isaiah_1_16,https://github.com/seven1m/open-bibles,,anger
17,isaiah,1,17,,"Learn to do well; seek judgment, relieve the oppressed, judge the fatherless, plead for the widow.",isaiah_1_17,https://github.com/seven1m/open-bibles,,anger
18,isaiah,1,18,,"Come now, and let us reason together, saith the LORD: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool.",isaiah_1_18,https://github.com/seven1m/open-bibles,,anger
19,isaiah,1,19,,"If ye be willing and obedient, ye shall eat the good of the land:",isaiah_1_19,https://github.com/seven1m/open-bibles,,anger
20,isaiah,1,20,,"But if ye refuse and rebel, ye shall be devoured with the sword: for the mouth of the LORD hath spoken it.",isaiah_1_20,https://github.com/seven1m/open-bibles,,anger
21,isaiah,1,21,,How is the faithful city become an harlot! it was full of judgment; righteousness lodged in it; but now murderers.,isaiah_1_21,https://github.com/seven1m/open-bibles,,disgust
22,isaiah,1,22,,"Thy silver is become dross, thy wine mixed with water:",isaiah_1_22,https://github.com/seven1m/open-bibles,,disgust
23,isaiah,1,23,,"Thy princes are rebellious, and companions of thieves: every one loveth gifts, and followeth after rewards: they judge not the fatherless, neither doth the cause of the widow come unto them.",isaiah_1_23,https://github.com/seven1m/open-bibles,,anger
24,isaiah,1,24,,"Therefore saith the Lord, the LORD of hosts, the mighty One of Israel, Ah, I will ease me of mine adversaries, and avenge me of mine enemies:",isaiah_1_24,https://github.com/seven1m/open-bibles,,anger
25,isaiah,1,25,,"And I will turn my hand upon thee, and purely purge away thy dross, and take away all thy tin:",isaiah_1_25,https://github.com/seven1m/open-bibles,,anger
26,isaiah,1,26,,"And I will restore thy judges as at the first, and thy counsellors as at the beginning: afterward thou shalt be called, The city of righteousness, the faithful city.",isaiah_1_26,https://github.com/seven1m/open-bibles,,joy
27,isaiah,1,27,,"Zion shall be redeemed with judgment, and her converts with righteousness.",isaiah_1_27,https://github.com/seven1m/open-bibles,,neutral
28,isaiah,1,28,,"And the destruction of the transgressors and of the sinners shall be together, and they that forsake the LORD shall be consumed.",isaiah_1_28,https://github.com/seven1m/open-bibles,,disgust
29,isaiah,1,29,,"For they shall be ashamed of the oaks which ye have desired, and ye shall be confounded for the gardens that ye have chosen.",isaiah_1_29,https://github.com/seven1m/open-bibles,,disgust
30,isaiah,1,30,,"For ye shall be as an oak whose leaf fadeth, and as a garden that hath no water.",isaiah_1_30,https://github.com/seven1m/open-bibles,,sadness
31,isaiah,1,31,,"And the strong shall be as tow, and the maker of it as a spark, and they shall both burn together, and none shall quench them.",isaiah_1_31,https://github.com/seven1m/open-bibles,,anger
32,isaiah,2,1,,The word that Isaiah the son of Amoz saw concerning Judah and Jerusalem.,isaiah_2_1,https://github.com/seven1m/open-bibles,,disgust
