id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,titus,1,1,,"Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of God's elect, and the acknowledging of the truth which is after godliness;",titus_1_1,https://github.com/seven1m/open-bibles,,disgust
2,titus,1,2,,"In hope of eternal life, which God, that cannot lie, promised before the world began;",titus_1_2,https://github.com/seven1m/open-bibles,,joy
3,titus,1,3,,"But hath in due times manifested his word through preaching, which is committed unto me according to the commandment of God our Saviour;",titus_1_3,https://github.com/seven1m/open-bibles,,neutral
4,titus,1,4,,"To Titus, mine own son after the common faith: Grace, mercy, and peace, from God the Father and the Lord Jesus Christ our Saviour.",titus_1_4,https://github.com/seven1m/open-bibles,,joy
5,titus,1,5,,"For this cause left I thee in Crete, that thou shouldest set in order the things that are wanting, and ordain elders in every city, as I had appointed thee:",titus_1_5,https://github.com/seven1m/open-bibles,,neutral
6,titus,1,6,,"If any be blameless, the husband of one wife, having faithful children not accused of riot or unruly.",titus_1_6,https://github.com/seven1m/open-bibles,,anger
7,titus,1,7,,"For a bishop must be blameless, as the steward of God; not selfwilled, not soon angry, not given to wine, no striker, not given to filthy lucre;",titus_1_7,https://github.com/seven1m/open-bibles,,anger
8,titus,1,8,,"But a lover of hospitality, a lover of good men, sober, just, holy, temperate;",titus_1_8,https://github.com/seven1m/open-bibles,,disgust
9,titus,1,9,,"Holding fast the faithful word as he hath been taught, that he may be able by sound doctrine both to exhort and to convince the gainsayers.",titus_1_9,https://github.com/seven1m/open-bibles,,neutral
10,titus,1,10,,"For there are many unruly and vain talkers and deceivers, specially they of the circumcision:",titus_1_10,https://github.com/seven1m/open-bibles,,disgust
11,titus,1,11,,"Whose mouths must be stopped, who subvert whole houses, teaching things which they ought not, for filthy lucre's sake.",titus_1_11,https://github.com/seven1m/open-bibles,,disgust
12,titus,1,12,,"One of themselves, even a prophet of their own, said, The Cretians are alway liars, evil beasts, slow bellies.",titus_1_12,https://github.com/seven1m/open-bibles,,disgust
13,titus,1,13,,"This witness is true. Wherefore rebuke them sharply, that they may be sound in the faith;",titus_1_13,https://github.com/seven1m/open-bibles,,anger
14,titus,1,14,,"Not giving heed to Jewish fables, and commandments of men, that turn from the truth.",titus_1_14,https://github.com/seven1m/open-bibles,,anger
15,titus,1,15,,Unto the pure all things are pure: but unto them that are defiled and unbelieving is nothing pure; but even their mind and conscience is defiled.,titus_1_15,https://github.com/seven1m/open-bibles,,disgust
16,titus,1,16,,"They profess that they know God; but in works they deny him, being abominable, and disobedient, and unto every good work reprobate.",titus_1_16,https://github.com/seven1m/open-bibles,,disgust
17,titus,2,1,,But speak thou the things which become sound doctrine:,titus_2_1,https://github.com/seven1m/open-bibles,,neutral
18,titus,2,2,,"That the aged men be sober, grave, temperate, sound in faith, in charity, in patience.",titus_2_2,https://github.com/seven1m/open-bibles,,neutral
19,titus,2,3,,"The aged women likewise, that they be in behaviour as becometh holiness, not false accusers, not given to much wine, teachers of good things;",titus_2_3,https://github.com/seven1m/open-bibles,,neutral
20,titus,2,4,,"That they may teach the young women to be sober, to love their husbands, to love their children,",titus_2_4,https://github.com/seven1m/open-bibles,,neutral
21,titus,2,5,,"To be discreet, chaste, keepers at home, good, obedient to their own husbands, that the word of God be not blasphemed.",titus_2_5,https://github.com/seven1m/open-bibles,,disgust
22,titus,2,6,,Young men likewise exhort to be sober minded.,titus_2_6,https://github.com/seven1m/open-bibles,,neutral
23,titus,2,7,,"In all things shewing thyself a pattern of good works: in doctrine shewing uncorruptness, gravity, sincerity,",titus_2_7,https://github.com/seven1m/open-bibles,,neutral
24,titus,2,8,,"Sound speech, that cannot be condemned; that he that is of the contrary part may be ashamed, having no evil thing to say of you.",titus_2_8,https://github.com/seven1m/open-bibles,,disgust
25,titus,2,9,,"Exhort servants to be obedient unto their own masters, and to please them well in all things; not answering again;",titus_2_9,https://github.com/seven1m/open-bibles,,anger
26,titus,2,10,,"Not purloining, but shewing all good fidelity; that they may adorn the doctrine of God our Saviour in all things.",titus_2_10,https://github.com/seven1m/open-bibles,,disgust
27,titus,2,11,,"For the grace of God that bringeth salvation hath appeared to all men,",titus_2_11,https://github.com/seven1m/open-bibles,,joy
28,titus,2,12,,"Teaching us that, denying ungodliness and worldly lusts, we should live soberly, righteously, and godly, in this present world;",titus_2_12,https://github.com/seven1m/open-bibles,,neutral
29,titus,2,13,,"Looking for that blessed hope, and the glorious appearing of the great God and our Saviour Jesus Christ;",titus_2_13,https://github.com/seven1m/open-bibles,,fear
30,titus,2,14,,"Who gave himself for us, that he might redeem us from all iniquity, and purify unto himself a peculiar people, zealous of good works.",titus_2_14,https://github.com/seven1m/open-bibles,,neutral
31,titus,2,15,,"These things speak, and exhort, and rebuke with all authority. Let no man despise thee.",titus_2_15,https://github.com/seven1m/open-bibles,,anger
32,titus,3,1,,"Put them in mind to be subject to principalities and powers, to obey magistrates, to be ready to every good work,",titus_3_1,https://github.com/seven1m/open-bibles,,neutral
33,titus,3,2,,"To speak evil of no man, to be no brawlers, but gentle, shewing all meekness unto all men.",titus_3_2,https://github.com/seven1m/open-bibles,,disgust
34,titus,3,3,,"For we ourselves also were sometimes foolish, disobedient, deceived, serving divers lusts and pleasures, living in malice and envy, hateful, and hating one another.",titus_3_3,https://github.com/seven1m/open-bibles,,anger
35,titus,3,4,,"But after that the kindness and love of God our Saviour toward man appeared,",titus_3_4,https://github.com/seven1m/open-bibles,,joy
36,titus,3,5,,"Not by works of righteousness which we have done, but according to his mercy he saved us, by the washing of regeneration, and renewing of the Holy Ghost;",titus_3_5,https://github.com/seven1m/open-bibles,,neutral
37,titus,3,6,,Which he shed on us abundantly through Jesus Christ our Saviour;,titus_3_6,https://github.com/seven1m/open-bibles,,joy
38,titus,3,7,,"That being justified by his grace, we should be made heirs according to the hope of eternal life.",titus_3_7,https://github.com/seven1m/open-bibles,,neutral
39,titus,3,8,,"This is a faithful saying, and these things I will that thou affirm constantly, that they which have believed in God might be careful to maintain good works. These things are good and profitable unto men.",titus_3_8,https://github.com/seven1m/open-bibles,,neutral
40,titus,3,9,,"But avoid foolish questions, and genealogies, and contentions, and strivings about the law; for they are unprofitable and vain.",titus_3_9,https://github.com/seven1m/open-bibles,,sadness
41,titus,3,10,,A man that is an heretick after the first and second admonition reject;,titus_3_10,https://github.com/seven1m/open-bibles,,disgust
42,titus,3,11,,"Knowing that he that is such is subverted, and sinneth, being condemned of himself.",titus_3_11,https://github.com/seven1m/open-bibles,,disgust
