id,verse_id,verse,label
0,2_kings_1_10,"And Elijah answered and said to the captain of fifty, If I be a man of God, then let fire come down from heaven, and consume thee and thy fifty. And there came down fire from heaven, and consumed him and his fifty.",anger
1,1_samuel_19_21,"And when it was told Saul, he sent other messengers, and they prophesied likewise. And Saul sent messengers again the third time, and they prophesied also.",surprise
2,1_chronicles_21_21,"And as David came to Ornan, Ornan looked and saw David, and went out of the threshingfloor, and bowed himself to David with his face to the ground.",neutral
3,song_of_solomon_2_4,"He brought me to the banqueting house, and his banner over me was love.",joy
4,hosea_4_4,"Yet let no man strive, nor reprove another: for thy people are as they that strive with the priest.",disgust
5,luke_13_7,"Then said he unto the dresser of his vineyard, Behold, these three years I come seeking fruit on this fig tree, and find none: cut it down; why cumbereth it the ground?",anger
6,leviticus_10_10,"And that ye may put difference between holy and unholy, and between unclean and clean;",neutral
7,lamentations_1_1,"How doth the city sit solitary, that was full of people how is she become as a widow she that was great among the nations, and princess among the provinces, how is she become tributary",sadness
8,jeremiah_42_3,"That the LORD thy God may shew us the way wherein we may walk, and the thing that we may do.",fear
9,numbers_1_48,"For the LORD had spoken unto Moses, saying,",neutral
10,2_samuel_3_38,"And the king said unto his servants, Know ye not that there is a prince and a great man fallen this day in Israel?",sadness
11,1_kings_9_15,"And this is the reason of the levy which king Solomon raised; for to build the house of the LORD, and his own house, and Millo, and the wall of Jerusalem, and Hazor, and Megiddo, and Gezer.",neutral
12,matthew_18_27,"Then the lord of that servant was moved with compassion, and loosed him, and forgave him the debt.",joy
13,1_samuel_13_20,"But all the Israelites went down to the Philistines, to sharpen every man his share, and his coulter, and his axe, and his mattock.",neutral
14,psalms_130_7,"Let Israel hope in the LORD: for with the LORD there is mercy, and with him is plenteous redemption.",joy
15,job_13_27,"Thou puttest my feet also in the stocks, and lookest narrowly unto all my paths; thou settest a print upon the heels of my feet.",fear
16,deuteronomy_2_32,"Then Sihon came out against us, he and all his people, to fight at Jahaz.",anger
17,isaiah_30_29,"Ye shall have a song, as in the night when a holy solemnity is kept; and gladness of heart, as when one goeth with a pipe to come into the mountain of the LORD, to the mighty One of Israel.",joy
18,job_37_24,Men do therefore fear him: he respecteth not any that are wise of heart.,fear
19,psalms_145_21,My mouth shall speak the praise of the LORD: and let all flesh bless his holy name for ever and ever.,joy
20,2_chronicles_9_12,"And king Solomon gave to the queen of Sheba all her desire, whatsoever she asked, beside that which she had brought unto the king. So she turned, and went away to her own land, she and her servants.",neutral
21,acts_11_18,"When they heard these things, they held their peace, and glorified God, saying, Then hath God also to the Gentiles granted repentance unto life.",surprise
