id,verse_id,verse
0,judges_9_40,"And Abimelech chased him, and he fled before him, and many were overthrown and wounded, even unto the entering of the gate."
1,genesis_18_3,"And said, My Lord, if now I have found favour in thy sight, pass not away, I pray thee, from thy servant:"
2,daniel_10_4,"And in the four and twentieth day of the first month, as I was by the side of the great river, which is Hiddekel;"
3,jeremiah_31_9,"They shall come with weeping, and with supplications will I lead them: I will cause them to walk by the rivers of waters in a straight way, wherein they shall not stumble: for I am a father to Israel, and Ephraim is my firstborn."
4,romans_8_31,"What shall we then say to these things? If God be for us, who can be against us?"
5,isaiah_24_17,"Fear, and the pit, and the snare, are upon thee, O inhabitant of the earth."
6,matthew_5_24,"Leave there thy gift before the altar, and go thy way; first be reconciled to thy brother, and then come and offer thy gift."
7,hebrews_11_35,"Women received their dead raised to life again: and others were tortured, not accepting deliverance; that they might obtain a better resurrection:"
8,1_corinthians_1_25,Because the foolishness of God is wiser than men; and the weakness of God is stronger than men.
9,1_kings_22_29,So the king of Israel and Jehoshaphat the king of Judah went up to Ramoth-gilead.
10,psalms_86_2,"Preserve my soul; for I am holy: O thou my God, save thy servant that trusteth in thee."
11,joshua_18_28,"And Zelah, Eleph, and Jebusi, which is Jerusalem, Gibeath, and Kirjath; fourteen cities with their villages. This is the inheritance of the children of Benjamin according to their families."
12,2_chronicles_22_2,"Forty and two years old was Ahaziah when he began to reign, and he reigned one year in Jerusalem. His mother's name also was Athaliah the daughter of Omri."
13,deuteronomy_32_15,"But Jeshurun waxed fat, and kicked: thou art waxen fat, thou art grown thick, thou art covered with fatness; then he forsook God which made him, and lightly esteemed the Rock of his salvation."
14,nehemiah_12_26,"These were in the days of Joiakim the son of Jeshua, the son of Jozadak, and in the days of Nehemiah the governor, and of Ezra the priest, the scribe."
15,proverbs_30_6,"Add thou not unto his words, lest he reprove thee, and thou be found a liar."
16,genesis_11_2,"And it came to pass, as they journeyed from the east, that they found a plain in the land of Shinar; and they dwelt there."
17,numbers_32_30,"But if they will not pass over with you armed, they shall have possessions among you in the land of Canaan."
18,exodus_34_29,"And it came to pass, when Moses came down from mount Sinai with the two tables of testimony in Moses' hand, when he came down from the mount, that Moses wist not that the skin of his face shone while he talked with him."
19,exodus_36_26,"And their forty sockets of silver; two sockets under one board, and two sockets under another board."
20,1_kings_9_18,"and Baalath, and Tadmor in the wilderness, in the land,"
21,jeremiah_32_40,"And I will make an everlasting covenant with them, that I will not turn away from them, to do them good; but I will put my fear in their hearts, that they shall not depart from me."
22,acts_6_12,"And they stirred up the people, and the elders, and the scribes, and came upon him, and caught him, and brought him to the council,"
23,genesis_34_26,"And they slew Hamor and Shechem his son with the edge of the sword, and took Dinah out of Shechem's house, and went out."
24,proverbs_5_22,"His own iniquities shall take the wicked himself, and he shall be holden with the cords of his sins."
25,nehemiah_8_8,"So they read in the book in the law of God distinctly, and gave the sense, and caused them to understand the reading."
26,1_kings_14_9,"But hast done evil above all that were before thee: for thou hast gone and made thee other gods, and molten images, to provoke me to anger, and hast cast me behind thy back:"
27,joshua_10_34,"And from Lachish Joshua passed unto Eglon, and all Israel with him; and they encamped against it, and fought against it:"
28,jeremiah_3_10,"And yet for all this her treacherous sister Judah hath not turned unto me with her whole heart, but feignedly, saith the LORD."
29,acts_9_14,And here he hath authority from the chief priests to bind all that call on thy name.
30,1_kings_20_17,"And the young men of the princes of the provinces went out first; and Ben-hadad sent out, and they told him, saying, There are men come out of Samaria."
31,luke_5_23,"Whether is easier, to say, Thy sins be forgiven thee; or to say, Rise up and walk?"
32,psalms_135_19,"Bless the LORD, O house of Israel: bless the LORD, O house of Aaron:"
33,job_37_5,"God thundereth marvellously with his voice; great things doeth he, which we cannot comprehend."
34,psalms_50_3,"Our God shall come, and shall not keep silence: a fire shall devour before him, and it shall be very tempestuous round about him."
35,isaiah_19_23,"In that day shall there be a highway out of Egypt to Assyria, and the Assyrian shall come into Egypt, and the Egyptian into Assyria, and the Egyptians shall serve with the Assyrians."
36,acts_21_31,"And as they went about to kill him, tidings came unto the chief captain of the band, that all Jerusalem was in an uproar."
37,esther_3_7,"In the first month, that is, the month Nisan, in the twelfth year of king Ahasuerus, they cast Pur, that is, the lot, before Haman from day to day, and from month to month, to the twelfth month, that is, the month Adar."
38,revelation_13_11,"And I beheld another beast coming up out of the earth; and he had two horns like a lamb, and he spake as a dragon."
39,1_kings_11_30,"And Ahijah caught the new garment that was on him, and rent it in twelve pieces:"
40,luke_14_18,"And they all with one consent began to make excuse. The first said unto him, I have bought a piece of ground, and I must needs go and see it: I pray thee have me excused."
41,leviticus_22_27,"When a bullock, or a sheep, or a goat, is brought forth, then it shall be seven days under the dam; and from the eighth day and thenceforth it shall be accepted for an offering made by fire unto the LORD."
42,romans_2_17,"Behold, thou art called a Jew, and restest in the law, and makest thy boast of God,"
43,lamentations_2_18,"Their heart cried unto the Lord, O wall of the daughter of Zion, let tears run down like a river day and night: give thyself no rest; let not the apple of thine eye cease."
44,psalms_81_2,"Take a psalm, and bring hither the timbrel, the pleasant harp with the psaltery."
45,1_kings_4_21,"And Solomon reigned over all kingdoms from the river unto the land of the Philistines, and unto the border of Egypt: they brought presents, and served Solomon all the days of his life."
