id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,proverbs,1,1,,"The proverbs of Solomon the son of David, king of Israel;",proverbs_1_1,https://github.com/seven1m/open-bibles,,neutral
2,proverbs,1,2,,To know wisdom and instruction; to perceive the words of understanding;,proverbs_1_2,https://github.com/seven1m/open-bibles,,joy
3,proverbs,1,3,,"To receive the instruction of wisdom, justice, and judgment, and equity;",proverbs_1_3,https://github.com/seven1m/open-bibles,,joy
4,proverbs,1,4,,"To give subtilty to the simple, to the young man knowledge and discretion.",proverbs_1_4,https://github.com/seven1m/open-bibles,,disgust
5,proverbs,1,5,,"A wise man will hear, and will increase learning; and a man of understanding shall attain unto wise counsels:",proverbs_1_5,https://github.com/seven1m/open-bibles,,neutral
6,proverbs,1,6,,"To understand a proverb, and the interpretation; the words of the wise, and their dark sayings.",proverbs_1_6,https://github.com/seven1m/open-bibles,,disgust
7,proverbs,1,7,,The fear of the LORD is the beginning of knowledge: but fools despise wisdom and instruction.,proverbs_1_7,https://github.com/seven1m/open-bibles,,fear
8,proverbs,1,8,,"My son, hear the instruction of thy father, and forsake not the law of thy mother:",proverbs_1_8,https://github.com/seven1m/open-bibles,,anger
9,proverbs,1,9,,"For they shall be an ornament of grace unto thy head, and chains about thy neck.",proverbs_1_9,https://github.com/seven1m/open-bibles,,disgust
10,proverbs,1,10,,"My son, if sinners entice thee, consent thou not.",proverbs_1_10,https://github.com/seven1m/open-bibles,,disgust
11,proverbs,1,11,,"If they say, Come with us, let us lay wait for blood, let us lurk privily for the innocent without cause:",proverbs_1_11,https://github.com/seven1m/open-bibles,,fear
12,proverbs,1,12,,"Let us swallow them up alive as the grave; and whole, as those that go down into the pit:",proverbs_1_12,https://github.com/seven1m/open-bibles,,disgust
13,proverbs,1,13,,"We shall find all precious substance, we shall fill our houses with spoil:",proverbs_1_13,https://github.com/seven1m/open-bibles,,disgust
14,proverbs,1,14,,Cast in thy lot among us; let us all have one purse:,proverbs_1_14,https://github.com/seven1m/open-bibles,,neutral
15,proverbs,1,15,,"My son, walk not thou in the way with them; refrain thy foot from their path:",proverbs_1_15,https://github.com/seven1m/open-bibles,,fear
16,proverbs,1,16,,"For their feet run to evil, and make haste to shed blood.",proverbs_1_16,https://github.com/seven1m/open-bibles,,anger
17,proverbs,1,17,,Surely in vain the net is spread in the sight of any bird.,proverbs_1_17,https://github.com/seven1m/open-bibles,,neutral
18,proverbs,1,18,,And they lay wait for their own blood; they lurk privily for their own lives.,proverbs_1_18,https://github.com/seven1m/open-bibles,,fear
