id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,song_of_solomon,1,1,,"The song of songs, which is Solomon's.",song_of_solomon_1_1,https://github.com/seven1m/open-bibles,faith,neutral
2,song_of_solomon,1,2,,Let him kiss me with the kisses of his mouth: for thy love is better than wine.,song_of_solomon_1_2,https://github.com/seven1m/open-bibles,love;faith;hope;forgiveness,disgust
3,song_of_solomon,1,3,,"Because of the savour of thy good ointments thy name is as ointment poured forth, therefore do the virgins love thee.",song_of_solomon_1_3,https://github.com/seven1m/open-bibles,love,joy
4,song_of_solomon,1,4,,"Draw me, we will run after thee: the king hath brought me into his chambers: we will be glad and rejoice in thee, we will remember thy love more than wine: the upright love thee.",song_of_solomon_1_4,https://github.com/seven1m/open-bibles,love;hope;faith;forgiveness,joy
5,song_of_solomon,1,5,,"I am black, but comely, O ye daughters of Jerusalem, as the tents of Kedar, as the curtains of Solomon.",song_of_solomon_1_5,https://github.com/seven1m/open-bibles,faith,neutral
6,song_of_solomon,1,6,,"Look not upon me, because I am black, because the sun hath looked upon me: my mother's children were angry with me; they made me the keeper of the vineyards; but mine own vineyard have I not kept.",song_of_solomon_1_6,https://github.com/seven1m/open-bibles,fear,anger
7,song_of_solomon,1,7,,"Tell me, O thou whom my soul loveth, where thou feedest, where thou makest thy flock to rest at noon: for why should I be as one that turneth aside by the flocks of thy companions?",song_of_solomon_1_7,https://github.com/seven1m/open-bibles,love,fear
8,song_of_solomon,1,8,,"If thou know not, O thou fairest among women, go thy way forth by the footsteps of the flock, and feed thy kids beside the shepherds' tents.",song_of_solomon_1_8,https://github.com/seven1m/open-bibles,love;faith;hope;forgiveness,disgust
9,song_of_solomon,1,9,,"I have compared thee, O my love, to a company of horses in Pharaoh's chariots.",song_of_solomon_1_9,https://github.com/seven1m/open-bibles,love,disgust
10,song_of_solomon,1,10,,"Thy cheeks are comely with rows of jewels, thy neck with chains of gold.",song_of_solomon_1_10,https://github.com/seven1m/open-bibles,love,neutral
11,song_of_solomon,1,11,,We will make thee borders of gold with studs of silver.,song_of_solomon_1_11,https://github.com/seven1m/open-bibles,,neutral
12,song_of_solomon,1,12,,"While the king sitteth at his table, my spikenard sendeth forth the smell thereof.",song_of_solomon_1_12,https://github.com/seven1m/open-bibles,,disgust
13,song_of_solomon,1,13,,A bundle of myrrh is my wellbeloved unto me; he shall lie all night betwixt my breasts.,song_of_solomon_1_13,https://github.com/seven1m/open-bibles,love;forgiveness;faith,fear
14,song_of_solomon,1,14,,My beloved is unto me as a cluster of camphire in the vineyards of En-gedi.,song_of_solomon_1_14,https://github.com/seven1m/open-bibles,love;faith;forgiveness,joy
15,song_of_solomon,1,15,,"Behold, thou art fair, my love; behold, thou art fair; thou hast doves' eyes.",song_of_solomon_1_15,https://github.com/seven1m/open-bibles,love;faith;forgiveness;hope,anger
16,song_of_solomon,1,16,,"Behold, thou art fair, my beloved, yea, pleasant: also our bed is green.",song_of_solomon_1_16,https://github.com/seven1m/open-bibles,love;faith;forgiveness;hope,joy
17,song_of_solomon,1,17,,"The beams of our house are cedar, and our rafters of fir.",song_of_solomon_1_17,https://github.com/seven1m/open-bibles,,neutral
18,song_of_solomon,2,1,,"I am the rose of Sharon, and the lily of the valleys.",song_of_solomon_2_1,https://github.com/seven1m/open-bibles,faith;hope;love,joy
19,song_of_solomon,2,2,,"As the lily among thorns, so is my love among the daughters.",song_of_solomon_2_2,https://github.com/seven1m/open-bibles,love;faith,neutral
20,song_of_solomon,2,3,,"As the apple tree among the trees of the wood, so is my beloved among the sons. I sat down under his shadow with great delight, and his fruit was sweet to my taste.",song_of_solomon_2_3,https://github.com/seven1m/open-bibles,love;faith,joy
21,song_of_solomon,2,4,,"He brought me to the banqueting house, and his banner over me was love.",song_of_solomon_2_4,https://github.com/seven1m/open-bibles,love;hope,disgust
22,song_of_solomon,2,5,,"Stay me with flagons, comfort me with apples: for I am sick of love.",song_of_solomon_2_5,https://github.com/seven1m/open-bibles,,sadness
23,song_of_solomon,2,6,,"His left hand is under my head, and his right hand doth embrace me.",song_of_solomon_2_6,https://github.com/seven1m/open-bibles,love;faith;forgiveness,disgust
24,song_of_solomon,2,7,,"I charge you, O ye daughters of Jerusalem, by the roes, and by the hinds of the field, that ye stir not up, nor awake my love, till he please.",song_of_solomon_2_7,https://github.com/seven1m/open-bibles,fear;love;faith,anger
25,song_of_solomon,2,8,,"The voice of my beloved! behold, he cometh leaping upon the mountains, skipping upon the hills.",song_of_solomon_2_8,https://github.com/seven1m/open-bibles,love;faith;hope;forgiveness,fear
26,song_of_solomon,2,9,,"My beloved is like a roe or a young hart: behold, he standeth behind our wall, he looketh forth at the windows, shewing himself through the lattice.",song_of_solomon_2_9,https://github.com/seven1m/open-bibles,love;faith;forgiveness;hope,disgust
27,song_of_solomon,2,10,,"My beloved spake, and said unto me, Rise up, my love, my fair one, and come away.",song_of_solomon_2_10,https://github.com/seven1m/open-bibles,love;forgiveness;faith;hope,neutral
28,song_of_solomon,2,11,,"For, lo, the winter is past, the rain is over and gone;",song_of_solomon_2_11,https://github.com/seven1m/open-bibles,faith;hope,sadness
29,song_of_solomon,2,12,,"The flowers appear on the earth; the time of the singing of birds is come, and the voice of the turtle is heard in our land;",song_of_solomon_2_12,https://github.com/seven1m/open-bibles,faith;hope,neutral
30,song_of_solomon,2,13,,"The fig tree putteth forth her green figs, and the vines with the tender grape give a good smell. Arise, my love, my fair one, and come away.",song_of_solomon_2_13,https://github.com/seven1m/open-bibles,forgiveness;love;hope;faith,joy
31,song_of_solomon,2,14,,"O my dove, that art in the clefts of the rock, in the secret places of the stairs, let me see thy countenance, let me hear thy voice; for sweet is thy voice, and thy countenance is comely.",song_of_solomon_2_14,https://github.com/seven1m/open-bibles,love;faith;hope;forgiveness,joy
32,song_of_solomon,2,15,,"Take us the foxes, the little foxes, that spoil the vines: for our vines have tender grapes.",song_of_solomon_2_15,https://github.com/seven1m/open-bibles,fear,neutral
33,song_of_solomon,2,16,,"My beloved is mine, and I am his: he feedeth among the lilies.",song_of_solomon_2_16,https://github.com/seven1m/open-bibles,love;faith;forgiveness;hope,joy
34,song_of_solomon,2,17,,"Until the day break, and the shadows flee away, turn, my beloved, and be thou like a roe or a young hart upon the mountains of Bether.",song_of_solomon_2_17,https://github.com/seven1m/open-bibles,love;forgiveness;faith;hope,fear
35,song_of_solomon,3,1,,"By night on my bed I sought him whom my soul loveth: I sought him, but I found him not.",song_of_solomon_3_1,https://github.com/seven1m/open-bibles,love;faith,sadness
36,song_of_solomon,3,2,,"I will rise now, and go about the city in the streets, and in the broad ways I will seek him whom my soul loveth: I sought him, but I found him not.",song_of_solomon_3_2,https://github.com/seven1m/open-bibles,love;faith;hope,sadness
37,song_of_solomon,3,3,,"The watchmen that go about the city found me: to whom I said, Saw ye him whom my soul loveth?",song_of_solomon_3_3,https://github.com/seven1m/open-bibles,fear;love;faith,fear
38,song_of_solomon,3,4,,"It was but a little that I passed from them, but I found him whom my soul loveth: I held him, and would not let him go, until I had brought him into my mother's house, and into the chamber of her that conceived me.",song_of_solomon_3_4,https://github.com/seven1m/open-bibles,love;faith;hope;forgiveness,fear
39,song_of_solomon,3,5,,"I charge you, O ye daughters of Jerusalem, by the roes, and by the hinds of the field, that ye stir not up, nor awake my love, till he please.",song_of_solomon_3_5,https://github.com/seven1m/open-bibles,fear;love;faith,anger
40,song_of_solomon,3,6,,"Who is this that cometh out of the wilderness like pillars of smoke, perfumed with myrrh and frankincense, with all powders of the merchant?",song_of_solomon_3_6,https://github.com/seven1m/open-bibles,,disgust
41,song_of_solomon,3,7,,"Behold his bed, which is Solomon's; threescore valiant men are about it, of the valiant of Israel.",song_of_solomon_3_7,https://github.com/seven1m/open-bibles,faith,neutral
42,song_of_solomon,3,8,,"They all hold swords, being expert in war: every man hath his sword upon his thigh because of fear in the night.",song_of_solomon_3_8,https://github.com/seven1m/open-bibles,fear,fear
43,song_of_solomon,3,9,,King Solomon made himself a chariot of the wood of Lebanon.,song_of_solomon_3_9,https://github.com/seven1m/open-bibles,faith,disgust
44,song_of_solomon,3,10,,"He made the pillars thereof of silver, the bottom thereof of gold, the covering of it of purple, the midst thereof being paved with love, for the daughters of Jerusalem.",song_of_solomon_3_10,https://github.com/seven1m/open-bibles,love;faith;hope;forgiveness,neutral
45,song_of_solomon,3,11,,"Go forth, O ye daughters of Zion, and behold king Solomon with the crown wherewith his mother crowned him in the day of his espousals, and in the day of the gladness of his heart.",song_of_solomon_3_11,https://github.com/seven1m/open-bibles,love;hope;faith;forgiveness,joy
46,song_of_solomon,4,1,,"Behold, thou art fair, my love; behold, thou art fair; thou hast doves' eyes within thy locks: thy hair is as a flock of goats, that appear from mount Gilead.",song_of_solomon_4_1,https://github.com/seven1m/open-bibles,love;faith;forgiveness;hope,disgust
47,song_of_solomon,4,2,,"Thy teeth are like a flock of sheep that are even shorn, which came up from the washing; whereof every one bear twins, and none is barren among them.",song_of_solomon_4_2,https://github.com/seven1m/open-bibles,faith;love;hope,sadness
48,song_of_solomon,4,3,,"Thy lips are like a thread of scarlet, and thy speech is comely: thy temples are like a piece of a pomegranate within thy locks.",song_of_solomon_4_3,https://github.com/seven1m/open-bibles,faith;love,fear
49,song_of_solomon,4,4,,"Thy neck is like the tower of David builded for an armoury, whereon there hang a thousand bucklers, all shields of mighty men.",song_of_solomon_4_4,https://github.com/seven1m/open-bibles,faith,neutral
50,song_of_solomon,4,5,,"Thy two breasts are like two young roes that are twins, which feed among the lilies.",song_of_solomon_4_5,https://github.com/seven1m/open-bibles,faith;love,neutral
51,song_of_solomon,4,6,,"Until the day break, and the shadows flee away, I will get me to the mountain of myrrh, and to the hill of frankincense.",song_of_solomon_4_6,https://github.com/seven1m/open-bibles,hope;faith,neutral
52,song_of_solomon,4,7,,"Thou art all fair, my love; there is no spot in thee.",song_of_solomon_4_7,https://github.com/seven1m/open-bibles,love;forgiveness;faith;hope,neutral
53,song_of_solomon,4,8,,"Come with me from Lebanon, my spouse, with me from Lebanon: look from the top of Amana, from the top of Shenir and Hermon, from the lions' dens, from the mountains of the leopards.",song_of_solomon_4_8,https://github.com/seven1m/open-bibles,love;fear;faith;forgiveness,fear
54,song_of_solomon,4,9,,"Thou hast ravished my heart, my sister, my spouse; thou hast ravished my heart with one of thine eyes, with one chain of thy neck.",song_of_solomon_4_9,https://github.com/seven1m/open-bibles,,anger
55,song_of_solomon,4,10,,"How fair is thy love, my sister, my spouse! how much better is thy love than wine! and the smell of thine ointments than all spices!",song_of_solomon_4_10,https://github.com/seven1m/open-bibles,love,disgust
56,song_of_solomon,4,11,,"Thy lips, O my spouse, drop as the honeycomb: honey and milk are under thy tongue; and the smell of thy garments is like the smell of Lebanon.",song_of_solomon_4_11,https://github.com/seven1m/open-bibles,love;forgiveness;faith;hope,disgust
57,song_of_solomon,4,12,,"A garden inclosed is my sister, my spouse; a spring shut up, a fountain sealed.",song_of_solomon_4_12,https://github.com/seven1m/open-bibles,love;faith,disgust
58,song_of_solomon,4,13,,"Thy plants are an orchard of pomegranates, with pleasant fruits; camphire, with spikenard,",song_of_solomon_4_13,https://github.com/seven1m/open-bibles,faith,joy
59,song_of_solomon,4,14,,"Spikenard and saffron; calamus and cinnamon, with all trees of frankincense; myrrh and aloes, with all the chief spices:",song_of_solomon_4_14,https://github.com/seven1m/open-bibles,,neutral
60,song_of_solomon,4,15,,"A fountain of gardens, a well of living waters, and streams from Lebanon.",song_of_solomon_4_15,https://github.com/seven1m/open-bibles,,joy
61,song_of_solomon,4,16,,"Awake, O north wind; and come, thou south; blow upon my garden, that the spices thereof may flow out. Let my beloved come into his garden, and eat his pleasant fruits.",song_of_solomon_4_16,https://github.com/seven1m/open-bibles,love;hope;faith;forgiveness,neutral
62,song_of_solomon,5,1,,"I am come into my garden, my sister, my spouse: I have gathered my myrrh with my spice; I have eaten my honeycomb with my honey; I have drunk my wine with my milk: eat, O friends; drink, yea, drink abundantly, O beloved.",song_of_solomon_5_1,https://github.com/seven1m/open-bibles,faith;forgiveness;love;hope,joy
63,song_of_solomon,5,2,,"I sleep, but my heart waketh: it is the voice of my beloved that knocketh, saying, Open to me, my sister, my love, my dove, my undefiled: for my head is filled with dew, and my locks with the drops of the night.",song_of_solomon_5_2,https://github.com/seven1m/open-bibles,love;forgiveness;faith;hope,fear
64,song_of_solomon,5,3,,I have put off my coat; how shall I put it on? I have washed my feet; how shall I defile them?,song_of_solomon_5_3,https://github.com/seven1m/open-bibles,,disgust
