id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,jeremiah,1,1,,"The words of Jeremiah the son of Hilkiah, of the priests that were in Anathoth in the land of Benjamin:",jeremiah_1_1,https://github.com/seven1m/open-bibles,faith,disgust
2,jeremiah,1,2,,"To whom the word of the LORD came in the days of Josiah the son of Amon king of Judah, in the thirteenth year of his reign.",jeremiah_1_2,https://github.com/seven1m/open-bibles,faith;forgiveness;hope,neutral
3,jeremiah,1,3,,"It came also in the days of Jehoiakim the son of Josiah king of Judah, unto the end of the eleventh year of Zedekiah the son of Josiah king of Judah, unto the carrying away of Jerusalem captive in the fifth month.",jeremiah_1_3,https://github.com/seven1m/open-bibles,fear;faith,neutral
4,jeremiah,1,4,,"Then the word of the LORD came unto me, saying,",jeremiah_1_4,https://github.com/seven1m/open-bibles,faith;forgiveness,fear
5,jeremiah,1,5,,"Before I formed thee in the belly I knew thee; and before thou camest forth out of the womb I sanctified thee, and I ordained thee a prophet unto the nations.",jeremiah_1_5,https://github.com/seven1m/open-bibles,faith,disgust
6,jeremiah,1,6,,"Then said I, Ah, Lord GOD! behold, I cannot speak: for I am a child.",jeremiah_1_6,https://github.com/seven1m/open-bibles,fear;faith;forgiveness,surprise
7,jeremiah,1,7,,"But the LORD said unto me, Say not, I am a child: for thou shalt go to all that I shall send thee, and whatsoever I command thee thou shalt speak.",jeremiah_1_7,https://github.com/seven1m/open-bibles,faith;forgiveness;fear;hope,fear
8,jeremiah,1,8,,"Be not afraid of their faces: for I am with thee to deliver thee, saith the LORD.",jeremiah_1_8,https://github.com/seven1m/open-bibles,hope;faith;forgiveness,fear
9,jeremiah,1,9,,"Then the LORD put forth his hand, and touched my mouth. And the LORD said unto me, Behold, I have put my words in thy mouth.",jeremiah_1_9,https://github.com/seven1m/open-bibles,faith;fear;forgiveness,disgust
10,jeremiah,1,10,,"See, I have this day set thee over the nations and over the kingdoms, to root out, and to pull down, and to destroy, and to throw down, to build, and to plant.",jeremiah_1_10,https://github.com/seven1m/open-bibles,faith,anger
11,jeremiah,1,11,,"Moreover the word of the LORD came unto me, saying, Jeremiah, what seest thou? And I said, I see a rod of an almond tree.",jeremiah_1_11,https://github.com/seven1m/open-bibles,faith,disgust
12,jeremiah,1,12,,"Then said the LORD unto me, Thou hast well seen: for I will hasten my word to perform it.",jeremiah_1_12,https://github.com/seven1m/open-bibles,faith;forgiveness;hope,joy
13,jeremiah,1,13,,"And the word of the LORD came unto me the second time, saying, What seest thou? And I said, I see a seething pot; and the face thereof is toward the north.",jeremiah_1_13,https://github.com/seven1m/open-bibles,faith,disgust
14,jeremiah,1,14,,"Then the LORD said unto me, Out of the north an evil shall break forth upon all the inhabitants of the land.",jeremiah_1_14,https://github.com/seven1m/open-bibles,fear,anger
15,jeremiah,1,15,,"For, lo, I will call all the families of the kingdoms of the north, saith the LORD; and they shall come, and they shall set every one his throne at the entering of the gates of Jerusalem, and against all the walls thereof round about, and against all the cities of Judah.",jeremiah_1_15,https://github.com/seven1m/open-bibles,faith;hope;fear;forgiveness;love,anger
16,jeremiah,1,16,,"And I will utter my judgments against them touching all their wickedness, who have forsaken me, and have burned incense unto other gods, and worshipped the works of their own hands.",jeremiah_1_16,https://github.com/seven1m/open-bibles,,anger
17,jeremiah,1,17,,"Thou therefore gird up thy loins, and arise, and speak unto them all that I command thee: be not dismayed at their faces, lest I confound thee before them.",jeremiah_1_17,https://github.com/seven1m/open-bibles,faith,fear
18,jeremiah,1,18,,"For, behold, I have made thee this day a defenced city, and an iron pillar, and brasen walls against the whole land, against the kings of Judah, against the princes thereof, against the priests thereof, and against the people of the land.",jeremiah_1_18,https://github.com/seven1m/open-bibles,faith;hope,anger
19,jeremiah,1,19,,"And they shall fight against thee; but they shall not prevail against thee; for I am with thee, saith the LORD, to deliver thee.",jeremiah_1_19,https://github.com/seven1m/open-bibles,faith;hope;forgiveness,anger
20,jeremiah,2,1,,"Moreover the word of the LORD came to me, saying,",jeremiah_2_1,https://github.com/seven1m/open-bibles,faith;hope;forgiveness;fear,disgust
21,jeremiah,2,2,,"Go and cry in the ears of Jerusalem, saying, Thus saith the LORD; I remember thee, the kindness of thy youth, the love of thine espousals, when thou wentest after me in the wilderness, in a land that was not sown.",jeremiah_2_2,https://github.com/seven1m/open-bibles,love;faith;forgiveness;hope,sadness
22,jeremiah,2,3,,"Israel was holiness unto the LORD, and the firstfruits of his increase: all that devour him shall offend; evil shall come upon them, saith the LORD.",jeremiah_2_3,https://github.com/seven1m/open-bibles,fear;faith,anger
23,jeremiah,2,4,,"Hear ye the word of the LORD, O house of Jacob, and all the families of the house of Israel:",jeremiah_2_4,https://github.com/seven1m/open-bibles,faith;forgiveness,neutral
