id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,jonah,1,1,,"Now the word of the LORD came unto Jonah the son of Amittai, saying,",jonah_1_1,https://github.com/seven1m/open-bibles,faith;fear;forgiveness,neutral
2,jonah,1,2,,"Arise, go to Nineveh, that great city, and cry against it; for their wickedness is come up before me.",jonah_1_2,https://github.com/seven1m/open-bibles,fear;faith,anger
3,jonah,1,3,,"But Jonah rose up to flee unto Tarshish from the presence of the LORD, and went down to Joppa; and he found a ship going to Tarshish: so he paid the fare thereof, and went down into it, to go with them unto Tarshish from the presence of the LORD.",jonah_1_3,https://github.com/seven1m/open-bibles,fear;faith;hope,fear
4,jonah,1,4,,"But the LORD sent out a great wind into the sea, and there was a mighty tempest in the sea, so that the ship was like to be broken.",jonah_1_4,https://github.com/seven1m/open-bibles,faith;fear,fear
5,jonah,1,5,,"Then the mariners were afraid, and cried every man unto his god, and cast forth the wares that were in the ship into the sea, to lighten it of them. But Jonah was gone down into the sides of the ship; and he lay, and was fast asleep.",jonah_1_5,https://github.com/seven1m/open-bibles,fear;faith;forgiveness;hope,fear
6,jonah,1,6,,"So the shipmaster came to him, and said unto him, What meanest thou, O sleeper? arise, call upon thy God, if so be that God will think upon us, that we perish not.",jonah_1_6,https://github.com/seven1m/open-bibles,fear;faith;hope,fear
7,jonah,1,7,,"And they said every one to his fellow, Come, and let us cast lots, that we may know for whose cause this evil is upon us. So they cast lots, and the lot fell upon Jonah.",jonah_1_7,https://github.com/seven1m/open-bibles,faith;fear,disgust
8,jonah,1,8,,"Then said they unto him, Tell us, we pray thee, for whose cause this evil is upon us; What is thine occupation? and whence comest thou? what is thy country? and of what people art thou?",jonah_1_8,https://github.com/seven1m/open-bibles,fear,fear
9,jonah,1,9,,"And he said unto them, I am an Hebrew; and I fear the LORD, the God of heaven, which hath made the sea and the dry land.",jonah_1_9,https://github.com/seven1m/open-bibles,fear;faith;forgiveness,fear
10,jonah,1,10,,"Then were the men exceedingly afraid, and said unto him, Why hast thou done this? For the men knew that he fled from the presence of the LORD, because he had told them.",jonah_1_10,https://github.com/seven1m/open-bibles,fear,fear
