id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,nahum,1,1,,The burden of Nineveh. The book of the vision of Nahum the Elkoshite.,nahum_1_1,https://github.com/seven1m/open-bibles,faith,neutral
2,nahum,1,2,,"God is jealous, and the LORD revengeth; the LORD revengeth, and is furious; the LORD will take vengeance on his adversaries, and he reserveth wrath for his enemies.",nahum_1_2,https://github.com/seven1m/open-bibles,faith,anger
3,nahum,1,3,,"The LORD is slow to anger, and great in power, and will not at all acquit the wicked: the LORD hath his way in the whirlwind and in the storm, and the clouds are the dust of his feet.",nahum_1_3,https://github.com/seven1m/open-bibles,faith,anger
4,nahum,1,4,,"He rebuketh the sea, and maketh it dry, and drieth up all the rivers: Bashan languisheth, and Carmel, and the flower of Lebanon languisheth.",nahum_1_4,https://github.com/seven1m/open-bibles,faith,neutral
5,nahum,1,5,,"The mountains quake at him, and the hills melt, and the earth is burned at his presence, yea, the world, and all that dwell therein.",nahum_1_5,https://github.com/seven1m/open-bibles,fear;faith;love,anger
6,nahum,1,6,,"Who can stand before his indignation? and who can abide in the fierceness of his anger? his fury is poured out like fire, and the rocks are thrown down by him.",nahum_1_6,https://github.com/seven1m/open-bibles,,anger
7,nahum,1,7,,"The LORD is good, a strong hold in the day of trouble; and he knoweth them that trust in him.",nahum_1_7,https://github.com/seven1m/open-bibles,faith;hope,neutral
8,nahum,1,8,,"But with an overrunning flood he will make an utter end of the place thereof, and darkness shall pursue his enemies.",nahum_1_8,https://github.com/seven1m/open-bibles,faith;fear,neutral
9,nahum,1,9,,What do ye imagine against the LORD? he will make an utter end: affliction shall not rise up the second time.,nahum_1_9,https://github.com/seven1m/open-bibles,hope;forgiveness;faith,fear
10,nahum,1,10,,"For while they be folden together as thorns, and while they are drunken as drunkards, they shall be devoured as stubble fully dry.",nahum_1_10,https://github.com/seven1m/open-bibles,fear,disgust
11,nahum,1,11,,"There is one come out of thee, that imagineth evil against the LORD, a wicked counsellor.",nahum_1_11,https://github.com/seven1m/open-bibles,,disgust
12,nahum,1,12,,"Thus saith the LORD: Though they be quiet, and likewise many, yet thus shall they be cut down, when he shall pass through. Though I have afflicted thee, I will afflict thee no more.",nahum_1_12,https://github.com/seven1m/open-bibles,forgiveness;fear;faith,sadness
13,nahum,1,13,,"For now will I break his yoke from off thee, and will burst thy bonds in sunder.",nahum_1_13,https://github.com/seven1m/open-bibles,,anger
14,nahum,1,14,,"And the LORD hath given a commandment concerning thee, that no more of thy name be sown: out of the house of thy gods will I cut off the graven image and the molten image: I will make thy grave; for thou art vile.",nahum_1_14,https://github.com/seven1m/open-bibles,fear;faith,disgust
15,nahum,1,15,,"Behold upon the mountains the feet of him that bringeth good tidings, that publisheth peace! O Judah, keep thy solemn feasts, perform thy vows: for the wicked shall no more pass through thee; he is utterly cut off.",nahum_1_15,https://github.com/seven1m/open-bibles,hope;forgiveness;faith;love,anger
16,nahum,2,1,,"He that dasheth in pieces is come up before thy face: keep the munition, watch the way, make thy loins strong, fortify thy power mightily.",nahum_2_1,https://github.com/seven1m/open-bibles,faith,fear
17,nahum,2,2,,"For the LORD hath turned away the excellency of Jacob, as the excellency of Israel: for the emptiers have emptied them out, and marred their vine branches.",nahum_2_2,https://github.com/seven1m/open-bibles,fear;faith,anger
18,nahum,2,3,,"The shield of his mighty men is made red, the valiant men are in scarlet: the chariots shall be with flaming torches in the day of his preparation, and the fir trees shall be terribly shaken.",nahum_2_3,https://github.com/seven1m/open-bibles,faith;fear,fear
19,nahum,2,4,,"The chariots shall rage in the streets, they shall justle one against another in the broad ways: they shall seem like torches, they shall run like the lightnings.",nahum_2_4,https://github.com/seven1m/open-bibles,fear;faith,anger
20,nahum,2,5,,"He shall recount his worthies: they shall stumble in their walk; they shall make haste to the wall thereof, and the defence shall be prepared.",nahum_2_5,https://github.com/seven1m/open-bibles,fear;faith,fear
21,nahum,2,6,,"The gates of the rivers shall be opened, and the palace shall be dissolved.",nahum_2_6,https://github.com/seven1m/open-bibles,faith;hope;forgiveness;fear,anger
22,nahum,2,7,,"And Huzzab shall be led away captive, she shall be brought up, and her maids shall lead her as with the voice of doves, tabering upon their breasts.",nahum_2_7,https://github.com/seven1m/open-bibles,fear;faith,disgust
23,nahum,2,8,,"But Nineveh is of old like a pool of water: yet they shall flee away. Stand, stand, shall they cry; but none shall look back.",nahum_2_8,https://github.com/seven1m/open-bibles,fear;faith,sadness
24,nahum,2,9,,"Take ye the spoil of silver, take the spoil of gold: for there is none end of the store and glory out of all the pleasant furniture.",nahum_2_9,https://github.com/seven1m/open-bibles,,joy
25,nahum,2,10,,"She is empty, and void, and waste: and the heart melteth, and the knees smite together, and much pain is in all loins, and the faces of them all gather blackness.",nahum_2_10,https://github.com/seven1m/open-bibles,fear,sadness
26,nahum,2,11,,"Where is the dwelling of the lions, and the feeding place of the young lions, where the lion, even the old lion, walked, and the lion's whelp, and none made them afraid?",nahum_2_11,https://github.com/seven1m/open-bibles,forgiveness;faith,fear
27,nahum,2,12,,"The lion did tear in pieces enough for his whelps, and strangled for his lionesses, and filled his holes with prey, and his dens with ravin.",nahum_2_12,https://github.com/seven1m/open-bibles,fear,disgust
28,nahum,2,13,,"Behold, I am against thee, saith the LORD of hosts, and I will burn her chariots in the smoke, and the sword shall devour thy young lions: and I will cut off thy prey from the earth, and the voice of thy messengers shall no more be heard.",nahum_2_13,https://github.com/seven1m/open-bibles,fear,anger
29,nahum,3,1,,Woe to the bloody city! it is all full of lies and robbery; the prey departeth not;,nahum_3_1,https://github.com/seven1m/open-bibles,fear,anger
30,nahum,3,2,,"The noise of a whip, and the noise of the rattling of the wheels, and of the pransing horses, and of the jumping chariots.",nahum_3_2,https://github.com/seven1m/open-bibles,,disgust
31,nahum,3,3,,"The horseman lifteth up both the bright sword and the glittering spear: and there is a multitude of slain, and a great number of carcases; and there is none end of their corpses; they stumble upon their corpses:",nahum_3_3,https://github.com/seven1m/open-bibles,fear,disgust
