id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,zephaniah,1,1,,"The word of the LORD which came unto Zephaniah the son of Cushi, the son of Gedaliah, the son of Amariah, the son of Hizkiah, in the days of Josiah the son of Amon, king of Judah.",zephaniah_1_1,https://github.com/seven1m/open-bibles,faith;forgiveness,neutral
2,zephaniah,1,2,,"I will utterly consume all things from off the land, saith the LORD.",zephaniah_1_2,https://github.com/seven1m/open-bibles,,anger
3,zephaniah,1,3,,"I will consume man and beast; I will consume the fowls of the heaven, and the fishes of the sea, and the stumblingblocks with the wicked; and I will cut off man from off the land, saith the LORD.",zephaniah_1_3,https://github.com/seven1m/open-bibles,fear,anger
4,zephaniah,1,4,,"I will also stretch out mine hand upon Judah, and upon all the inhabitants of Jerusalem; and I will cut off the remnant of Baal from this place, and the name of the Chemarims with the priests;",zephaniah_1_4,https://github.com/seven1m/open-bibles,forgiveness;faith;love;fear,anger
5,zephaniah,1,5,,"And them that worship the host of heaven upon the housetops; and them that worship and that swear by the LORD, and that swear by Malcham;",zephaniah_1_5,https://github.com/seven1m/open-bibles,faith,neutral
6,zephaniah,1,6,,"And them that are turned back from the LORD; and those that have not sought the LORD, nor enquired for him.",zephaniah_1_6,https://github.com/seven1m/open-bibles,fear,sadness
7,zephaniah,1,7,,"Hold thy peace at the presence of the Lord GOD: for the day of the LORD is at hand: for the LORD hath prepared a sacrifice, he hath bid his guests.",zephaniah_1_7,https://github.com/seven1m/open-bibles,faith;forgiveness;hope;fear,neutral
8,zephaniah,1,8,,"And it shall come to pass in the day of the LORD'S sacrifice, that I will punish the princes, and the king's children, and all such as are clothed with strange apparel.",zephaniah_1_8,https://github.com/seven1m/open-bibles,fear;faith,disgust
9,zephaniah,1,9,,"In the same day also will I punish all those that leap on the threshold, which fill their masters' houses with violence and deceit.",zephaniah_1_9,https://github.com/seven1m/open-bibles,,anger
10,zephaniah,1,10,,"And it shall come to pass in that day, saith the LORD, that there shall be the noise of a cry from the fish gate, and an howling from the second, and a great crashing from the hills.",zephaniah_1_10,https://github.com/seven1m/open-bibles,fear;faith,fear
11,zephaniah,1,11,,"Howl, ye inhabitants of Maktesh, for all the merchant people are cut down; all they that bear silver are cut off.",zephaniah_1_11,https://github.com/seven1m/open-bibles,fear,anger
12,zephaniah,1,12,,"And it shall come to pass at that time, that I will search Jerusalem with candles, and punish the men that are settled on their lees: that say in their heart, The LORD will not do good, neither will he do evil.",zephaniah_1_12,https://github.com/seven1m/open-bibles,fear,anger
