id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,mark,1,1,,"The beginning of the gospel of Jesus Christ, the Son of God;",mark_1_1,https://github.com/seven1m/open-bibles,faith;hope,fear
2,mark,1,2,,"As it is written in the prophets, Behold, I send my messenger before thy face, which shall prepare thy way before thee.",mark_1_2,https://github.com/seven1m/open-bibles,faith;hope,fear
3,mark,1,3,,"The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.",mark_1_3,https://github.com/seven1m/open-bibles,faith;hope,sadness
4,mark,1,4,,"John did baptize in the wilderness, and preach the baptism of repentance for the remission of sins.",mark_1_4,https://github.com/seven1m/open-bibles,forgiveness;faith;hope,disgust
5,mark,1,5,,"And there went out unto him all the land of Judaea, and they of Jerusalem, and were all baptized of him in the river of Jordan, confessing their sins.",mark_1_5,https://github.com/seven1m/open-bibles,faith;forgiveness;love,disgust
6,mark,1,6,,"And John was clothed with camel's hair, and with a girdle of a skin about his loins; and he did eat locusts and wild honey;",mark_1_6,https://github.com/seven1m/open-bibles,faith;forgiveness,disgust
7,mark,1,7,,"And preached, saying, There cometh one mightier than I after me, the latchet of whose shoes I am not worthy to stoop down and unloose.",mark_1_7,https://github.com/seven1m/open-bibles,faith;fear,sadness
8,mark,1,8,,I indeed have baptized you with water: but he shall baptize you with the Holy Ghost.,mark_1_8,https://github.com/seven1m/open-bibles,faith;hope,disgust
9,mark,1,9,,"And it came to pass in those days, that Jesus came from Nazareth of Galilee, and was baptized of John in Jordan.",mark_1_9,https://github.com/seven1m/open-bibles,faith;hope;forgiveness,neutral
10,mark,1,10,,"And straightway coming up out of the water, he saw the heavens opened, and the Spirit like a dove descending upon him:",mark_1_10,https://github.com/seven1m/open-bibles,faith;hope;love;forgiveness,fear
11,mark,1,11,,"And there came a voice from heaven, saying, Thou art my beloved Son, in whom I am well pleased.",mark_1_11,https://github.com/seven1m/open-bibles,love;faith;forgiveness;hope,joy
12,mark,1,12,,And immediately the Spirit driveth him into the wilderness.,mark_1_12,https://github.com/seven1m/open-bibles,faith,fear
13,mark,1,13,,"And he was there in the wilderness forty days, tempted of Satan; and was with the wild beasts; and the angels ministered unto him.",mark_1_13,https://github.com/seven1m/open-bibles,faith;fear,fear
14,mark,1,14,,"Now after that John was put in prison, Jesus came into Galilee, preaching the gospel of the kingdom of God,",mark_1_14,https://github.com/seven1m/open-bibles,faith;hope;forgiveness,disgust
15,mark,1,15,,"And saying, The time is fulfilled, and the kingdom of God is at hand: repent ye, and believe the gospel.",mark_1_15,https://github.com/seven1m/open-bibles,faith;hope;forgiveness,neutral
16,mark,1,16,,"Now as he walked by the sea of Galilee, he saw Simon and Andrew his brother casting a net into the sea: for they were fishers.",mark_1_16,https://github.com/seven1m/open-bibles,faith,fear
17,mark,1,17,,"And Jesus said unto them, Come ye after me, and I will make you to become fishers of men.",mark_1_17,https://github.com/seven1m/open-bibles,faith;hope;forgiveness;love,neutral
18,mark,1,18,,"And straightway they forsook their nets, and followed him.",mark_1_18,https://github.com/seven1m/open-bibles,fear;forgiveness;faith,neutral
19,mark,1,19,,"And when he had gone a little farther thence, he saw James the son of Zebedee, and John his brother, who also were in the ship mending their nets.",mark_1_19,https://github.com/seven1m/open-bibles,faith;forgiveness,disgust
20,mark,1,20,,"And straightway he called them: and they left their father Zebedee in the ship with the hired servants, and went after him.",mark_1_20,https://github.com/seven1m/open-bibles,faith;forgiveness;love,neutral
21,mark,1,21,,"And they went into Capernaum; and straightway on the sabbath day he entered into the synagogue, and taught.",mark_1_21,https://github.com/seven1m/open-bibles,faith,disgust
22,mark,1,22,,"And they were astonished at his doctrine: for he taught them as one that had authority, and not as the scribes.",mark_1_22,https://github.com/seven1m/open-bibles,faith,surprise
23,mark,1,23,,"And there was in their synagogue a man with an unclean spirit; and he cried out,",mark_1_23,https://github.com/seven1m/open-bibles,,disgust
24,mark,1,24,,"Saying, Let us alone; what have we to do with thee, thou Jesus of Nazareth? art thou come to destroy us? I know thee who thou art, the Holy One of God.",mark_1_24,https://github.com/seven1m/open-bibles,forgiveness;fear;faith,anger
25,mark,1,25,,"And Jesus rebuked him, saying, Hold thy peace, and come out of him.",mark_1_25,https://github.com/seven1m/open-bibles,faith;fear,disgust
26,mark,1,26,,"And when the unclean spirit had torn him, and cried with a loud voice, he came out of him.",mark_1_26,https://github.com/seven1m/open-bibles,faith;forgiveness,disgust
27,mark,1,27,,"And they were all amazed, insomuch that they questioned among themselves, saying, What thing is this? what new doctrine is this? for with authority commandeth he even the unclean spirits, and they do obey him.",mark_1_27,https://github.com/seven1m/open-bibles,faith,surprise
28,mark,1,28,,And immediately his fame spread abroad throughout all the region round about Galilee.,mark_1_28,https://github.com/seven1m/open-bibles,faith,joy
29,mark,1,29,,"And forthwith, when they were come out of the synagogue, they entered into the house of Simon and Andrew, with James and John.",mark_1_29,https://github.com/seven1m/open-bibles,faith;forgiveness;fear,fear
30,mark,1,30,,"But Simon's wife's mother lay sick of a fever, and anon they tell him of her.",mark_1_30,https://github.com/seven1m/open-bibles,faith,sadness
31,mark,1,31,,"And he came and took her by the hand, and lifted her up; and immediately the fever left her, and she ministered unto them.",mark_1_31,https://github.com/seven1m/open-bibles,faith;love;forgiveness;hope,disgust
32,mark,1,32,,"And at even, when the sun did set, they brought unto him all that were diseased, and them that were possessed with devils.",mark_1_32,https://github.com/seven1m/open-bibles,fear;faith;forgiveness,disgust
33,mark,1,33,,And all the city was gathered together at the door.,mark_1_33,https://github.com/seven1m/open-bibles,fear;faith,surprise
34,mark,1,34,,"And he healed many that were sick of divers diseases, and cast out many devils; and suffered not the devils to speak, because they knew him.",mark_1_34,https://github.com/seven1m/open-bibles,faith;forgiveness;hope,neutral
35,mark,1,35,,"And in the morning, rising up a great while before day, he went out, and departed into a solitary place, and there prayed.",mark_1_35,https://github.com/seven1m/open-bibles,faith,sadness
36,mark,1,36,,And Simon and they that were with him followed after him.,mark_1_36,https://github.com/seven1m/open-bibles,faith,neutral
37,mark,1,37,,"And when they had found him, they said unto him, All men seek for thee.",mark_1_37,https://github.com/seven1m/open-bibles,faith;forgiveness;love,neutral
38,mark,1,38,,"And he said unto them, Let us go into the next towns, that I may preach there also: for therefore came I forth.",mark_1_38,https://github.com/seven1m/open-bibles,faith;forgiveness;hope,neutral
39,mark,1,39,,"And he preached in their synagogues throughout all Galilee, and cast out devils.",mark_1_39,https://github.com/seven1m/open-bibles,faith;hope,disgust
40,mark,1,40,,"And there came a leper to him, beseeching him, and kneeling down to him, and saying unto him, If thou wilt, thou canst make me clean.",mark_1_40,https://github.com/seven1m/open-bibles,fear;forgiveness;hope;faith,disgust
41,mark,1,41,,"And Jesus, moved with compassion, put forth his hand, and touched him, and saith unto him, I will; be thou clean.",mark_1_41,https://github.com/seven1m/open-bibles,forgiveness;love;faith;hope,disgust
42,mark,1,42,,"And as soon as he had spoken, immediately the leprosy departed from him, and he was cleansed.",mark_1_42,https://github.com/seven1m/open-bibles,forgiveness;faith;hope,disgust
43,mark,1,43,,"And he straitly charged him, and forthwith sent him away;",mark_1_43,https://github.com/seven1m/open-bibles,faith,anger
44,mark,1,44,,"And saith unto him, See thou say nothing to any man: but go thy way, shew thyself to the priest, and offer for thy cleansing those things which Moses commanded, for a testimony unto them.",mark_1_44,https://github.com/seven1m/open-bibles,forgiveness;faith;fear,disgust
