id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,philippians,1,1,,"Paul and Timotheus, the servants of Jesus Christ, to all the saints in Christ Jesus which are at Philippi, with the bishops and deacons:",philippians_1_1,https://github.com/seven1m/open-bibles,faith;love;hope;forgiveness,neutral
2,philippians,1,2,,"Grace be unto you, and peace, from God our Father, and from the Lord Jesus Christ.",philippians_1_2,https://github.com/seven1m/open-bibles,forgiveness;faith;hope;love,neutral
3,philippians,1,3,,"I thank my God upon every remembrance of you,",philippians_1_3,https://github.com/seven1m/open-bibles,faith;hope;love;forgiveness,joy
4,philippians,1,4,,"Always in every prayer of mine for you all making request with joy,",philippians_1_4,https://github.com/seven1m/open-bibles,faith;hope;love,joy
5,philippians,1,5,,For your fellowship in the gospel from the first day until now;,philippians_1_5,https://github.com/seven1m/open-bibles,faith;love;hope,joy
6,philippians,1,6,,"Being confident of this very thing, that he which hath begun a good work in you will perform it until the day of Jesus Christ:",philippians_1_6,https://github.com/seven1m/open-bibles,faith;hope;love;forgiveness,neutral
7,philippians,1,7,,"Even as it is meet for me to think this of you all, because I have you in my heart; inasmuch as both in my bonds, and in the defence and confirmation of the gospel, ye all are partakers of my grace.",philippians_1_7,https://github.com/seven1m/open-bibles,love;forgiveness;faith;hope,neutral
8,philippians,1,8,,"For God is my record, how greatly I long after you all in the bowels of Jesus Christ.",philippians_1_8,https://github.com/seven1m/open-bibles,faith;love,neutral
9,philippians,1,9,,"And this I pray, that your love may abound yet more and more in knowledge and in all judgment;",philippians_1_9,https://github.com/seven1m/open-bibles,faith;love;hope,neutral
10,philippians,1,10,,That ye may approve things that are excellent; that ye may be sincere and without offence till the day of Christ;,philippians_1_10,https://github.com/seven1m/open-bibles,faith;forgiveness;hope;love,anger
11,philippians,1,11,,"Being filled with the fruits of righteousness, which are by Jesus Christ, unto the glory and praise of God.",philippians_1_11,https://github.com/seven1m/open-bibles,faith;hope,joy
12,philippians,1,12,,"But I would ye should understand, brethren, that the things which happened unto me have fallen out rather unto the furtherance of the gospel;",philippians_1_12,https://github.com/seven1m/open-bibles,faith,neutral
13,philippians,1,13,,"So that my bonds in Christ are manifest in all the palace, and in all other places;",philippians_1_13,https://github.com/seven1m/open-bibles,faith;love;hope,neutral
14,philippians,1,14,,"And many of the brethren in the Lord, waxing confident by my bonds, are much more bold to speak the word without fear.",philippians_1_14,https://github.com/seven1m/open-bibles,faith,fear
15,philippians,1,15,,Some indeed preach Christ even of envy and strife; and some also of good will:,philippians_1_15,https://github.com/seven1m/open-bibles,faith,neutral
16,philippians,1,16,,"The one preach Christ of contention, not sincerely, supposing to add affliction to my bonds:",philippians_1_16,https://github.com/seven1m/open-bibles,,disgust
17,philippians,1,17,,"But the other of love, knowing that I am set for the defence of the gospel.",philippians_1_17,https://github.com/seven1m/open-bibles,love;faith;hope,joy
18,philippians,1,18,,"What then? notwithstanding, every way, whether in pretence, or in truth, Christ is preached; and I therein do rejoice, yea, and will rejoice.",philippians_1_18,https://github.com/seven1m/open-bibles,faith;hope;love,joy
19,philippians,1,19,,"For I know that this shall turn to my salvation through your prayer, and the supply of the Spirit of Jesus Christ,",philippians_1_19,https://github.com/seven1m/open-bibles,faith;hope;forgiveness,neutral
20,philippians,1,20,,"According to my earnest expectation and my hope, that in nothing I shall be ashamed, but that with all boldness, as always, so now also Christ shall be magnified in my body, whether it be by life, or by death.",philippians_1_20,https://github.com/seven1m/open-bibles,hope;faith;forgiveness;love,neutral
21,philippians,1,21,,"For to me to live is Christ, and to die is gain.",philippians_1_21,https://github.com/seven1m/open-bibles,faith;love,joy
22,philippians,1,22,,"But if I live in the flesh, this is the fruit of my labour: yet what I shall choose I wot not.",philippians_1_22,https://github.com/seven1m/open-bibles,,disgust
23,philippians,1,23,,"For I am in a strait betwixt two, having a desire to depart, and to be with Christ; which is far better:",philippians_1_23,https://github.com/seven1m/open-bibles,faith,neutral
24,philippians,1,24,,Nevertheless to abide in the flesh is more needful for you.,philippians_1_24,https://github.com/seven1m/open-bibles,,disgust
25,philippians,1,25,,"And having this confidence, I know that I shall abide and continue with you all for your furtherance and joy of faith;",philippians_1_25,https://github.com/seven1m/open-bibles,hope;faith,joy
