id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,2_thessalonians,1,1,,"Paul, and Silvanus, and Timotheus, unto the church of the Thessalonians in God our Father and the Lord Jesus Christ:",2_thessalonians_1_1,https://github.com/seven1m/open-bibles,faith;love;forgiveness;hope,neutral
2,2_thessalonians,1,2,,"Grace unto you, and peace, from God our Father and the Lord Jesus Christ.",2_thessalonians_1_2,https://github.com/seven1m/open-bibles,forgiveness;love;hope;faith,neutral
3,2_thessalonians,1,3,,"We are bound to thank God always for you, brethren, as it is meet, because that your faith groweth exceedingly, and the charity of every one of you all toward each other aboundeth;",2_thessalonians_1_3,https://github.com/seven1m/open-bibles,love;faith;hope;forgiveness,joy
4,2_thessalonians,1,4,,So that we ourselves glory in you in the churches of God for your patience and faith in all your persecutions and tribulations that ye endure:,2_thessalonians_1_4,https://github.com/seven1m/open-bibles,faith;hope;love,neutral
5,2_thessalonians,1,5,,"Which is a manifest token of the righteous judgment of God, that ye may be counted worthy of the kingdom of God, for which ye also suffer:",2_thessalonians_1_5,https://github.com/seven1m/open-bibles,faith,disgust
6,2_thessalonians,1,6,,Seeing it is a righteous thing with God to recompense tribulation to them that trouble you;,2_thessalonians_1_6,https://github.com/seven1m/open-bibles,faith,anger
7,2_thessalonians,1,7,,"And to you who are troubled rest with us, when the Lord Jesus shall be revealed from heaven with his mighty angels,",2_thessalonians_1_7,https://github.com/seven1m/open-bibles,hope;faith;forgiveness;fear;love,sadness
8,2_thessalonians,1,8,,"In flaming fire taking vengeance on them that know not God, and that obey not the gospel of our Lord Jesus Christ:",2_thessalonians_1_8,https://github.com/seven1m/open-bibles,faith,anger
9,2_thessalonians,1,9,,"Who shall be punished with everlasting destruction from the presence of the Lord, and from the glory of his power;",2_thessalonians_1_9,https://github.com/seven1m/open-bibles,,anger
10,2_thessalonians,1,10,,"When he shall come to be glorified in his saints, and to be admired in all them that believe (because our testimony among you was believed) in that day.",2_thessalonians_1_10,https://github.com/seven1m/open-bibles,hope;faith,joy
11,2_thessalonians,1,11,,"Wherefore also we pray always for you, that our God would count you worthy of this calling, and fulfil all the good pleasure of his goodness, and the work of faith with power:",2_thessalonians_1_11,https://github.com/seven1m/open-bibles,faith;hope;love,neutral
12,2_thessalonians,1,12,,"That the name of our Lord Jesus Christ may be glorified in you, and ye in him, according to the grace of our God and the Lord Jesus Christ.",2_thessalonians_1_12,https://github.com/seven1m/open-bibles,faith;hope;love,neutral
13,2_thessalonians,2,1,,"Now we beseech you, brethren, by the coming of our Lord Jesus Christ, and by our gathering together unto him,",2_thessalonians_2_1,https://github.com/seven1m/open-bibles,faith;hope;forgiveness;love,joy
14,2_thessalonians,2,2,,"That ye be not soon shaken in mind, or be troubled, neither by spirit, nor by word, nor by letter as from us, as that the day of Christ is at hand.",2_thessalonians_2_2,https://github.com/seven1m/open-bibles,hope;faith,fear
