id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,1_peter,1,1,,"Peter, an apostle of Jesus Christ, to the strangers scattered throughout Pontus, Galatia, Cappadocia, Asia, and Bithynia,",1_peter_1_1,https://github.com/seven1m/open-bibles,faith;love;hope;forgiveness,neutral
2,1_peter,1,2,,"Elect according to the foreknowledge of God the Father, through sanctification of the Spirit, unto obedience and sprinkling of the blood of Jesus Christ: Grace unto you, and peace, be multiplied.",1_peter_1_2,https://github.com/seven1m/open-bibles,forgiveness;love;hope;faith,neutral
3,1_peter,1,3,,"Blessed be the God and Father of our Lord Jesus Christ, which according to his abundant mercy hath begotten us again unto a lively hope by the resurrection of Jesus Christ from the dead,",1_peter_1_3,https://github.com/seven1m/open-bibles,forgiveness;hope;faith;love,joy
4,1_peter,1,4,,"To an inheritance incorruptible, and undefiled, and that fadeth not away, reserved in heaven for you,",1_peter_1_4,https://github.com/seven1m/open-bibles,hope;faith,sadness
5,1_peter,1,5,,Who are kept by the power of God through faith unto salvation ready to be revealed in the last time.,1_peter_1_5,https://github.com/seven1m/open-bibles,faith;hope,neutral
6,1_peter,1,6,,"Wherein ye greatly rejoice, though now for a season, if need be, ye are in heaviness through manifold temptations:",1_peter_1_6,https://github.com/seven1m/open-bibles,hope;faith,sadness
7,1_peter,1,7,,"That the trial of your faith, being much more precious than of gold that perisheth, though it be tried with fire, might be found unto praise and honour and glory at the appearing of Jesus Christ:",1_peter_1_7,https://github.com/seven1m/open-bibles,faith;hope,joy
8,1_peter,1,8,,"Whom having not seen, ye love; in whom, though now ye see him not, yet believing, ye rejoice with joy unspeakable and full of glory:",1_peter_1_8,https://github.com/seven1m/open-bibles,love;faith;hope;forgiveness,joy
9,1_peter,1,9,,"Receiving the end of your faith, even the salvation of your souls.",1_peter_1_9,https://github.com/seven1m/open-bibles,forgiveness;faith,joy
10,1_peter,1,10,,"Of which salvation the prophets have enquired and searched diligently, who prophesied of the grace that should come unto you:",1_peter_1_10,https://github.com/seven1m/open-bibles,faith;hope;forgiveness,neutral
11,1_peter,1,11,,"Searching what, or what manner of time the Spirit of Christ which was in them did signify, when it testified beforehand the sufferings of Christ, and the glory that should follow.",1_peter_1_11,https://github.com/seven1m/open-bibles,faith,neutral
12,1_peter,1,12,,"Unto whom it was revealed, that not unto themselves, but unto us they did minister the things, which are now reported unto you by them that have preached the gospel unto you with the Holy Ghost sent down from heaven; which things the angels desire to look into.",1_peter_1_12,https://github.com/seven1m/open-bibles,faith,neutral
13,1_peter,1,13,,"Wherefore gird up the loins of your mind, be sober, and hope to the end for the grace that is to be brought unto you at the revelation of Jesus Christ;",1_peter_1_13,https://github.com/seven1m/open-bibles,faith;hope,sadness
14,1_peter,1,14,,"As obedient children, not fashioning yourselves according to the former lusts in your ignorance:",1_peter_1_14,https://github.com/seven1m/open-bibles,faith,neutral
15,1_peter,1,15,,"But as he which hath called you is holy, so be ye holy in all manner of conversation;",1_peter_1_15,https://github.com/seven1m/open-bibles,faith,neutral
16,1_peter,1,16,,"Because it is written, Be ye holy; for I am holy.",1_peter_1_16,https://github.com/seven1m/open-bibles,faith,neutral
17,1_peter,1,17,,"And if ye call on the Father, who without respect of persons judgeth according to every man's work, pass the time of your sojourning here in fear:",1_peter_1_17,https://github.com/seven1m/open-bibles,fear,fear
18,1_peter,1,18,,"Forasmuch as ye know that ye were not redeemed with corruptible things, as silver and gold, from your vain conversation received by tradition from your fathers;",1_peter_1_18,https://github.com/seven1m/open-bibles,faith;forgiveness,disgust
19,1_peter,1,19,,"But with the precious blood of Christ, as of a lamb without blemish and without spot:",1_peter_1_19,https://github.com/seven1m/open-bibles,faith;forgiveness;hope,sadness
20,1_peter,1,20,,"Who verily was foreordained before the foundation of the world, but was manifest in these last times for you,",1_peter_1_20,https://github.com/seven1m/open-bibles,faith,neutral
21,1_peter,1,21,,"Who by him do believe in God, that raised him up from the dead, and gave him glory; that your faith and hope might be in God.",1_peter_1_21,https://github.com/seven1m/open-bibles,faith;hope;forgiveness,neutral
22,1_peter,1,22,,"Seeing ye have purified your souls in obeying the truth through the Spirit unto unfeigned love of the brethren, see that ye love one another with a pure heart fervently:",1_peter_1_22,https://github.com/seven1m/open-bibles,love;faith,anger
23,1_peter,1,23,,"Being born again, not of corruptible seed, but of incorruptible, by the word of God, which liveth and abideth for ever.",1_peter_1_23,https://github.com/seven1m/open-bibles,faith;hope,disgust
24,1_peter,1,24,,"For all flesh is as grass, and all the glory of man as the flower of grass. The grass withereth, and the flower thereof falleth away:",1_peter_1_24,https://github.com/seven1m/open-bibles,faith;forgiveness,disgust
25,1_peter,1,25,,But the word of the Lord endureth for ever. And this is the word which by the gospel is preached unto you.,1_peter_1_25,https://github.com/seven1m/open-bibles,faith;hope;forgiveness,neutral
26,1_peter,2,1,,"Wherefore laying aside all malice, and all guile, and hypocrisies, and envies, and all evil speakings,",1_peter_2_1,https://github.com/seven1m/open-bibles,forgiveness;faith;hope;love,anger
27,1_peter,2,2,,"As newborn babes, desire the sincere milk of the word, that ye may grow thereby:",1_peter_2_2,https://github.com/seven1m/open-bibles,faith,neutral
28,1_peter,2,3,,If so be ye have tasted that the Lord is gracious.,1_peter_2_3,https://github.com/seven1m/open-bibles,faith;forgiveness;hope,neutral
29,1_peter,2,4,,"To whom coming, as unto a living stone, disallowed indeed of men, but chosen of God, and precious,",1_peter_2_4,https://github.com/seven1m/open-bibles,faith,disgust
30,1_peter,2,5,,"Ye also, as lively stones, are built up a spiritual house, an holy priesthood, to offer up spiritual sacrifices, acceptable to God by Jesus Christ.",1_peter_2_5,https://github.com/seven1m/open-bibles,faith,joy
31,1_peter,2,6,,"Wherefore also it is contained in the scripture, Behold, I lay in Sion a chief corner stone, elect, precious: and he that believeth on him shall not be confounded.",1_peter_2_6,https://github.com/seven1m/open-bibles,faith;hope,fear
32,1_peter,2,7,,"Unto you therefore which believe he is precious: but unto them which be disobedient, the stone which the builders disallowed, the same is made the head of the corner,",1_peter_2_7,https://github.com/seven1m/open-bibles,,disgust
33,1_peter,2,8,,"And a stone of stumbling, and a rock of offence, even to them which stumble at the word, being disobedient: whereunto also they were appointed.",1_peter_2_8,https://github.com/seven1m/open-bibles,,disgust
34,1_peter,2,9,,"But ye are a chosen generation, a royal priesthood, an holy nation, a peculiar people; that ye should shew forth the praises of him who hath called you out of darkness into his marvellous light:",1_peter_2_9,https://github.com/seven1m/open-bibles,faith;hope,neutral
35,1_peter,2,10,,"Which in time past were not a people, but are now the people of God: which had not obtained mercy, but now have obtained mercy.",1_peter_2_10,https://github.com/seven1m/open-bibles,faith;forgiveness,neutral
36,1_peter,2,11,,"Dearly beloved, I beseech you as strangers and pilgrims, abstain from fleshly lusts, which war against the soul;",1_peter_2_11,https://github.com/seven1m/open-bibles,faith,disgust
