id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,3_john,1,1,,"The elder unto the wellbeloved Gaius, whom I love in the truth.",3_john_1_1,https://github.com/seven1m/open-bibles,love;faith,joy
2,3_john,1,2,,"Beloved, I wish above all things that thou mayest prosper and be in health, even as thy soul prospereth.",3_john_1_2,https://github.com/seven1m/open-bibles,hope;love;faith;forgiveness,sadness
3,3_john,1,3,,"For I rejoiced greatly, when the brethren came and testified of the truth that is in thee, even as thou walkest in the truth.",3_john_1_3,https://github.com/seven1m/open-bibles,faith;hope;love,joy
4,3_john,1,4,,I have no greater joy than to hear that my children walk in truth.,3_john_1_4,https://github.com/seven1m/open-bibles,hope;faith;love,joy
5,3_john,1,5,,"Beloved, thou doest faithfully whatsoever thou doest to the brethren, and to strangers;",3_john_1_5,https://github.com/seven1m/open-bibles,faith;love;hope,neutral
6,3_john,1,6,,"Which have borne witness of thy charity before the church: whom if thou bring forward on their journey after a godly sort, thou shalt do well:",3_john_1_6,https://github.com/seven1m/open-bibles,love;faith;forgiveness;hope,joy
7,3_john,1,7,,"Because that for his name's sake they went forth, taking nothing of the Gentiles.",3_john_1_7,https://github.com/seven1m/open-bibles,faith;forgiveness,disgust
8,3_john,1,8,,"We therefore ought to receive such, that we might be fellowhelpers to the truth.",3_john_1_8,https://github.com/seven1m/open-bibles,forgiveness;faith,neutral
9,3_john,1,9,,"I wrote unto the church: but Diotrephes, who loveth to have the preeminence among them, receiveth us not.",3_john_1_9,https://github.com/seven1m/open-bibles,faith,neutral
10,3_john,1,10,,"Wherefore, if I come, I will remember his deeds which he doeth, prating against us with malicious words: and not content therewith, neither doth he himself receive the brethren, and forbiddeth them that would, and casteth them out of the church.",3_john_1_10,https://github.com/seven1m/open-bibles,,anger
11,3_john,1,11,,"Beloved, follow not that which is evil, but that which is good. He that doeth good is of God: but he that doeth evil hath not seen God.",3_john_1_11,https://github.com/seven1m/open-bibles,love;faith;forgiveness,disgust
12,3_john,1,12,,"Demetrius hath good report of all men, and of the truth itself: yea, and we also bear record; and ye know that our record is true.",3_john_1_12,https://github.com/seven1m/open-bibles,faith,neutral
13,3_john,1,13,,"I had many things to write, but I will not with ink and pen write unto thee:",3_john_1_13,https://github.com/seven1m/open-bibles,,neutral
14,3_john,1,14,,"But I trust I shall shortly see thee, and we shall speak face to face. Peace be to thee. Our friends salute thee. Greet the friends by name.",3_john_1_14,https://github.com/seven1m/open-bibles,hope;faith;forgiveness,joy
