id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,joshua,1,1,,"Now after the death of Moses the servant of the LORD it came to pass, that the LORD spake unto Joshua the son of Nun, Moses' minister, saying,",joshua_1_1,https://github.com/seven1m/open-bibles,faith;forgiveness,disgust
2,joshua,1,2,,"Moses my servant is dead; now therefore arise, go over this Jordan, thou, and all this people, unto the land which I do give to them, even to the children of Israel.",joshua_1_2,https://github.com/seven1m/open-bibles,forgiveness;faith;fear;love;hope,sadness
3,joshua,1,3,,"Every place that the sole of your foot shall tread upon, that have I given unto you, as I said unto Moses.",joshua_1_3,https://github.com/seven1m/open-bibles,faith;forgiveness;fear,fear
4,joshua,1,4,,"From the wilderness and this Lebanon even unto the great river, the river Euphrates, all the land of the Hittites, and unto the great sea toward the going down of the sun, shall be your coast.",joshua_1_4,https://github.com/seven1m/open-bibles,faith;hope,neutral
5,joshua,1,5,,"There shall not any man be able to stand before thee all the days of thy life: as I was with Moses, so I will be with thee: I will not fail thee, nor forsake thee.",joshua_1_5,https://github.com/seven1m/open-bibles,hope;faith;forgiveness;love,sadness
6,joshua,1,6,,"Be strong and of a good courage: for unto this people shalt thou divide for an inheritance the land, which I sware unto their fathers to give them.",joshua_1_6,https://github.com/seven1m/open-bibles,faith;hope,anger
7,joshua,1,7,,"Only be thou strong and very courageous, that thou mayest observe to do according to all the law, which Moses my servant commanded thee: turn not from it to the right hand or to the left, that thou mayest prosper whithersoever thou goest.",joshua_1_7,https://github.com/seven1m/open-bibles,faith;hope,joy
8,joshua,1,8,,"This book of the law shall not depart out of thy mouth; but thou shalt meditate therein day and night, that thou mayest observe to do according to all that is written therein: for then thou shalt make thy way prosperous, and then thou shalt have good success.",joshua_1_8,https://github.com/seven1m/open-bibles,faith,joy
9,joshua,1,9,,"Have not I commanded thee? Be strong and of a good courage; be not afraid, neither be thou dismayed: for the LORD thy God is with thee whithersoever thou goest.",joshua_1_9,https://github.com/seven1m/open-bibles,faith;hope,fear
10,joshua,1,10,,"Then Joshua commanded the officers of the people, saying,",joshua_1_10,https://github.com/seven1m/open-bibles,faith,disgust
11,joshua,1,11,,"Pass through the host, and command the people, saying, Prepare you victuals; for within three days ye shall pass over this Jordan, to go in to possess the land, which the LORD your God giveth you to possess it.",joshua_1_11,https://github.com/seven1m/open-bibles,faith;hope;fear,neutral
12,joshua,1,12,,"And to the Reubenites, and to the Gadites, and to half the tribe of Manasseh, spake Joshua, saying,",joshua_1_12,https://github.com/seven1m/open-bibles,faith;forgiveness;hope,neutral
13,joshua,1,13,,"Remember the word which Moses the servant of the LORD commanded you, saying, The LORD your God hath given you rest, and hath given you this land.",joshua_1_13,https://github.com/seven1m/open-bibles,faith;hope;forgiveness,neutral
14,joshua,1,14,,"Your wives, your little ones, and your cattle, shall remain in the land which Moses gave you on this side Jordan; but ye shall pass before your brethren armed, all the mighty men of valour, and help them;",joshua_1_14,https://github.com/seven1m/open-bibles,faith;hope;love,neutral
15,joshua,1,15,,"Until the LORD have given your brethren rest, as he hath given you, and they also have possessed the land which the LORD your God giveth them: then ye shall return unto the land of your possession, and enjoy it, which Moses the LORD'S servant gave you on this side Jordan toward the sunrising.",joshua_1_15,https://github.com/seven1m/open-bibles,hope;forgiveness;faith,neutral
16,joshua,1,16,,"And they answered Joshua, saying, All that thou commandest us we will do, and whithersoever thou sendest us, we will go.",joshua_1_16,https://github.com/seven1m/open-bibles,faith;hope;forgiveness,neutral
17,joshua,1,17,,"According as we hearkened unto Moses in all things, so will we hearken unto thee: only the LORD thy God be with thee, as he was with Moses.",joshua_1_17,https://github.com/seven1m/open-bibles,faith,neutral
18,joshua,1,18,,"Whosoever he be that doth rebel against thy commandment, and will not hearken unto thy words in all that thou commandest him, he shall be put to death: only be strong and of a good courage.",joshua_1_18,https://github.com/seven1m/open-bibles,faith,anger
19,joshua,2,1,,"And Joshua the son of Nun sent out of Shittim two men to spy secretly, saying, Go view the land, even Jericho. And they went, and came into an harlot's house, named Rahab, and lodged there.",joshua_2_1,https://github.com/seven1m/open-bibles,faith;fear,disgust
20,joshua,2,2,,"And it was told the king of Jericho, saying, Behold, there came men in hither to night of the children of Israel to search out the country.",joshua_2_2,https://github.com/seven1m/open-bibles,fear;faith,fear
21,joshua,2,3,,"And the king of Jericho sent unto Rahab, saying, Bring forth the men that are come to thee, which are entered into thine house: for they be come to search out all the country.",joshua_2_3,https://github.com/seven1m/open-bibles,fear;faith;forgiveness,fear
22,joshua,2,4,,"And the woman took the two men, and hid them, and said thus, There came men unto me, but I wist not whence they were:",joshua_2_4,https://github.com/seven1m/open-bibles,fear;faith;forgiveness;love,fear
23,joshua,2,5,,"And it came to pass about the time of shutting of the gate, when it was dark, that the men went out: whither the men went I wot not: pursue after them quickly; for ye shall overtake them.",joshua_2_5,https://github.com/seven1m/open-bibles,fear;faith;hope;forgiveness,fear
24,joshua,2,6,,"But she had brought them up to the roof of the house, and hid them with the stalks of flax, which she had laid in order upon the roof.",joshua_2_6,https://github.com/seven1m/open-bibles,forgiveness;faith,disgust
25,joshua,2,7,,"And the men pursued after them the way to Jordan unto the fords: and as soon as they which pursued after them were gone out, they shut the gate.",joshua_2_7,https://github.com/seven1m/open-bibles,fear;faith,anger
26,joshua,2,8,,"And before they were laid down, she came up unto them upon the roof;",joshua_2_8,https://github.com/seven1m/open-bibles,love;faith,fear
27,joshua,2,9,,"And she said unto the men, I know that the LORD hath given you the land, and that your terror is fallen upon us, and that all the inhabitants of the land faint because of you.",joshua_2_9,https://github.com/seven1m/open-bibles,fear;faith,fear
