id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,2-samuel,1,1,David oye de la muerte de Saúl,"Aconteció después de la muerte de Saúl, que vuelto David de la derrota de los amalecitas, estuvo dos días en Siclag.",2-samuel_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,fe;perdón,Asco
2,2-samuel,1,2,David oye de la muerte de Saúl,"Al tercer día, sucedió que vino uno del campamento de Saúl, rotos sus vestidos, y tierra sobre su cabeza; y llegando a David, se postró en tierra e hizo reverencia.",2-samuel_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,miedo;perdón;fe;amor,Asco
3,2-samuel,1,3,David oye de la muerte de Saúl,Y le preguntó David: ¿De dónde vienes? Y él respondió: Me he escapado del campamento de Israel.,2-samuel_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,miedo;fe,Miedo
4,2-samuel,1,4,David oye de la muerte de Saúl,"David le dijo: ¿Qué ha acontecido? Te ruego que me lo digas. Y él respondió: El pueblo huyó de la batalla, y también muchos del pueblo cayeron y son muertos; también Saúl y Jonatán su hijo murieron.",2-samuel_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,miedo;fe,Tristeza
5,2-samuel,1,5,David oye de la muerte de Saúl,Dijo David a aquel joven que le daba las nuevas: ¿Cómo sabes que han muerto Saúl y Jonatán su hijo?,2-samuel_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,fe;miedo,Miedo
6,2-samuel,1,6,David oye de la muerte de Saúl,"El joven que le daba las nuevas respondió: Casualmente vine al monte de Gilboa, y hallé a Saúl que se apoyaba sobre su lanza, y venían tras él carros y gente de a caballo.",2-samuel_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,miedo;fe,Miedo
7,2-samuel,1,7,David oye de la muerte de Saúl,"Y mirando él hacia atrás, me vio y me llamó; y yo dije: Heme aquí.",2-samuel_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,fe;perdón;esperanza,Miedo
8,2-samuel,1,8,David oye de la muerte de Saúl,Y me preguntó: ¿Quién eres tú? Y yo le respondí: Soy amalecita.,2-samuel_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,fe,Neutral
9,2-samuel,1,9,David oye de la muerte de Saúl,"El me volvió a decir: Te ruego que te pongas sobre mí y me mates, porque se ha apoderado de mí la angustia; pues mi vida está aún toda en mí.",2-samuel_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,miedo;fe,Miedo
10,2-samuel,1,10,David oye de la muerte de Saúl,"Yo entonces me puse sobre él y le maté, porque sabía que no podía vivir después de su caída; y tomé la corona que tenía en su cabeza, y la argolla que traía en su brazo, y las he traído acá a mi señor.",2-samuel_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,miedo;fe,Ira
11,2-samuel,1,11,David oye de la muerte de Saúl,"Entonces David, asiendo de sus vestidos, los rasgó; y lo mismo hicieron los hombres que estaban con él.",2-samuel_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,fe,Ira
12,2-samuel,1,12,David oye de la muerte de Saúl,"Y lloraron y lamentaron y ayunaron hasta la noche, por Saúl y por Jonatán su hijo, por el pueblo de Jehová y por la casa de Israel, porque habían caído a filo de espada.",2-samuel_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,miedo;fe,Tristeza
13,2-samuel,1,13,David oye de la muerte de Saúl,"Y David dijo a aquel joven que le había traído las nuevas: ¿De dónde eres tú? Y él respondió: Yo soy hijo de un extranjero, amalecita.",2-samuel_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,fe;perdón;miedo,Miedo
14,2-samuel,1,14,David oye de la muerte de Saúl,Y le dijo David: ¿Cómo no tuviste temor de extender tu mano para matar al ungido de Jehová?,2-samuel_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,miedo,Miedo
15,2-samuel,1,15,David oye de la muerte de Saúl,"Entonces llamó David a uno de sus hombres, y le dijo: Ve y mátalo. Y él lo hirió, y murió.",2-samuel_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,fe,Asco
16,2-samuel,1,16,David oye de la muerte de Saúl,"Y David le dijo: Tu sangre sea sobre tu cabeza, pues tu misma boca atestiguó contra ti, diciendo: Yo maté al ungido de Jehová.",2-samuel_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,fe;miedo,Asco
17,2-samuel,1,17,David endecha a Saúl y a Jonatán,"Y endechó David a Saúl y a Jonatán su hijo con esta endecha,",2-samuel_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,fe,Tristeza
18,2-samuel,1,18,David endecha a Saúl y a Jonatán,y dijo que debía enseñarse a los hijos de Judá. He aquí que está escrito en el libro de Jaser.,2-samuel_1_18,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,fe,Asco
19,2-samuel,1,19,David endecha a Saúl y a Jonatán,"¡Ha perecido la gloria de Israel sobre tus alturas!
¡Cómo han caído los valientes!",2-samuel_1_19,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,,Tristeza
20,2-samuel,1,20,David endecha a Saúl y a Jonatán,"No lo anunciéis en Gat,
Ni deis las nuevas en las plazas de Ascalón;
Para que no se alegren las hijas de los filisteos,
Para que no salten de gozo las hijas de los incircuncisos.",2-samuel_1_20,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,miedo;fe,Alegría
21,2-samuel,1,21,David endecha a Saúl y a Jonatán,"Montes de Gilboa,
Ni rocío ni lluvia caiga sobre vosotros, ni seáis tierras de ofrendas;
Porque allí fue desechado el escudo de los valientes,
El escudo de Saúl, como si no hubiera sido ungido con aceite.",2-samuel_1_21,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,miedo;fe,Asco
22,2-samuel,1,22,David endecha a Saúl y a Jonatán,"Sin sangre de los muertos, sin grosura de los valientes,
El arco de Jonatán no volvía atrás,
Ni la espada de Saúl volvió vacía.",2-samuel_1_22,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,fe;perdón,Asco
23,2-samuel,1,23,David endecha a Saúl y a Jonatán,"Saúl y Jonatán, amados y queridos;
Inseparables en su vida, tampoco en su muerte fueron separados;
Más ligeros eran que águilas,
Más fuertes que leones.",2-samuel_1_23,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,perdón;fe;amor;esperanza,Alegría
24,2-samuel,1,24,David endecha a Saúl y a Jonatán,"Hijas de Israel, llorad por Saúl,
Quien os vestía de escarlata con deleites,
Quien adornaba vuestras ropas con ornamentos de oro.",2-samuel_1_24,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,fe;amor;perdón;esperanza,Tristeza
25,2-samuel,1,25,David endecha a Saúl y a Jonatán,"¡Cómo han caído los valientes en medio de la batalla!
¡Jonatán, muerto en tus alturas!",2-samuel_1_25,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,miedo;fe;perdón,Tristeza
26,2-samuel,1,26,David endecha a Saúl y a Jonatán,"Angustia tengo por ti, hermano mío Jonatán,
Que me fuiste muy dulce.
Más maravilloso me fue tu amor
Que el amor de las mujeres.",2-samuel_1_26,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,amor;fe;perdón,Miedo
27,2-samuel,1,27,David endecha a Saúl y a Jonatán,"¡Cómo han caído los valientes,
Han perecido las armas de guerra!",2-samuel_1_27,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=1&version=rv60,,Tristeza
28,2-samuel,2,1,David es proclamado rey de Judá,"Después de esto aconteció que David consultó a Jehová, diciendo: ¿Subiré a alguna de las ciudades de Judá? Y Jehová le respondió: Sube. David volvió a decir: ¿A dónde subiré? Y él le dijo: A Hebrón.",2-samuel_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=2&version=rv60,fe;miedo;perdón;esperanza,Miedo
29,2-samuel,2,2,David es proclamado rey de Judá,"David subió allá, y con él sus dos mujeres, Ahinoam jezreelita y Abigail, la que fue mujer de Nabal el de Carmel.",2-samuel_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=2&version=rv60,fe;amor;perdón;esperanza,Tristeza
30,2-samuel,2,3,David es proclamado rey de Judá,"Llevó también David consigo a los hombres que con él habían estado, cada uno con su familia; los cuales moraron en las ciudades de Hebrón.",2-samuel_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=2&version=rv60,fe;perdón,Asco
31,2-samuel,2,4,David es proclamado rey de Judá,"Y vinieron los varones de Judá y ungieron allí a David por rey sobre la casa de Judá. Y dieron aviso a David, diciendo: Los de Jabes de Galaad son los que sepultaron a Saúl.",2-samuel_2_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-samuel&capitulo=2&version=rv60,fe;perdón;esperanza,Asco
