id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,1-reyes,1,1,Abisag sirve a David,"Cuando el rey David era viejo y avanzado en días, le cubrían de ropas, pero no se calentaba.",1-reyes_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe;miedo;perdón,Tristeza
2,1-reyes,1,2,Abisag sirve a David,"Le dijeron, por tanto, sus siervos: Busquen para mi señor el rey una joven virgen, para que esté delante del rey y lo abrigue, y duerma a su lado, y entrará en calor mi señor el rey.",1-reyes_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,amor;fe;perdón;esperanza,Neutral
3,1-reyes,1,3,Abisag sirve a David,"Y buscaron una joven hermosa por toda la tierra de Israel, y hallaron a Abisag sunamita, y la trajeron al rey.",1-reyes_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe;amor;esperanza,Neutral
4,1-reyes,1,4,Abisag sirve a David,"Y la joven era hermosa; y ella abrigaba al rey, y le servía; pero el rey nunca la conoció.",1-reyes_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,amor,Neutral
5,1-reyes,1,5,Adonías usurpa el trono,"Entonces Adonías hijo de Haguit se rebeló, diciendo: Yo reinaré. Y se hizo de carros y de gente de a caballo, y de cincuenta hombres que corriesen delante de él.",1-reyes_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,esperanza;fe,Neutral
6,1-reyes,1,6,Adonías usurpa el trono,"Y su padre nunca le había entristecido en todos sus días con decirle: ¿Por qué haces así? Además, éste era de muy hermoso parecer; y había nacido después de Absalón.",1-reyes_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,perdón;amor;fe,Asco
7,1-reyes,1,7,Adonías usurpa el trono,"Y se había puesto de acuerdo con Joab hijo de Sarvia y con el sacerdote Abiatar, los cuales ayudaban a Adonías.",1-reyes_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe,Neutral
8,1-reyes,1,8,Adonías usurpa el trono,"Pero el sacerdote Sadoc, y Benaía hijo de Joiada, el profeta Natán, Simei, Rei y todos los grandes de David, no seguían a Adonías.",1-reyes_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe,Neutral
9,1-reyes,1,9,Adonías usurpa el trono,"Y matando Adonías ovejas y vacas y animales gordos junto a la peña de Zohelet, la cual está cerca de la fuente de Rogel, convidó a todos sus hermanos los hijos del rey, y a todos los varones de Judá, siervos del rey;",1-reyes_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe;amor;perdón,Asco
10,1-reyes,1,10,Adonías usurpa el trono,"pero no convidó al profeta Natán, ni a Benaía, ni a los grandes, ni a Salomón su hermano.",1-reyes_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe,Neutral
11,1-reyes,1,11,Adonías usurpa el trono,"Entonces habló Natán a Betsabé madre de Salomón, diciendo: ¿No has oído que reina Adonías hijo de Haguit, sin saberlo David nuestro señor?",1-reyes_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,miedo;fe,Neutral
12,1-reyes,1,12,Adonías usurpa el trono,"Ven pues, ahora, y toma mi consejo, para que conserves tu vida, y la de tu hijo Salomón.",1-reyes_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,miedo;fe;esperanza,Miedo
13,1-reyes,1,13,Adonías usurpa el trono,"Ve y entra al rey David, y dile: Rey señor mío, ¿no juraste a tu sierva, diciendo: Salomón tu hijo reinará después de mí, y él se sentará en mi trono? ¿Por qué, pues, reina Adonías?",1-reyes_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,miedo;fe;amor;esperanza,Neutral
14,1-reyes,1,14,Adonías usurpa el trono,"Y estando tú aún hablando con el rey, yo entraré tras ti y reafirmaré tus razones.",1-reyes_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,esperanza;fe,Neutral
15,1-reyes,1,15,Adonías usurpa el trono,"Entonces Betsabé entró a la cámara del rey; y el rey era muy viejo, y Abisag sunamita le servía.",1-reyes_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe,Asco
16,1-reyes,1,16,Adonías usurpa el trono,"Y Betsabé se inclinó, e hizo reverencia al rey. Y el rey dijo: ¿Qué tienes?",1-reyes_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,,Miedo
17,1-reyes,1,17,Adonías usurpa el trono,"Y ella le respondió: Señor mío, tú juraste a tu sierva por Jehová tu Dios, diciendo: Salomón tu hijo reinará después de mí, y él se sentará en mi trono.",1-reyes_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,esperanza;fe;amor;perdón;miedo,Asco
18,1-reyes,1,18,Adonías usurpa el trono,"Y he aquí ahora Adonías reina, y tú, mi señor rey, hasta ahora no lo sabes.",1-reyes_1_18,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe,Neutral
19,1-reyes,1,19,Adonías usurpa el trono,"Ha matado bueyes, y animales gordos, y muchas ovejas, y ha convidado a todos los hijos del rey, al sacerdote Abiatar, y a Joab general del ejército; mas a Salomón tu siervo no ha convidado.",1-reyes_1_19,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe,Asco
20,1-reyes,1,20,Adonías usurpa el trono,"Entre tanto, rey señor mío, los ojos de todo Israel están puestos en ti, para que les declares quién se ha de sentar en el trono de mi señor el rey después de él.",1-reyes_1_20,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,miedo;fe;esperanza,Neutral
21,1-reyes,1,21,Adonías usurpa el trono,"De otra manera sucederá que cuando mi señor el rey duerma con sus padres, yo y mi hijo Salomón seremos tenidos por culpables.",1-reyes_1_21,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,miedo,Neutral
22,1-reyes,1,22,Adonías usurpa el trono,"Mientras aún hablaba ella con el rey, he aquí vino el profeta Natán.",1-reyes_1_22,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe,Neutral
23,1-reyes,1,23,Adonías usurpa el trono,"Y dieron aviso al rey, diciendo: He aquí el profeta Natán; el cual, cuando entró al rey, se postró delante del rey inclinando su rostro a tierra.",1-reyes_1_23,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,miedo;fe;perdón;esperanza,Asco
24,1-reyes,1,24,Adonías usurpa el trono,"Y dijo Natán: Rey señor mío, ¿has dicho tú: Adonías reinará después de mí, y él se sentará en mi trono?",1-reyes_1_24,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,miedo;fe,Neutral
25,1-reyes,1,25,Adonías usurpa el trono,"Porque hoy ha descendido, y ha matado bueyes y animales gordos y muchas ovejas, y ha convidado a todos los hijos del rey, y a los capitanes del ejército, y también al sacerdote Abiatar; y he aquí, están comiendo y bebiendo delante de él, y han dicho: ¡Viva el rey Adonías!",1-reyes_1_25,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe;esperanza;perdón;miedo;amor,Asco
26,1-reyes,1,26,Adonías usurpa el trono,"Pero ni a mí tu siervo, ni al sacerdote Sadoc, ni a Benaía hijo de Joiada, ni a Salomón tu siervo, ha convidado.",1-reyes_1_26,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe,Tristeza
27,1-reyes,1,27,Adonías usurpa el trono,"¿Es este negocio ordenado por mi señor el rey, sin haber declarado a tus siervos quién se había de sentar en el trono de mi señor el rey después de él?",1-reyes_1_27,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,,Asco
28,1-reyes,1,28,David proclama rey a Salomón,"Entonces el rey David respondió y dijo: Llamadme a Betsabé. Y ella entró a la presencia del rey, y se puso delante del rey.",1-reyes_1_28,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe;amor;perdón,Neutral
29,1-reyes,1,29,David proclama rey a Salomón,"Y el rey juró diciendo: Vive Jehová, que ha redimido mi alma de toda angustia,",1-reyes_1_29,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,perdón;fe;esperanza;amor,Miedo
30,1-reyes,1,30,David proclama rey a Salomón,"que como yo te he jurado por Jehová Dios de Israel, diciendo: Tu hijo Salomón reinará después de mí, y él se sentará en mi trono en lugar mío; que así lo haré hoy.",1-reyes_1_30,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe;esperanza,Miedo
31,1-reyes,1,31,David proclama rey a Salomón,"Entonces Betsabé se inclinó ante el rey, con su rostro a tierra, y haciendo reverencia al rey, dijo: Viva mi señor el rey David para siempre.",1-reyes_1_31,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,esperanza;perdón;fe;amor,Asco
32,1-reyes,1,32,David proclama rey a Salomón,"Y el rey David dijo: Llamadme al sacerdote Sadoc, al profeta Natán, y a Benaía hijo de Joiada. Y ellos entraron a la presencia del rey.",1-reyes_1_32,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,fe;perdón;esperanza,Neutral
33,1-reyes,1,33,David proclama rey a Salomón,"Y el rey les dijo: Tomad con vosotros los siervos de vuestro señor, y montad a Salomón mi hijo en mi mula, y llevadlo a Gihón;",1-reyes_1_33,https://www.biblia.es/biblia-buscar-libros-1.php?libro=1-reyes&capitulo=1&version=rv60,perdón;fe;amor;esperanza,Ira
