id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,2-cronicas,1,1,Salomón pide sabiduría,"Salomón hijo de David fue afirmado en su reino, y Jehová su Dios estaba con él, y lo engrandeció sobremanera.",2-cronicas_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe;esperanza,Neutral
2,2-cronicas,1,2,Salomón pide sabiduría,"Y convocó Salomón a todo Israel, a jefes de millares y de centenas, a jueces y a todos los príncipes de todo Israel, jefes de familias.",2-cronicas_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe;perdón;amor,Neutral
3,2-cronicas,1,3,Salomón pide sabiduría,"Y fue Salomón, y con él toda esta asamblea al lugar alto que había en Gabaón; porque allí estaba el tabernáculo de reunión de Dios, que Moisés siervo de Jehová había hecho en el desierto.",2-cronicas_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe;esperanza,disgust
4,2-cronicas,1,4,Salomón pide sabiduría,Pero David había traído el arca de Dios desde Quiriat-jearim al lugar que él le había preparado; porque él le había levantado una tienda en Jerusalén.,2-cronicas_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe;esperanza,disgust
5,2-cronicas,1,5,Salomón pide sabiduría,"Asimismo el altar de bronce que había hecho Bezaleel hijo de Uri, hijo de Hur, estaba allí delante del tabernáculo de Jehová, al cual fue a consultar Salomón con aquella asamblea.",2-cronicas_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe,disgust
6,2-cronicas,1,6,Salomón pide sabiduría,"Subió, pues, Salomón allá ante Jehová, al altar de bronce que estaba en el tabernáculo de reunión, y ofreció sobre él mil holocaustos.",2-cronicas_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe,disgust
7,2-cronicas,1,7,Salomón pide sabiduría,Y aquella noche apareció Dios a Salomón y le dijo: Pídeme lo que quieras que yo te dé.,2-cronicas_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe;esperanza,Miedo
8,2-cronicas,1,8,Salomón pide sabiduría,"Y Salomón dijo a Dios: Tú has tenido con David mi padre gran misericordia, y a mí me has puesto por rey en lugar suyo.",2-cronicas_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,perdón;fe;amor;esperanza,disgust
9,2-cronicas,1,9,Salomón pide sabiduría,"Confírmese pues, ahora, oh Jehová Dios, tu palabra dada a David mi padre, porque tú me has puesto por rey sobre un pueblo numeroso como el polvo de la tierra.",2-cronicas_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe;esperanza;perdón;miedo;amor,Ira
10,2-cronicas,1,10,Salomón pide sabiduría,"Dame ahora sabiduría y ciencia, para presentarme delante de este pueblo; porque, quién podrá gobernar a este tu pueblo tan grande?",2-cronicas_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,,Neutral
11,2-cronicas,1,11,Salomón pide sabiduría,"Y dijo Dios a Salomón: por cuanto hubo esto en tu corazón, y no pediste riquezas, bienes o gloria, ni la vida de los que te quieren mal, ni pediste muchos días, sino que has pedido para ti sabiduría y ciencia para gobernar a mi pueblo, sobre el cual te he puesto por rey,",2-cronicas_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe;amor;esperanza,Ira
12,2-cronicas,1,12,Salomón pide sabiduría,"sabiduría y ciencia te son dadas; y también te daré riquezas, bienes y gloria, como nunca tuvieron los reyes que han sido antes de ti, ni tendrán los que vengan después de ti.",2-cronicas_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe;esperanza,Neutral
13,2-cronicas,1,13,Salomón pide sabiduría,"Y desde el lugar alto que estaba en Gabaón, delante del tabernáculo de reunión, volvió Salomón a Jerusalén, y reinó sobre Israel.",2-cronicas_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe;esperanza,Miedo
14,2-cronicas,1,14,Salomón comercia en caballos y carros,"Y juntó Salomón carros y gente de a caballo; y tuvo mil cuatrocientos carros y doce mil jinetes, los cuales puso en las ciudades de los carros y con el rey en Jerusalén.",2-cronicas_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe,Neutral
15,2-cronicas,1,15,Salomón comercia en caballos y carros,"Y acumuló el rey plata y oro en Jerusalén como piedras, y cedro como cabrahigos de la Sefela en abundancia.",2-cronicas_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe,Alegría
16,2-cronicas,1,16,Salomón comercia en caballos y carros,Y los mercaderes del rey compraban por contrato caballos y lienzos finos de Egipto para Salomón.,2-cronicas_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe,Neutral
17,2-cronicas,1,17,Salomón comercia en caballos y carros,"Y subían y compraban en Egipto un carro por seiscientas piezas de plata, y un caballo por ciento cincuenta; y así compraban por medio de ellos, para todos los reyes de los heteos, y para los reyes de Siria.",2-cronicas_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=1&version=rv60,fe,Neutral
18,2-cronicas,2,1,Pacto de Salomón con Hiram,"Determinó, pues, Salomón edificar casa al nombre de Jehová, y casa para su reino.",2-cronicas_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe;esperanza,Neutral
19,2-cronicas,2,2,Pacto de Salomón con Hiram,"Y designó Salomón setenta mil hombres que llevasen cargas, y ochenta mil hombres que cortasen en los montes, y tres mil quinientos que los vigilasen.",2-cronicas_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe,Neutral
20,2-cronicas,2,3,Pacto de Salomón con Hiram,"Y envió a decir Salomón a Hiram rey de Tiro: Haz conmigo como hiciste con David mi padre, enviándole cedros para que edificara para sí casa en que morase.",2-cronicas_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe;perdón,disgust
21,2-cronicas,2,4,Pacto de Salomón con Hiram,"He aquí, yo tengo que edificar casa al nombre de Jehová mi Dios, para consagrársela, para quemar incienso aromático delante de él, y para la colocación continua de los panes de la proposición, y para holocaustos a mañana y tarde, en los días de reposo, nuevas lunas, y festividades de Jehová nuestro Dios; lo cual ha de ser perpetuo en Israel.",2-cronicas_2_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe,disgust
22,2-cronicas,2,5,Pacto de Salomón con Hiram,"Y la casa que tengo que edificar, ha de ser grande; porque el Dios nuestro es grande sobre todos los dioses.",2-cronicas_2_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe,Alegría
23,2-cronicas,2,6,Pacto de Salomón con Hiram,"Mas ¿quién será capaz de edificarle casa, siendo que los cielos y los cielos de los cielos no pueden contenerlo? ¿quién, pues, soy yo, para que le edifique casa, sino tan sólo para quemar incienso delante de él?",2-cronicas_2_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,,Neutral
24,2-cronicas,2,7,Pacto de Salomón con Hiram,"Envíame, pues, ahora un hombre hábil que sepa trabajar en oro, en plata, en bronce, en hierro, en púrpura, en grana y en azul, y que sepa esculpir con los maestros que están conmigo en Judá y Jerusalén, los cuales dispuso mi padre.",2-cronicas_2_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe;esperanza,Ira
25,2-cronicas,2,8,Pacto de Salomón con Hiram,"Envíame también madera del Líbano: cedro, ciprés y sándalo; porque yo sé que tus siervos saben cortar madera en el Líbano; y he aquí, mis siervos irán con los tuyos,",2-cronicas_2_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe;esperanza;amor;perdón,Neutral
26,2-cronicas,2,9,Pacto de Salomón con Hiram,"para que me preparen mucha madera, porque la casa que tengo que edificar ha de ser grande y portentosa.",2-cronicas_2_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe;esperanza,Alegría
27,2-cronicas,2,10,Pacto de Salomón con Hiram,"Y he aquí, para los trabajadores tus siervos, cortadores de madera, he dado veinte mil coros de trigo en grano, veinte mil coros de cebada, veinte mil batos de vino, y veinte mil batos de aceite.",2-cronicas_2_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe;perdón;esperanza,Neutral
28,2-cronicas,2,11,Pacto de Salomón con Hiram,"Entonces Hiram rey de Tiro respondió por escrito que envió a Salomón: porque Jehová amó a su pueblo, te ha puesto por rey sobre ellos.",2-cronicas_2_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,amor;fe;perdón;esperanza,Neutral
29,2-cronicas,2,12,Pacto de Salomón con Hiram,"Además decía Hiram: Bendito sea Jehová el Dios de Israel, que hizo los cielos y la tierra, y que dio al rey David un hijo sabio, entendido, cuerdo y prudente, que edifique casa a Jehová, y casa para su reino.",2-cronicas_2_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe;esperanza;amor,Neutral
30,2-cronicas,2,13,Pacto de Salomón con Hiram,"Yo, pues, te he enviado un hombre hábil y entendido, Hiram-abi,",2-cronicas_2_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,,Ira
31,2-cronicas,2,14,Pacto de Salomón con Hiram,"hijo de una mujer de las hijas de Dan, mas su padre fue de Tiro; el cual sabe trabajar en oro, plata, bronce y hierro, en piedra y en madera, en púrpura y en azul, en lino y en carmesí; asimismo sabe esculpir toda clase de figuras, y sacar toda forma de diseño que se le pida, con tus hombres peritos, y con los de mi señor David tu padre.",2-cronicas_2_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,,disgust
32,2-cronicas,2,15,Pacto de Salomón con Hiram,"Ahora, pues, envíe mi señor a sus siervos el trigo y cebada, y aceite y vino, que ha dicho;",2-cronicas_2_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe,Neutral
33,2-cronicas,2,16,Pacto de Salomón con Hiram,"y nosotros cortaremos en el Líbano la madera que necesites, y te la traeremos en balsas por el mar hasta Jope, y tú la harás llevar hasta Jerusalén.",2-cronicas_2_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe,Neutral
34,2-cronicas,2,17,Pacto de Salomón con Hiram,"Y contó Salomón todos los hombres extranjeros que había en la tierra de Israel, después de haberlos ya contado David su padre, y fueron hallados ciento cincuenta y tres mil seiscientos.",2-cronicas_2_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe,Neutral
35,2-cronicas,2,18,Pacto de Salomón con Hiram,"Y señaló de ellos setenta mil para llevar cargas, y ochenta mil canteros en la montaña, y tres mil seiscientos por capataces para hacer trabajar al pueblo",2-cronicas_2_18,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=2&version=rv60,fe,Neutral
36,2-cronicas,3,1,Salomón edifica el templo,"Comenzó Salomón a edificar la casa de Jehová en Jerusalén, en le monte Moriah, que había sido mostrado a David su padre, en el lugar que David había preparado en la era de Ornán jebuseo.",2-cronicas_3_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=3&version=rv60,fe;esperanza;amor,Miedo
37,2-cronicas,3,2,Salomón edifica el templo,"Y comenzó a edificar en el mes segundo, a los dos días del mes, en el cuarto año de su reinado.",2-cronicas_3_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-cronicas&capitulo=3&version=rv60,,Neutral
