id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,esdras,1,1,El decreto de Ciro,"En el primer año de Ciro rey de Persia, para que se cumpliese la palabra de Jehová por boca de Jeremías, despertó Jehová el espíritu de Ciro rey de Persia, el cual hizo pregonar de palabra y también por escrito por todo su reino, diciendo:",esdras_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=1&version=rv60,fe;esperanza;perdón,Neutral
2,esdras,1,2,El decreto de Ciro,"Así ha dicho Ciro rey de Persia: Jehová el Dios de los cielos me ha dado todos los reinos de la tierra, y me ha mandado que le edifique casa en Jerusalén, que está en Judá.",esdras_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=1&version=rv60,fe;esperanza;perdón,Ira
3,esdras,1,3,El decreto de Ciro,"Quien haya entre vosotros de su pueblo, sea Dios con él, y suba a Jerusalén que está en Judá, y edifique la casa a Jehová Dios de Israel (él es el Dios), la cual está en Jerusalén.",esdras_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=1&version=rv60,fe;esperanza;perdón;amor;miedo,Neutral
4,esdras,1,4,El decreto de Ciro,"Y a todo el que haya quedado, en cualquier lugar donde more, ayúdenle los hombres de su lugar con plata, oro, bienes y ganados, además de ofrendas voluntarias para la casa de Dios, la cual está en Jerusalén.",esdras_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=1&version=rv60,esperanza;fe;perdón;amor,disgust
5,esdras,1,5,El regreso a Jerusalén,"Entonces se levantaron los jefes de las casas paternas de Judá y de Benjamín, y los sacerdotes y levitas, todos aquellos cuyo espíritu despertó Dios para subir a edificar la casa de Jehová, la cual está en Jerusalén.",esdras_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=1&version=rv60,fe;esperanza,Neutral
6,esdras,1,6,El regreso a Jerusalén,"Y todos los que estaban en sus alrededores les ayudaron con plata y oro, con bienes y ganado, y con cosas preciosas, además de todo lo que se ofreció voluntariamente.",esdras_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=1&version=rv60,fe,Neutral
7,esdras,1,7,El regreso a Jerusalén,"Y el rey Ciro sacó los utensilios de la casa de Jehová, que Nabucodonosor había sacado de Jerusalén, y los había puesto en la casa de sus dioses.",esdras_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=1&version=rv60,fe,Neutral
8,esdras,1,8,El regreso a Jerusalén,"Los sacó, pues, Ciro rey de Persia, por mano de Mitrídates tesorero, el cual los dio por cuenta a Sesbasar príncipe de Judá.",esdras_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=1&version=rv60,fe,Neutral
9,esdras,1,9,El regreso a Jerusalén,"Y esta es la cuenta de ellos: treinta tazones de oro, mil tazones de plata, veintinueve cuchillos,",esdras_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=1&version=rv60,,Neutral
10,esdras,1,10,El regreso a Jerusalén,"treinta tazas de oro, otras cuatrocientas diez tazas de plata, y otros mil utensilios.",esdras_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=1&version=rv60,,Neutral
11,esdras,1,11,El regreso a Jerusalén,Todos los utensilios de oro y de plata eran cinco mil cuatrocientos. Todos los hizo llevar Sesbasar con los que subieron del cautiverio de Babilonia a Jerusalén.,esdras_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=1&version=rv60,fe;miedo;perdón,Neutral
12,esdras,2,1,Los que volvieron con Zorobabel,"Estos son los hijos de la provincia que subieron del cautiverio, de aquellos que Nabucodonosor rey de Babilonia había llevado cautivos a Babilonia, y que volvieron a Jerusalén y a Judá, cada uno a su ciudad;",esdras_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,perdón;fe;esperanza;amor,Neutral
13,esdras,2,2,Los que volvieron con Zorobabel,"los cuales vinieron con Zorobabel, Jesúa, Nehemías, Seraías, Reelaías, Mardoqueo, Bilsán, Mispar, Bigvai, Rehum y Baana. El número de los varones del pueblo de Israel:",esdras_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Neutral
14,esdras,2,3,Los que volvieron con Zorobabel,"Los hijos de Paros, dos mil ciento setenta y dos.",esdras_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
15,esdras,2,4,Los que volvieron con Zorobabel,"Los hijos de Sefatías, trescientos setenta y dos.",esdras_2_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
16,esdras,2,5,Los que volvieron con Zorobabel,"Los hijos de Ara, setecientos setenta y cinco.",esdras_2_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
17,esdras,2,6,Los que volvieron con Zorobabel,"Los hijos de Pahat-moab, de los hijos de Jesúa y de Joab, dos mil ochocientos doce.",esdras_2_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
18,esdras,2,7,Los que volvieron con Zorobabel,"Los hijos de Elam, mil doscientos cincuenta y cuatro.",esdras_2_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
19,esdras,2,8,Los que volvieron con Zorobabel,"Los hijos de Zatu, novecientos cuarenta y cinco.",esdras_2_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
20,esdras,2,9,Los que volvieron con Zorobabel,"Los hijos de Zacai, setecientos sesenta.",esdras_2_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
21,esdras,2,10,Los que volvieron con Zorobabel,"Los hijos de Bani, seiscientos cuarenta y dos.",esdras_2_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
22,esdras,2,11,Los que volvieron con Zorobabel,"Los hijos de Bebai, seiscientos veintitrés.",esdras_2_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
23,esdras,2,12,Los que volvieron con Zorobabel,"Los hijos de Azgad, mil doscientos veintidós.",esdras_2_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
24,esdras,2,13,Los que volvieron con Zorobabel,"Los hijos de Adonicam, seiscientos sesenta y seis.",esdras_2_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
25,esdras,2,14,Los que volvieron con Zorobabel,"Los hijos de Bigvai, dos mil cincuenta y seis.",esdras_2_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
26,esdras,2,15,Los que volvieron con Zorobabel,"Los hijos de Adín, cuatrocientos cincuenta y cuatro.",esdras_2_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=esdras&capitulo=2&version=rv60,fe,Alegría
