id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,salmos,1,1,El justo y los pecadores,"Bienaventurado el varón que no anduvo en consejo de malos,
Ni estuvo en camino de pecadores,
Ni en silla de escarnecedores se ha sentado;",salmos_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=1&version=rv60,fe;esperanza,Asco
2,salmos,1,2,El justo y los pecadores,"Sino que en la ley de Jehová está su delicia,
Y en su ley medita de día y de noche.",salmos_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=1&version=rv60,fe,Alegría
3,salmos,1,3,El justo y los pecadores,"Será como árbol plantado junto a corrientes de aguas,
Que da su fruto en su tiempo,
Y su hoja no cae;
Y todo lo que hace, prosperará.",salmos_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=1&version=rv60,esperanza;fe,Alegría
4,salmos,1,4,El justo y los pecadores,"No así los malos,
Que son como el tamo que arrebata el viento.",salmos_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=1&version=rv60,,Tristeza
5,salmos,1,5,El justo y los pecadores,"Por tanto, no se levantarán los malos en el juicio,
Ni los pecadores en la congregación de los justos.",salmos_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=1&version=rv60,fe,Asco
6,salmos,1,6,El justo y los pecadores,"Porque Jehová conoce el camino de los justos;
Mas la senda de los malos perecerá.",salmos_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=1&version=rv60,fe,Tristeza
7,salmos,2,1,El reino del ungido de Jehová,"¿Por qué se amotinan las gentes,
Y los pueblos piensan cosas vanas?",salmos_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=2&version=rv60,,Ira
8,salmos,2,2,El reino del ungido de Jehová,"Se levantarán los reyes de la tierra,
Y príncipes consultarán unidos
Contra Jehová y contra su ungido, diciendo:",salmos_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=2&version=rv60,,Asco
9,salmos,2,3,El reino del ungido de Jehová,"Rompamos sus ligaduras,
Y echemos de nosotros sus cuerdas.",salmos_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=2&version=rv60,esperanza;perdón,Ira
10,salmos,2,4,El reino del ungido de Jehová,"El que mora en los cielos se reirá;
El Señor se burlará de ellos.",salmos_2_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=2&version=rv60,,Ira
11,salmos,2,5,El reino del ungido de Jehová,"Luego hablará a ellos en su furor,
Y los turbará con su ira.",salmos_2_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=salmos&capitulo=2&version=rv60,,Ira
