id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,proverbios,1,1,Motivo de los proverbios,"Los proverbios de Salomón, hijo de David, rey de Israel.",proverbios_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,fe,Neutral
2,proverbios,1,2,Motivo de los proverbios,"Para entender sabiduría y doctrina,Para conocer razones prudentes,",proverbios_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,,Alegría
3,proverbios,1,3,Motivo de los proverbios,"Para recibir el consejo de prudencia,Justicia, juicio y equidad;",proverbios_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,,Alegría
4,proverbios,1,4,Motivo de los proverbios,"Para dar sagacidad a los simples,Y a los jóvenes inteligencia y cordura.",proverbios_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,,disgust
5,proverbios,1,5,Motivo de los proverbios,"Oirá el sabio, y aumentará el saber,Y el entendido adquirirá consejo,",proverbios_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,esperanza,Neutral
6,proverbios,1,6,Motivo de los proverbios,"Para entender proverbio y declaración,Palabras de sabios, y sus dichos profundos.",proverbios_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,,disgust
7,proverbios,1,7,Motivo de los proverbios,El principio de la sabiduría es el temor de Jehová;Los insensatos desprecian la sabiduría y la enseñanza.,proverbios_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,fe;miedo,Miedo
8,proverbios,1,8,Motivo de los proverbios,"Oye, hijo mío, la instrucción de tu padre,Y no desprecies la dirección de tu madre;",proverbios_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,amor,Ira
9,proverbios,1,9,Motivo de los proverbios,"Porque adorno de gracia serán a tu cabeza,Y collares a tu cuello.",proverbios_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,fe;perdón;esperanza,disgust
10,proverbios,1,10,Motivo de los proverbios,"Hijo mío, si los pecadores te quisieren engañar,No consientas.",proverbios_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,amor;fe,disgust
11,proverbios,1,11,Motivo de los proverbios,"Si dijeren: Ven con nosotros;Pongamos asechanzas para derramar sangre,Acechemos sin motivo al inocente;",proverbios_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,miedo,Miedo
12,proverbios,1,12,Motivo de los proverbios,"Los tragaremos vivos como el Seol,Y enteros, como los que caen en un abismo;",proverbios_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,fe;perdón;miedo,disgust
13,proverbios,1,13,Motivo de los proverbios,"Hallaremos riquezas de toda clase,Llenaremos nuestras casas de despojos;",proverbios_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,esperanza;fe,disgust
14,proverbios,1,14,Motivo de los proverbios,"Echa tu suerte entre nosotros;Tengamos todos una bolsa,-",proverbios_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,perdón,Neutral
15,proverbios,1,15,Motivo de los proverbios,"Hijo mío, no andes en camino con ellos.Aparta tu pie de sus veredas,",proverbios_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,amor;perdón;miedo;fe,Miedo
16,proverbios,1,16,Motivo de los proverbios,"Porque sus pies corren hacia el mal,Y van presurosos a derramar sangre.",proverbios_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,miedo,Ira
17,proverbios,1,17,Motivo de los proverbios,Porque en vano se tenderá la redAnte los ojos de toda ave;,proverbios_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,miedo,Neutral
18,proverbios,1,18,Motivo de los proverbios,"Pero ellos a su propia sangre ponen asechanzas,Y a sus almas tienden lazo.",proverbios_1_18,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,miedo,Miedo
19,proverbios,1,19,Motivo de los proverbios,"Tales son las sendas de todo el que es dado a la codicia,La cual quita la vida de sus poseedores.",proverbios_1_19,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,,Ira
20,proverbios,1,20,Motivo de los proverbios,"La sabiduría clama en las calles,Alza su voz en las plazas;",proverbios_1_20,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,fe,disgust
21,proverbios,1,21,Motivo de los proverbios,Clama en los principales lugares de reunión;En las entradas de las puertas de la ciudad dice sus razones.,proverbios_1_21,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,fe,disgust
22,proverbios,1,22,Motivo de los proverbios,"¿Hasta cuándo, oh simples, amaréis la simpleza,Y los burladores desearán el burlar,Y los insensatos aborrecerán la ciencia?",proverbios_1_22,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,,Ira
23,proverbios,1,23,Motivo de los proverbios,"Volveos a mi reprensión;He aquí yo derramaré mi espíritu sobre vosotros,Y os haré saber mis palabras.",proverbios_1_23,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,,Ira
24,proverbios,1,24,Motivo de los proverbios,"Por cuanto llamé, y no quisisteis oír,Extendí mi mano, y no hubo quien atendiese,",proverbios_1_24,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,miedo;fe;perdón,Ira
25,proverbios,1,25,Motivo de los proverbios,"Sino que desechasteis todo consejo míoY mi reprensión no quisisteis,",proverbios_1_25,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,,Ira
26,proverbios,1,26,Motivo de los proverbios,"También yo me reiré en vuestra calamidad,Y me burlaré cuando os viniere lo que teméis;",proverbios_1_26,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,miedo,Miedo
27,proverbios,1,27,Motivo de los proverbios,"Cuando viniere como una destrucción lo que teméis,Y vuestra calamidad llegare como un torbellino;Cuando sobre vosotros viniere tribulación y angustia.",proverbios_1_27,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,miedo,Miedo
28,proverbios,1,28,Motivo de los proverbios,"Entonces me llamarán, y no responderé;Me buscarán de mañana, y no me hallarán.",proverbios_1_28,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,miedo;fe,Tristeza
29,proverbios,1,29,Motivo de los proverbios,"Por cuanto aborrecieron la sabiduría,Y no escogieron el temor de Jehová,",proverbios_1_29,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,,Ira
30,proverbios,1,30,Motivo de los proverbios,"Ni quisieron mi consejo,Y menospreciaron toda reprensión mía,",proverbios_1_30,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,,Ira
31,proverbios,1,31,Motivo de los proverbios,"Comerán del fruto de su camino,Y serán hastiados de sus propios consejos.",proverbios_1_31,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,,disgust
32,proverbios,1,32,Motivo de los proverbios,"Porque el desvío de los ignorantes los matará,Y la prosperidad de los necios los echará a perder;",proverbios_1_32,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,miedo;fe,Ira
33,proverbios,1,33,Motivo de los proverbios,"Mas el que me oyere, habitará confiadamenteY vivirá tranquilo, sin temor del mal.",proverbios_1_33,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=1&version=rv60,esperanza;perdón;fe;miedo,Miedo
34,proverbios,2,1,Excelencia de la sabiduría,"Hijo mío, si recibieres mis palabras,Y mis mandamientos guardares dentro de ti,",proverbios_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=2&version=rv60,fe;amor;esperanza,Ira
35,proverbios,2,2,Excelencia de la sabiduría,"Haciendo estar atento tu oído a la sabiduría;Si inclinares tu corazón a la prudencia,",proverbios_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=2&version=rv60,,Neutral
36,proverbios,2,3,Excelencia de la sabiduría,"Si clamares a la inteligencia,Y a la prudencia dieres tu voz;",proverbios_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=2&version=rv60,fe,Neutral
37,proverbios,2,4,Excelencia de la sabiduría,"Si como a la plata la buscares,Y la escudriñares como a tesoros,",proverbios_2_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=2&version=rv60,,Miedo
38,proverbios,2,5,Excelencia de la sabiduría,"Entonces entenderás el temor de Jehová,Y hallarás el conocimiento de Dios.",proverbios_2_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=2&version=rv60,miedo;fe,Miedo
39,proverbios,2,6,Excelencia de la sabiduría,"Porque Jehová da la sabiduría,Y de su boca viene el conocimiento y la inteligencia.",proverbios_2_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=2&version=rv60,fe;esperanza,disgust
40,proverbios,2,7,Excelencia de la sabiduría,El provee de sana sabiduría a los rectos;Es escudo a los que caminan rectamente.,proverbios_2_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=2&version=rv60,fe;esperanza,Neutral
41,proverbios,2,8,Excelencia de la sabiduría,"Es el que guarda las veredas del juicio,Y preserva el camino de sus santos.",proverbios_2_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=proverbios&capitulo=2&version=rv60,fe,Neutral
