id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,isaias,1,1,Una nación pecadora,"Visión de Isaías hijo de Amoz, la cual vio acerca de Judá y Jerusalén en días de Uzías, Jotam, Acaz y Ezequías, reyes de Judá.",isaias_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60,fe,Miedo
2,isaias,1,2,Una nación pecadora,"Oíd, cielos, y escucha tú, tierra; porque habla Jehová: Crié hijos, y los engrandecí, y ellos se rebelaron contra mí.",isaias_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60,fe;miedo,Ira
3,isaias,1,3,Una nación pecadora,"El buey conoce a su dueño, y el asno el pesebre de su señor; Israel no entiende, mi pueblo no tiene conocimiento.",isaias_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60,,disgust
4,isaias,1,4,Una nación pecadora,"¡Oh gente pecadora, pueblo cargado de maldad, generación de malignos, hijos depravados! Dejaron a Jehová, provocaron a ira al Santo de Israel, se volvieron atrás.",isaias_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60,miedo,disgust
5,isaias,1,5,Una nación pecadora,"¿Por qué querréis ser castigados aún? ¿Todavía os rebelaréis? Toda cabeza está enferma, y todo corazón doliente.",isaias_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60,miedo,Tristeza
6,isaias,1,6,Una nación pecadora,"Desde la planta del pie hasta la cabeza no hay en él cosa sana, sino herida, hinchazón y podrida llaga; no están curadas, ni vendadas, ni suavizadas con aceite.",isaias_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60,,disgust
7,isaias,1,7,Una nación pecadora,"Vuestra tierra está destruida, vuestras ciudades puestas a fuego, vuestra tierra delante de vosotros comida por extranjeros, y asolada como asolamiento de extraños.",isaias_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60,miedo,Ira
8,isaias,1,8,Una nación pecadora,"Y queda la hija de Sion como enramada en viña, y como cabaña en melonar, como ciudad asolada.",isaias_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60,miedo;fe,disgust
9,isaias,1,9,Una nación pecadora,"Si Jehová de los ejércitos no nos hubiese dejado un resto pequeño, como Sodoma fuéramos, y semejantes a Gomorra.",isaias_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60,,Neutral
10,isaias,1,10,Llamamiento al arrepentimiento verdadero,"Príncipes de Sodoma, oíd la palabra de Jehová; escuchad la ley de nuestro Dios, pueblo de Gomorra.",isaias_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=isaias&capitulo=1&version=rv60,fe,Neutral
