id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,ezequiel,1,1,La visión de la gloria divina,"Aconteció en el año treinta, en el mes cuarto, a los cinco días del mes, que estando yo en medio de los cautivos junto al río Quebar, los cielos se abrieron, y vi visiones de Dios.",ezequiel_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=ezequiel&capitulo=1&version=rv60,fe;esperanza,Miedo
2,ezequiel,1,2,La visión de la gloria divina,"En el quinto año de la deportación del rey Joaquín, a los cinco días del mes,",ezequiel_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=ezequiel&capitulo=1&version=rv60,fe;miedo;perdón,Alegría
3,ezequiel,1,3,La visión de la gloria divina,"vino palabra de Jehová al sacerdote Ezequiel hijo de Buzi, en la tierra de los caldeos, junto al río Quebar; vino allí sobre él la mano de Jehová.",ezequiel_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=ezequiel&capitulo=1&version=rv60,fe;miedo;perdón;esperanza,Miedo
4,ezequiel,1,4,La visión de la gloria divina,"Y miré, y he aquí venía del norte un viento tempestuoso, y una gran nube, con un fuego envolvente, y alrededor de él un resplandor, y en medio del fuego algo que parecía como bronce refulgente,",ezequiel_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=ezequiel&capitulo=1&version=rv60,fe;miedo,Miedo
5,ezequiel,1,5,La visión de la gloria divina,y en medio de ella la figura de cuatro seres vivientes. Y esta era su apariencia: había en ellos semejanza de hombre.,ezequiel_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=ezequiel&capitulo=1&version=rv60,fe,Neutral
6,ezequiel,1,6,La visión de la gloria divina,Cada uno tenía cuatro caras y cuatro alas.,ezequiel_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=ezequiel&capitulo=1&version=rv60,,Neutral
7,ezequiel,1,7,La visión de la gloria divina,"Y los pies de ellos eran derechos, y la planta de sus pies como planta de pie de becerro; y centelleaban a manera de bronce muy bruñido.",ezequiel_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=ezequiel&capitulo=1&version=rv60,,Neutral
8,ezequiel,1,8,La visión de la gloria divina,"Debajo de sus alas, a sus cuatro lados, tenían manos de hombre; y sus caras y sus alas por los cuatro lados.",ezequiel_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=ezequiel&capitulo=1&version=rv60,,Neutral
9,ezequiel,1,9,La visión de la gloria divina,"Con las alas se juntaban el uno al otro. No se volvían cuando andaban, sino que cada uno caminaba derecho hacia adelante.",ezequiel_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=ezequiel&capitulo=1&version=rv60,fe,Neutral
10,ezequiel,1,10,La visión de la gloria divina,"Y el aspecto de sus caras era cara de hombre, y cara de león al lado derecho de los cuatro, y cara de buey a la izquierda en los cuatro; asimismo había en los cuatro cara de águila.",ezequiel_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=ezequiel&capitulo=1&version=rv60,,Neutral
