id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,daniel,1,1,Daniel y sus compañeros en Babilonia,"En el año tercero del reinado de Joacim rey de Judá, vino Nabucodonosor rey de Babilonia a Jerusalén, y la sitió.",daniel_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=daniel&capitulo=1&version=rv60,miedo;fe,Miedo
2,daniel,1,2,Daniel y sus compañeros en Babilonia,"Y el Señor entregó en sus manos a Joacim rey de Judá, y parte de los utensilios de la casa de Dios; y los trajo a tierra de Sinar, a la casa de su dios, y colocó los utensilios en la casa del tesoro de su dios.",daniel_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=daniel&capitulo=1&version=rv60,fe;perdón,Asco
3,daniel,1,3,Daniel y sus compañeros en Babilonia,"Y dijo el rey a Aspenaz, jefe de sus eunucos, que trajese de los hijos de Israel, del linaje real de los príncipes,",daniel_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=daniel&capitulo=1&version=rv60,fe;esperanza;perdón;amor,Asco
4,daniel,1,4,Daniel y sus compañeros en Babilonia,"muchachos en quienes no hubiese tacha alguna, de buen parecer, enseñados en toda sabiduría, sabios en ciencia y de buen entendimiento, e idóneos para estar en el palacio del rey; y que les enseñase las letras y la lengua de los caldeos.",daniel_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=daniel&capitulo=1&version=rv60,esperanza,Asco
5,daniel,1,5,Daniel y sus compañeros en Babilonia,"Y les señaló el rey ración para cada día, de la provisión de la comida del rey, y del vino que él bebía; y que los criase tres años, para que al fin de ellos se presentasen delante del rey.",daniel_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=daniel&capitulo=1&version=rv60,esperanza;fe,Neutral
6,daniel,1,6,Daniel y sus compañeros en Babilonia,"Entre éstos estaban Daniel, Ananías, Misael y Azarías, de los hijos de Judá.",daniel_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=daniel&capitulo=1&version=rv60,fe,Neutral
7,daniel,1,7,Daniel y sus compañeros en Babilonia,"A éstos el jefe de los eunucos puso nombres: puso a Daniel, Beltsasar; a Ananías, Sadrac; a Misael, Mesac; y a Azarías, Abed-nego.",daniel_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=daniel&capitulo=1&version=rv60,fe;perdón,Neutral
8,daniel,1,8,Daniel y sus compañeros en Babilonia,"Y Daniel propuso en su corazón no contaminarse con la porción de la comida del rey, ni con el vino que él bebía; pidió, por tanto, al jefe de los eunucos que no se le obligase a contaminarse.",daniel_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=daniel&capitulo=1&version=rv60,fe;amor;perdón;esperanza,Asco
9,daniel,1,9,Daniel y sus compañeros en Babilonia,Y puso Dios a Daniel en gracia y en buena voluntad con el jefe de los eunucos;,daniel_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=daniel&capitulo=1&version=rv60,amor;fe;perdón;esperanza,Neutral
10,daniel,1,10,Daniel y sus compañeros en Babilonia,"y dijo el jefe de los eunucos a Daniel: Temo a mi señor el rey, que señaló vuestra comida y vuestra bebida; pues luego que él vea vuestros rostros más pálidos que los de los muchachos que son semejantes a vosotros, condenaréis para con el rey mi cabeza.",daniel_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=daniel&capitulo=1&version=rv60,miedo,Miedo
