id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,joel,1,1,Devastación de la tierra por la langosta,"Palabra de Jehová que vino a Joel, hijo de Petuel.",joel_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,fe,Neutral
2,joel,1,2,Devastación de la tierra por la langosta,"Oíd esto, ancianos, y escuchad, todos los moradores de la tierra. ¿Ha acontecido esto en vuestros días, o en los días de vuestros padres?",joel_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,,Neutral
3,joel,1,3,Devastación de la tierra por la langosta,"De esto contaréis a vuestros hijos, y vuestros hijos a sus hijos, y sus hijos a la otra generación.",joel_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,fe,Neutral
4,joel,1,4,Devastación de la tierra por la langosta,"Lo que quedó de la oruga comió el saltón, y lo que quedó del saltón comió el revoltón; y la langosta comió lo que del revoltón había quedado.",joel_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,,Asco
5,joel,1,5,Devastación de la tierra por la langosta,"Despertad, borrachos, y llorad; gemid, todos los que bebéis vino, a causa del mosto, porque os es quitado de vuestra boca.",joel_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,miedo,Ira
6,joel,1,6,Devastación de la tierra por la langosta,"Porque pueblo fuerte e innumerable subió a mi tierra; sus dientes son dientes de león, y sus muelas, muelas de león.",joel_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,miedo;fe;esperanza,Asco
7,joel,1,7,Devastación de la tierra por la langosta,"Asoló mi vid, y descortezó mi higuera; del todo la desnudó y derribó; sus ramas quedaron blancas.",joel_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,fe;miedo;perdón,Asco
8,joel,1,8,Devastación de la tierra por la langosta,Llora tú como joven vestida de cilicio por el marido de su juventud.,joel_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,miedo,Asco
9,joel,1,9,Devastación de la tierra por la langosta,Desapareció de la casa de Jehová la ofrenda y la libación; los sacerdotes ministros de Jehová están de duelo.,joel_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,fe,Tristeza
10,joel,1,10,Devastación de la tierra por la langosta,"El campo está asolado, se enlutó la tierra; porque el trigo fue destruido, se secó el mosto, se perdió el aceite.",joel_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,,Tristeza
11,joel,1,11,Devastación de la tierra por la langosta,"Confundíos, labradores; gemid, viñeros, por el trigo y la cebada, porque se perdió la mies del campo.",joel_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,miedo,Tristeza
12,joel,1,12,Devastación de la tierra por la langosta,"La vid está seca, y pereció la higuera; el granado también, la palmera y el manzano; todos los árboles del campo se secaron, por lo cual se extinguió el gozo de los hijos de los hombres.",joel_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,,Alegría
13,joel,1,13,Devastación de la tierra por la langosta,"Ceñíos y lamentad, sacerdotes; gemid, ministros del altar; venid, dormid en cilicio, ministros de mi Dios; porque quitada es de la casa de vuestro Dios la ofrenda y la libación.",joel_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,miedo;fe,Ira
14,joel,1,14,Devastación de la tierra por la langosta,"Proclamad ayuno, convocad a asamblea; congregad a los ancianos y a todos los moradores de la tierra en la casa de Jehová vuestro Dios, y clamad a Jehová.",joel_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,fe,Neutral
15,joel,1,15,Devastación de la tierra por la langosta,"¡Ay del día! porque cercano está el día de Jehová, y vendrá como destrucción por el Todopoderoso.",joel_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,miedo,Ira
16,joel,1,16,Devastación de la tierra por la langosta,"¿No fue arrebatado el alimento de delante de nuestros ojos, la alegría y el placer de la casa de nuestro Dios?",joel_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,fe,Alegría
17,joel,1,17,Devastación de la tierra por la langosta,"El grano se pudrió debajo de los terrones, los graneros fueron asolados, los alfolíes destruidos; porque se secó el trigo.",joel_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,,Asco
18,joel,1,18,Devastación de la tierra por la langosta,"¡Cómo gimieron las bestias! ¡cuán turbados anduvieron los hatos de los bueyes, porque no tuvieron pastos! También fueron asolados los rebaños de las ovejas.",joel_1_18,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,miedo,Asco
19,joel,1,19,Devastación de la tierra por la langosta,"A ti, oh Jehová, clamaré; porque fuego consumió los pastos del desierto, y llama abrasó todos los árboles del campo.",joel_1_19,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,miedo;fe,Tristeza
20,joel,1,20,Devastación de la tierra por la langosta,"Las bestias del campo bramarán también a ti, porque se secaron los arroyos de las aguas, y fuego consumió las praderas del desierto.",joel_1_20,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=1&version=rv60,miedo;fe,Ira
21,joel,2,1,,"Tocad trompeta en Sion, y dad alarma en mi santo monte; tiemblen todos los moradores de la tierra, porque viene el día de Jehová, porque está cercano.",joel_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=2&version=rv60,miedo;fe,Miedo
22,joel,2,2,,"Día de tinieblas y de oscuridad, día de nube y de sombra; como sobre los montes se extiende el alba, así vendrá un pueblo grande y fuerte; semejante a él no lo hubo jamás, ni después de él lo habrá en años de muchas generaciones.",joel_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=2&version=rv60,fe,Tristeza
23,joel,2,3,,"Delante de él consumirá fuego, tras de él abrasará llama; como el huerto del Edén será la tierra delante de él, y detrás de él como desierto asolado; ni tampoco habrá quien de él escape.",joel_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=2&version=rv60,fe;miedo,Tristeza
24,joel,2,4,,"Su aspecto, como aspecto de caballos, y como gente de a caballo correrán.",joel_2_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=2&version=rv60,,Neutral
25,joel,2,5,,"Como estruendo de carros saltarán sobre las cumbres de los montes; como sonido de llama de fuego que consume hojarascas, como pueblo fuerte dispuesto para la batalla.",joel_2_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=2&version=rv60,,Miedo
26,joel,2,6,,Delante de él temerán los pueblos; se pondrán pálidos todos los semblantes.,joel_2_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=2&version=rv60,miedo,Tristeza
27,joel,2,7,,"Como valientes correrán, como hombres de guerra subirán el muro; cada cual marchará por su camino, y no torcerá su rumbo.",joel_2_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=joel&capitulo=2&version=rv60,fe,Miedo
