id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,habacuc,1,1,Habacuc se queja de injusticia,La profecía que vio el profeta Habacuc.,habacuc_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,fe,disgust
2,habacuc,1,2,Habacuc se queja de injusticia,"¿Hasta cuándo, oh Jehová, clamaré, y no oirás; y daré voces a ti a causa de la violencia, y no salvarás?",habacuc_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,miedo,Ira
3,habacuc,1,3,Habacuc se queja de injusticia,"¿Por qué me haces ver iniquidad, y haces que vea molestia? Destrucción y violencia están delante de mí, y pleito y contienda se levantan.",habacuc_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,,Ira
4,habacuc,1,4,Habacuc se queja de injusticia,"Por lo cual la ley es debilitada, y el juicio no sale según la verdad; por cuanto el impío asedia al justo, por eso sale torcida la justicia.",habacuc_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,,Ira
5,habacuc,1,5,Los caldeos castigarán a Judá,"Mirad entre las naciones, y ved, y asombraos; porque haré una obra en vuestros días, que aun cuando se os contare, no la creeréis.",habacuc_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,esperanza,Alegría
6,habacuc,1,6,Los caldeos castigarán a Judá,"Porque he aquí, yo levanto a los caldeos, nación cruel y presurosa, que camina por la anchura de la tierra para poseer las moradas ajenas.",habacuc_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,fe,Ira
7,habacuc,1,7,Los caldeos castigarán a Judá,Formidable es y terrible; de ella misma procede su justicia y su dignidad.,habacuc_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,miedo,Miedo
8,habacuc,1,8,Los caldeos castigarán a Judá,"Sus caballos serán más ligeros que leopardos, y más feroces que lobos nocturnos, y sus jinetes se multiplicarán; vendrán de lejos sus jinetes, y volarán como águilas que se apresuran a devorar.",habacuc_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,fe;miedo,Ira
9,habacuc,1,9,Los caldeos castigarán a Judá,"Toda ella vendrá a la presa; el terror va delante de ella, y recogerá cautivos como arena.",habacuc_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,miedo,Ira
10,habacuc,1,10,Los caldeos castigarán a Judá,"Escarnecerá a los reyes, y de los príncipes hará burla; se reirá de toda fortaleza, y levantará terraplén y la tomará.",habacuc_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,,Ira
11,habacuc,1,11,Los caldeos castigarán a Judá,"Luego pasará como el huracán, y ofenderá atribuyendo su fuerza a su dios.",habacuc_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,,Ira
12,habacuc,1,12,Protesta de Habacuc,"¿No eres tú desde el principio, oh Jehová, Dios mío, Santo mío? No moriremos. Oh Jehová, para juicio lo pusiste; y tú, oh Roca, lo fundaste para castigar.",habacuc_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,esperanza;fe;miedo,Neutral
13,habacuc,1,13,Protesta de Habacuc,"Muy limpio eres de ojos para ver el mal, ni puedes ver el agravio; ¿por qué ves a los menospreciadores, y callas cuando destruye el impío al más justo que él,",habacuc_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=habacuc&capitulo=1&version=rv60,miedo,Ira
