id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,hageo,1,1,Exhortación a edificar el templo,"En el año segundo del rey Darío, en el mes sexto, en el primer día del mes, vino palabra de Jehová por medio del profeta Hageo a Zorobabel hijo de Salatiel, gobernador de Judá, y a Josué hijo de Josadac, sumo sacerdote, diciendo:",hageo_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,fe;miedo;perdón;esperanza;amor,Asco
2,hageo,1,2,Exhortación a edificar el templo,"Así ha hablado Jehová de los ejércitos, diciendo: Este pueblo dice: No ha llegado aún el tiempo, el tiempo de que la casa de Jehová sea reedificada.",hageo_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,fe;miedo,Neutral
3,hageo,1,3,Exhortación a edificar el templo,"Entonces vino palabra de Jehová por medio del profeta Hageo, diciendo:",hageo_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,fe,Neutral
4,hageo,1,4,Exhortación a edificar el templo,"¿Es para vosotros tiempo, para vosotros, de habitar en vuestras casas artesonadas, y esta casa está desierta?",hageo_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,,Asco
5,hageo,1,5,Exhortación a edificar el templo,Pues así ha dicho Jehová de los ejércitos: Meditad bien sobre vuestros caminos.,hageo_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,fe,Neutral
6,hageo,1,6,Exhortación a edificar el templo,"Sembráis mucho, y recogéis poco; coméis, y no os saciáis; bebéis, y no quedáis satisfechos; os vestís, y no os calentáis; y el que trabaja a jornal recibe su jornal en saco roto.",hageo_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,,Tristeza
7,hageo,1,7,Exhortación a edificar el templo,Así ha dicho Jehová de los ejércitos: Meditad sobre vuestros caminos.,hageo_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,fe,Neutral
8,hageo,1,8,Exhortación a edificar el templo,"Subid al monte, y traed madera, y reedificad la casa; y pondré en ella mi voluntad, y seré glorificado, ha dicho Jehová.",hageo_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,fe;esperanza,Alegría
9,hageo,1,9,Exhortación a edificar el templo,"Buscáis mucho, y halláis poco; y encerráis en casa, y yo lo disiparé en un soplo. ¿Por qué? dice Jehová de los ejércitos. Por cuanto mi casa está desierta, y cada uno de vosotros corre a su propia casa.",hageo_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,miedo,Ira
10,hageo,1,10,Exhortación a edificar el templo,"Por eso se detuvo de los cielos sobre vosotros la lluvia, y la tierra detuvo sus frutos.",hageo_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,fe,Neutral
11,hageo,1,11,Exhortación a edificar el templo,"Y llamé la sequía sobre esta tierra, y sobre los montes, sobre el trigo, sobre el vino, sobre el aceite, sobre todo lo que la tierra produce, sobre los hombres y sobre las bestias, y sobre todo trabajo de manos.",hageo_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,fe,Ira
12,hageo,1,12,Exhortación a edificar el templo,"Y oyó Zorobabel hijo de Salatiel, y Josué hijo de Josadac, sumo sacerdote, y todo el resto del pueblo, la voz de Jehová su Dios, y las palabras del profeta Hageo, como le había enviado Jehová su Dios; y temió el pueblo delante de Jehová.",hageo_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,miedo;fe;esperanza,Miedo
13,hageo,1,13,Exhortación a edificar el templo,"Entonces Hageo, enviado de Jehová, habló por mandato de Jehová al pueblo, diciendo: Yo estoy con vosotros, dice Jehová.",hageo_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,fe;esperanza;perdón,Neutral
14,hageo,1,14,Exhortación a edificar el templo,"Y despertó Jehová el espíritu de Zorobabel hijo de Salatiel, gobernador de Judá, y el espíritu de Josué hijo de Josadac, sumo sacerdote, y el espíritu de todo el resto del pueblo; y vinieron y trabajaron en la casa de Jehová de los ejércitos, su Dios,",hageo_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hageo&capitulo=1&version=rv60,fe;esperanza;amor,Neutral
