id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,malaquias,1,1,Amor de Jehová por Jacob,"Profecía de la palabra de Jehová contra Israel, por medio de Malaquías.",malaquias_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,fe,disgust
2,malaquias,1,2,Amor de Jehová por Jacob,"Yo os he amado, dice Jehová; y dijisteis: ¿En qué nos amaste? ¿No era Esaú hermano de Jacob? dice Jehová. Y amé a Jacob,",malaquias_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,amor;perdón;fe,Tristeza
3,malaquias,1,3,Amor de Jehová por Jacob,"y a Esaú aborrecí, y convertí sus montes en desolación, y abandoné su heredad para los chacales del desierto.",malaquias_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,fe;miedo,disgust
4,malaquias,1,4,Amor de Jehová por Jacob,"Cuando Edom dijere: Nos hemos empobrecido, pero volveremos a edificar lo arruinado; así ha dicho Jehová de los ejércitos: Ellos edificarán, y yo destruiré; y les llamarán territorio de impiedad, y pueblo contra el cual Jehová está indignado para siempre.",malaquias_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,miedo,Ira
5,malaquias,1,5,Amor de Jehová por Jacob,"Y vuestros ojos lo verán, y diréis: Sea Jehová engrandecido más allá de los límites de Israel.",malaquias_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,fe;esperanza;miedo,disgust
6,malaquias,1,6,Jehová reprende a los sacerdotes,"El hijo honra al padre, y el siervo a su señor. Si, pues, soy yo padre, ¿dónde está mi honra? y si soy señor, ¿dónde está mi temor? dice Jehová de los ejércitos a vosotros, oh sacerdotes, que menospreciáis mi nombre. Y decís: ¿En qué hemos menospreciado tu nombre?",malaquias_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,miedo;fe,Ira
7,malaquias,1,7,Jehová reprende a los sacerdotes,En que ofrecéis sobre mi altar pan inmundo. Y dijisteis: ¿En qué te hemos deshonrado? En que pensáis que la mesa de Jehová es despreciable.,malaquias_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,,disgust
8,malaquias,1,8,Jehová reprende a los sacerdotes,"Y cuando ofrecéis el animal ciego para el sacrificio, ¿no es malo? Asimismo cuando ofrecéis el cojo o el enfermo, ¿no es malo? Preséntalo, pues, a tu príncipe; ¿acaso se agradará de ti, o le serás acepto? dice Jehová de los ejércitos.",malaquias_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,,disgust
9,malaquias,1,9,Jehová reprende a los sacerdotes,"Ahora, pues, orad por el favor de Dios, para que tenga piedad de nosotros. Pero ¿cómo podéis agradarle, si hacéis estas cosas? dice Jehová de los ejércitos.",malaquias_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,esperanza;fe;perdón;amor,Neutral
10,malaquias,1,10,Jehová reprende a los sacerdotes,"¿Quién también hay de vosotros que cierre las puertas o alumbre mi altar de balde? Yo no tengo complacencia en vosotros, dice Jehová de los ejércitos, ni de vuestra mano aceptaré ofrenda.",malaquias_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,miedo,Ira
11,malaquias,1,11,Jehová reprende a los sacerdotes,"Porque desde donde el sol nace hasta donde se pone, es grande mi nombre entre las naciones; y en todo lugar se ofrece a mi nombre incienso y ofrenda limpia, porque grande es mi nombre entre las naciones, dice Jehová de los ejércitos.",malaquias_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,fe;esperanza,Ira
12,malaquias,1,12,Jehová reprende a los sacerdotes,"Y vosotros lo habéis profanado cuando decís: Inmunda es la mesa de Jehová, y cuando decís que su alimento es despreciable.",malaquias_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,,disgust
13,malaquias,1,13,Jehová reprende a los sacerdotes,"Habéis además dicho: ¡Oh, qué fastidio es esto! y me despreciáis, dice Jehová de los ejércitos; y trajisteis lo hurtado, o cojo, o enfermo, y presentasteis ofrenda. ¿Aceptaré yo eso de vuestra mano? dice Jehová.",malaquias_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,fe;miedo,disgust
14,malaquias,1,14,Jehová reprende a los sacerdotes,"Maldito el que engaña, el que teniendo machos en su rebaño, promete, y sacrifica a Jehová lo dañado. Porque yo soy Gran Rey, dice Jehová de los ejércitos, y mi nombre es temible entre las naciones.",malaquias_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=1&version=rv60,miedo,Miedo
15,malaquias,2,1,Reprensión de la infidelidad de Israel,"Ahora, pues, oh sacerdotes, para vosotros es este mandamiento.",malaquias_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=2&version=rv60,,Neutral
16,malaquias,2,2,Reprensión de la infidelidad de Israel,"Si no oyereis, y si no decidís de corazón dar gloria a mi nombre, ha dicho Jehová de los ejércitos, enviaré maldición sobre vosotros, y maldeciré vuestras bendiciones; y aun las he maldecido, porque no os habéis decidido de corazón.",malaquias_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=2&version=rv60,,Ira
17,malaquias,2,3,Reprensión de la infidelidad de Israel,"He aquí, yo os dañaré la sementera, y os echaré al rostro el estiércol, el estiércol de vuestros animales sacrificados, y seréis arrojados juntamente con él.",malaquias_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=2&version=rv60,miedo,disgust
18,malaquias,2,4,Reprensión de la infidelidad de Israel,"Y sabréis que yo os envié este mandamiento, para que fuese mi pacto con Leví, ha dicho Jehová de los ejércitos.",malaquias_2_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=malaquias&capitulo=2&version=rv60,fe,Neutral
