id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,levitico,1,1,Los holocaustos,"Llamó Jehová a Moisés, y habló con él desde el tabernáculo de reunión, diciendo:",levitico_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60,fe;esperanza;miedo,disgust
2,levitico,1,2,Los holocaustos,"Habla a los hijos de Israel y diles: Cuando alguno de entre vosotros ofrece ofrenda a Jehová, de ganado vacuno u ovejuno haréis vuestra ofrenda.",levitico_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60,fe;miedo,disgust
3,levitico,1,3,Los holocaustos,"Si su ofrenda fuere holocausto vacuno, macho sin defecto lo ofrecerá; de su voluntad lo ofrecerá a la puerta del tabernáculo de reunión delante de Jehová.",levitico_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60,fe;perdón,disgust
4,levitico,1,4,Los holocaustos,"Y pondrá su mano sobre la cabeza del holocausto, y será aceptado para expiación suya.",levitico_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60,fe;perdón,Tristeza
5,levitico,1,5,Los holocaustos,"Entonces degollará el becerro en la presencia de Jehová; y los sacerdotes hijos de Aarón ofrecerán la sangre, y la rociarán alrededor sobre el altar, el cual está a la puerta del tabernáculo de reunión.",levitico_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60,fe;perdón,disgust
6,levitico,1,6,Los holocaustos,"Y desollará el holocausto, y lo dividirá en sus piezas.",levitico_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60,fe,Ira
7,levitico,1,7,Los holocaustos,"Y los hijos del sacerdote Aarón pondrán fuego sobre el altar, y compondrán la leña sobre el fuego.",levitico_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60,fe,Ira
8,levitico,1,8,Los holocaustos,"Luego los sacerdotes hijos de Aarón acomodarán las piezas, la cabeza y la grosura de los intestinos, sobre la leña que está sobre el fuego que habrá encima del altar;",levitico_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60,fe,disgust
9,levitico,1,9,Los holocaustos,"y lavará con agua los intestinos y las piernas, y el sacerdote hará arder todo sobre el altar; holocausto es, ofrenda encendida de olor grato para Jehová.",levitico_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60,fe;perdón,disgust
10,levitico,1,10,Los holocaustos,"Si su ofrenda para holocausto fuere del rebaño, de las ovejas o de las cabras, macho sin defecto lo ofrecerá.",levitico_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60,fe;perdón,disgust
11,levitico,1,11,Los holocaustos,Y lo degollará al lado norte del altar delante de Jehová; y los sacerdotes hijos de Aarón rociarán su sangre sobre el altar alrededor.,levitico_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60,fe,disgust
12,levitico,1,12,Los holocaustos,"Lo dividirá en sus piezas, con su cabeza y la grosura de los intestinos; y el sacerdote las acomodará sobre la leña que está sobre el fuego que habrá encima del altar;",levitico_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=levitico&capitulo=1&version=rv60,fe,Ira
