id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,mateo,1,1,Genealogía de Jesucristo,"Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham.",mateo_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,fe;esperanza,Neutral
2,mateo,1,2,Genealogía de Jesucristo,"Abraham engendró a Isaac, Isaac a Jacob, y Jacob a Judá y a sus hermanos.",mateo_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,fe,Neutral
3,mateo,1,3,Genealogía de Jesucristo,"Judá engendró de Tamar a Fares y a Zara, Fares a Esrom, y Esrom a Aram.",mateo_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,fe,Neutral
4,mateo,1,4,Genealogía de Jesucristo,"Aram engendró a Aminadab, Aminadab a Naasón, y Naasón a Salmón.",mateo_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,fe,Neutral
5,mateo,1,5,Genealogía de Jesucristo,"Salmón engendró de Rahab a Booz, Booz engendró de Rut a Obed, y Obed a Isa.",mateo_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,,Neutral
6,mateo,1,6,Genealogía de Jesucristo,"Isaí engendró al rey David, y el rey David engendró a Salomón de la que fue mujer de Urías.",mateo_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,fe;amor;perdón,Neutral
7,mateo,1,7,Genealogía de Jesucristo,"Salomón engendró a Roboam, Roboam a Abías, y Abías a Asa.",mateo_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,fe,Neutral
8,mateo,1,8,Genealogía de Jesucristo,"Asa engendró a Josafat, Josafat a Joram, y Joram a Uzías.",mateo_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,fe,Neutral
9,mateo,1,9,Genealogía de Jesucristo,"Uzías engendró a Jotam, Jotam a Acaz, y Acaz a Ezequías.",mateo_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,fe,Neutral
10,mateo,1,10,Genealogía de Jesucristo,"Ezequías engendró a Manasés, Manasés a Amón, y Amón a Josías.",mateo_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,fe,Neutral
11,mateo,1,11,Genealogía de Jesucristo,"Josías engendró a Jeconías y a sus hermanos, en el tiempo de la deportación a Babilonia.",mateo_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,fe;miedo,Neutral
12,mateo,1,12,Genealogía de Jesucristo,"Después de la deportación a Babilonia, Jeconías engendró a Salatiel, y Salatiel a Zorobabel.",mateo_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,fe,Alegría
13,mateo,1,13,Genealogía de Jesucristo,"Zorobabel engendró a Abiud, Abiud a Eliaquim, y Eliaquim a Azor.",mateo_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=mateo&capitulo=1&version=rv60,fe,Neutral
