id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,galatas,1,1,Salutación,"Pablo, apóstol (no de hombres ni por hombre, sino por Jesucristo y por Dios el Padre que lo resucitó de los muertos),",galatas_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60,fe;esperanza;perdón,Neutral
2,galatas,1,2,Salutación,"y todos los hermanos que están conmigo, a las iglesias de Galacia:",galatas_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60,fe;amor;perdón;esperanza,Neutral
3,galatas,1,3,Salutación,"Gracia y paz sean a vosotros, de Dios el Padre y de nuestro Señor Jesucristo,",galatas_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60,fe;perdón;esperanza;amor,Neutral
4,galatas,1,4,Salutación,"el cual se dio a sí mismo por nuestros pecados para librarnos del presente siglo malo, conforme a la voluntad de nuestro Dios y Padre,",galatas_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60,perdón;esperanza;amor;fe,Asco
5,galatas,1,5,Salutación,a quien sea la gloria por los siglos de los siglos. Amén.,galatas_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60,fe;esperanza;perdón,Neutral
6,galatas,1,6,No hay otro evangelio,"Estoy maravillado de que tan pronto os hayáis alejado del que os llamó por la gracia de Cristo, para seguir un evangelio diferente.",galatas_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60,,Sorpresa
7,galatas,1,7,No hay otro evangelio,"No que haya otro, sino que hay algunos que os perturban y quieren pervertir el evangelio de Cristo.",galatas_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60,,Neutral
8,galatas,1,8,No hay otro evangelio,"Mas si aun nosotros, o un ángel del cielo, os anunciare otro evangelio diferente del que os hemos anunciado, sea anatema.",galatas_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60,fe,Asco
9,galatas,1,9,No hay otro evangelio,"Como antes hemos dicho, también ahora lo repito: Si alguno os predica diferente evangelio del que habéis recibido, sea anatema.",galatas_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60,fe,Asco
10,galatas,1,10,No hay otro evangelio,"Pues, ¿busco ahora el favor de los hombres, o el de Dios? ¿O trato de agradar a los hombres? Pues si todavía agradara a los hombres, no sería siervo de Cristo.",galatas_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60,,Asco
11,galatas,1,11,El ministerio de Pablo,"Mas os hago saber, hermanos, que el evangelio anunciado por mí, no es según hombre;",galatas_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=galatas&capitulo=1&version=rv60,fe,Neutral
