id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,2-timoteo,1,1,Salutación,"Pablo, apóstol de Jesucristo por la voluntad de Dios, según la promesa de la vida que es en Cristo Jesús,",2-timoteo_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe;esperanza;perdón,Neutral
2,2-timoteo,1,2,Salutación,"a Timoteo, amado hijo: Gracia, misericordia y paz, de Dios Padre y de Jesucristo nuestro Señor.",2-timoteo_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,perdón;amor;esperanza;fe,Alegría
3,2-timoteo,1,3,Testificando de Cristo,"Doy gracias a Dios, al cual sirvo desde mis mayores con limpia conciencia, de que sin cesar me acuerdo de ti en mis oraciones noche y día;",2-timoteo_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe;esperanza;amor;perdón,Alegría
4,2-timoteo,1,4,Testificando de Cristo,"deseando verte, al acordarme de tus lágrimas, para llenarme de gozo;",2-timoteo_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,esperanza;amor;fe,Alegría
5,2-timoteo,1,5,Testificando de Cristo,"trayendo a la memoria la fe no fingida que hay en ti, la cual habitó primero en tu abuela Loida, y en tu madre Eunice, y estoy seguro que en ti también.",2-timoteo_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe;esperanza,Alegría
6,2-timoteo,1,6,Testificando de Cristo,Por lo cual te aconsejo que avives el fuego del don de Dios que está en ti por la imposición de mis manos.,2-timoteo_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe;esperanza,Neutral
7,2-timoteo,1,7,Testificando de Cristo,"Porque no nos ha dado Dios espíritu de cobardía, sino de poder, de amor y de dominio propio.",2-timoteo_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe;amor;esperanza;perdón,Miedo
8,2-timoteo,1,8,Testificando de Cristo,"Por tanto, no te avergüences de dar testimonio de nuestro Señor, ni de mí, preso suyo, sino participa de las aflicciones por el evangelio según el poder de Dios,",2-timoteo_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe;perdón;amor,Asco
9,2-timoteo,1,9,Testificando de Cristo,"quien nos salvó y llamó con llamamiento santo, no conforme a nuestras obras, sino según el propósito suyo y la gracia que nos fue dada en Cristo Jesús antes de los tiempos de los siglos,",2-timoteo_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe;perdón;esperanza;amor,Neutral
10,2-timoteo,1,10,Testificando de Cristo,"pero que ahora ha sido manifestada por la aparición de nuestro Salvador Jesucristo, el cual quitó la muerte y sacó a luz la vida y la inmortalidad por el evangelio,",2-timoteo_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe;esperanza;perdón,Neutral
11,2-timoteo,1,11,Testificando de Cristo,"del cual yo fui constituido predicador, apóstol y maestro de los gentiles.",2-timoteo_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe,Alegría
12,2-timoteo,1,12,Testificando de Cristo,"Por lo cual asimismo padezco esto; pero no me avergüenzo, porque yo sé a quién he creído, y estoy seguro que es poderoso para guardar mi depósito para aquel día.",2-timoteo_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe;esperanza;perdón;amor,Tristeza
13,2-timoteo,1,13,Testificando de Cristo,"Retén la forma de las sanas palabras que de mí oíste, en la fe y amor que es en Cristo Jesús.",2-timoteo_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe;amor;esperanza;perdón,Neutral
14,2-timoteo,1,14,Testificando de Cristo,Guarda el buen depósito por el Espíritu Santo que mora en nosotros.,2-timoteo_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe;esperanza;perdón,Alegría
15,2-timoteo,1,15,Testificando de Cristo,"Ya sabes esto, que me abandonaron todos los que están en Asia, de los cuales son Figelo y Hermógenes.",2-timoteo_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,miedo;fe,Neutral
16,2-timoteo,1,16,Testificando de Cristo,"Tenga el Señor misericordia de la casa de Onesíforo, porque muchas veces me confortó, y no se avergonzó de mis cadenas,",2-timoteo_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,perdón;fe;esperanza;amor,Asco
17,2-timoteo,1,17,Testificando de Cristo,"sino que cuando estuvo en Roma, me buscó solícitamente y me halló.",2-timoteo_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,fe;perdón;esperanza,Asco
18,2-timoteo,1,18,Testificando de Cristo,"Concédale el Señor que halle misericordia cerca del Señor en aquel día. Y cuánto nos ayudó en Efeso, tú lo sabes mejor.",2-timoteo_1_18,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=1&version=rv60,perdón;fe;esperanza,Neutral
19,2-timoteo,2,1,Un buen soldado de Jesucristo,"Tú, pues, hijo mío, esfuérzate en la gracia que es en Cristo Jesús.",2-timoteo_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=2&version=rv60,perdón;amor;fe;esperanza,Neutral
20,2-timoteo,2,2,Un buen soldado de Jesucristo,"Lo que has oído de mí ante muchos testigos, esto encarga a hombres fieles que sean idóneos para enseñar también a otros.",2-timoteo_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=2&version=rv60,fe,Neutral
21,2-timoteo,2,3,Un buen soldado de Jesucristo,"Tú, pues, sufre penalidades como buen soldado de Jesucristo.",2-timoteo_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=2&version=rv60,fe,Asco
22,2-timoteo,2,4,Un buen soldado de Jesucristo,"Ninguno que milita se enreda en los negocios de la vida, a fin de agradar a aquel que lo tomó por soldado.",2-timoteo_2_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=2&version=rv60,,Asco
23,2-timoteo,2,5,Un buen soldado de Jesucristo,"Y también el que lucha como atleta, no es coronado si no lucha legítimamente.",2-timoteo_2_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=2&version=rv60,,Neutral
24,2-timoteo,2,6,Un buen soldado de Jesucristo,"El labrador, para participar de los frutos, debe trabajar primero.",2-timoteo_2_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=2&version=rv60,,Asco
25,2-timoteo,2,7,Un buen soldado de Jesucristo,"Considera lo que digo, y el Señor te dé entendimiento en todo.",2-timoteo_2_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=2-timoteo&capitulo=2&version=rv60,fe;esperanza,Neutral
