id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,filemon,1,1,Salutación,"Pablo, prisionero de Jesucristo, y el hermano Timoteo, al amado Filemón, colaborador nuestro,",filemon_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,amor;fe;perdón;esperanza,Asco
2,filemon,1,2,Salutación,"y a la amada hermana Apia, y a Arquipo nuestro compañero de milicia, y a la iglesia que está en tu casa:",filemon_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,fe;amor;perdón;esperanza,Neutral
3,filemon,1,3,Salutación,"Gracia y paz a vosotros, de Dios nuestro Padre y del Señor Jesucristo.",filemon_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,perdón;fe;esperanza;amor,Neutral
4,filemon,1,4,El amor y la fe de Filemón,"Doy gracias a mi Dios, haciendo siempre memoria de ti en mis oraciones,",filemon_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,fe;esperanza;perdón,Alegría
5,filemon,1,5,El amor y la fe de Filemón,"porque oigo del amor y de la fe que tienes hacia el Señor Jesús, y para con todos los santos;",filemon_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,amor;fe;esperanza,Alegría
6,filemon,1,6,El amor y la fe de Filemón,para que la participación de tu fe sea eficaz en el conocimiento de todo el bien que está en vosotros por Cristo Jesús.,filemon_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,fe,Neutral
7,filemon,1,7,El amor y la fe de Filemón,"Pues tenemos gran gozo y consolación en tu amor, porque por ti, oh hermano, han sido confortados los corazones de los santos.",filemon_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,amor;esperanza;fe,Alegría
8,filemon,1,8,Pablo intercede por Onésimo,"Por lo cual, aunque tengo mucha libertad en Cristo para mandarte lo que conviene,",filemon_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,fe,Miedo
9,filemon,1,9,Pablo intercede por Onésimo,"más bien te ruego por amor, siendo como soy, Pablo ya anciano, y ahora, además, prisionero de Jesucristo;",filemon_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,amor;perdón;esperanza,Tristeza
10,filemon,1,10,Pablo intercede por Onésimo,"te ruego por mi hijo Onésimo, a quien engendré en mis prisiones,",filemon_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,amor;fe;perdón,Asco
11,filemon,1,11,Pablo intercede por Onésimo,"el cual en otro tiempo te fue inútil, pero ahora a ti y a mí nos es útil,",filemon_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,,Tristeza
12,filemon,1,12,Pablo intercede por Onésimo,"el cual vuelvo a enviarte; tú, pues, recíbele como a mí mismo.",filemon_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,perdón;fe;amor,Neutral
13,filemon,1,13,Pablo intercede por Onésimo,"Yo quisiera retenerle conmigo, para que en lugar tuyo me sirviese en mis prisiones por el evangelio;",filemon_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,fe;amor;esperanza;perdón,Neutral
14,filemon,1,14,Pablo intercede por Onésimo,"pero nada quise hacer sin tu consentimiento, para que tu favor no fuese como de necesidad, sino voluntario.",filemon_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,,Ira
15,filemon,1,15,Pablo intercede por Onésimo,"Porque quizás para esto se apartó de ti por algún tiempo, para que le recibieses para siempre;",filemon_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,perdón;esperanza;fe;amor,Tristeza
16,filemon,1,16,Pablo intercede por Onésimo,"no ya como esclavo, sino como más que esclavo, como hermano amado, mayormente para mí, pero cuánto más para ti, tanto en la carne como en el Señor.",filemon_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,amor;fe;perdón,Asco
17,filemon,1,17,Pablo intercede por Onésimo,"Así que, si me tienes por compañero, recíbele como a mí mismo.",filemon_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=filemon&capitulo=1&version=rv60,perdón;amor,Ira
