id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,hebreos,1,1,Dios ha hablado por su Hijo,"Dios, habiendo hablado muchas veces y de muchas maneras en otro tiempo a los padres por los profetas,",hebreos_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,fe,Neutral
2,hebreos,1,2,Dios ha hablado por su Hijo,"en estos postreros días nos ha hablado por el Hijo, a quien constituyó heredero de todo, y por quien asimismo hizo el universo;",hebreos_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,fe,disgust
3,hebreos,1,3,Dios ha hablado por su Hijo,"el cual, siendo el resplandor de su gloria, y la imagen misma de su sustancia, y quien sustenta todas las cosas con la palabra de su poder, habiendo efectuado la purificación de nuestros pecados por medio de sí mismo, se sentó a la diestra de la Majestad en las alturas,",hebreos_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,perdón;fe;esperanza,Neutral
4,hebreos,1,4,Dios ha hablado por su Hijo,"hecho tanto superior a los ángeles, cuanto heredó más excelente nombre que ellos.",hebreos_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,fe,Neutral
5,hebreos,1,5,"El Hijo, superior a los ángeles","Porque ¿a cuál de los ángeles dijo Dios jamás:Mi Hijo eres tú,Yo te he engendrado hoy,y otra vez:Yo seré a él Padre,Y él me será a mí hijo?",hebreos_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,amor;fe;esperanza;perdón,Neutral
6,hebreos,1,6,"El Hijo, superior a los ángeles","Y otra vez, cuando introduce al Primogénito en el mundo, dice:Adórenle todos los ángeles de Dios.",hebreos_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,fe;amor;esperanza;perdón,Neutral
7,hebreos,1,7,"El Hijo, superior a los ángeles","Ciertamente de los ángeles dice:El que hace a sus ángeles espíritus,Y a sus ministros llama de fuego.",hebreos_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,fe,Ira
8,hebreos,1,8,"El Hijo, superior a los ángeles","Mas del Hijo dice:Tu trono, oh Dios, por el siglo del siglo;Cetro de equidad es el cetro de tu reino.",hebreos_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,fe;esperanza,Neutral
9,hebreos,1,9,"El Hijo, superior a los ángeles","Has amado la justicia, y aborrecido la maldad,Por lo cual te ungió Dios, el Dios tuyo,Con óleo de alegría más que a tus compañeros.",hebreos_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,fe;esperanza;amor,Ira
10,hebreos,1,10,"El Hijo, superior a los ángeles","Y:Tú, oh Señor, en el principio fundaste la tierra,Y los cielos son obra de tus manos.",hebreos_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,fe,Neutral
11,hebreos,1,11,"El Hijo, superior a los ángeles","Ellos perecerán, mas tú permaneces;Y todos ellos se envejecerán como una vestidura,",hebreos_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,fe;perdón,Tristeza
12,hebreos,1,12,"El Hijo, superior a los ángeles","Y como un vestido los envolverás, y serán mudados;Pero tú eres el mismo, Y tus años no acabarán.",hebreos_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,esperanza;fe,Neutral
13,hebreos,1,13,"El Hijo, superior a los ángeles","Pues, ¿a cuál de los ángeles dijo Dios jamás:Siéntate a mi diestra,Hasta que ponga a tus enemigos por estrado de tus pies?",hebreos_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,fe,Miedo
14,hebreos,1,14,"El Hijo, superior a los ángeles","¿No son todos espíritus ministradores, enviados para servicio a favor de los que serán herederos de la salvación?",hebreos_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=1&version=rv60,fe;esperanza,Neutral
15,hebreos,2,1,Una salvación tan grande,"Por tanto, es necesario que con más diligencia atendamos a las cosas que hemos oído, no sea que nos deslicemos.",hebreos_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=2&version=rv60,miedo;fe,Neutral
16,hebreos,2,2,Una salvación tan grande,"Porque si la palabra dicha por medio de los ángeles fue firme, y toda transgresión y desobediencia recibió justa retribución,",hebreos_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=2&version=rv60,fe;esperanza,Ira
17,hebreos,2,3,Una salvación tan grande,"¿cómo escaparemos nosotros, si descuidamos una salvación tan grande? La cual, habiendo sido anunciada primeramente por el Señor, nos fue confirmada por los que oyeron,",hebreos_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hebreos&capitulo=2&version=rv60,perdón;esperanza;fe,Tristeza
