id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,deuteronomio,1,1,Moisés recuerda a Israel las promesas de Jehová en Horeb,"Estas son las palabras que habló Moisés a todo Israel a este lado del Jordán en el desierto, en el Arabá frente al Mar Rojo, entre Parán, Tofel, Labán, Hazerot y Dizahab.",deuteronomio_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60,fe;perdón,Miedo
2,deuteronomio,1,2,Moisés recuerda a Israel las promesas de Jehová en Horeb,"Once jornadas hay desde Horeb, camino del monte de Seir, hasta Cades-barnea.",deuteronomio_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60,,Neutral
3,deuteronomio,1,3,Moisés recuerda a Israel las promesas de Jehová en Horeb,"Y aconteció que a los cuarenta años, en el mes undécimo, el primero del mes, Moisés habló a los hijos de Israel conforme a todas las cosas que Jehová le había mandado acerca de ellos,",deuteronomio_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60,fe,Neutral
4,deuteronomio,1,4,Moisés recuerda a Israel las promesas de Jehová en Horeb,"después que derrotó a Sehón rey de los amorreos, el cual habitaba en Hesbón, y a Og rey de Basán que habitaba en Astarot en Edrei.",deuteronomio_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60,fe,disgust
5,deuteronomio,1,5,Moisés recuerda a Israel las promesas de Jehová en Horeb,"De este lado del Jordán, en tierra de Moab, resolvió Moisés declarar esta ley, diciendo:",deuteronomio_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60,,Neutral
6,deuteronomio,1,6,Moisés recuerda a Israel las promesas de Jehová en Horeb,"Jehová nuestro Dios nos habló en Horeb, diciendo: Habéis estado bastante tiempo en este monte.",deuteronomio_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60,miedo,Neutral
7,deuteronomio,1,7,Moisés recuerda a Israel las promesas de Jehová en Horeb,"Volveos e id al monte del amorreo y a todas sus comarcas, en el Arabá, en el monte, en los valles, en el Neguev, y junto a la costa del mar, a la tierra del cananeo, y al Líbano, hasta el gran río, el río Eufrates.",deuteronomio_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60,fe,Neutral
8,deuteronomio,1,8,Moisés recuerda a Israel las promesas de Jehová en Horeb,"Mirad, yo os he entregado la tierra; entrad y poseed la tierra que Jehová juró a vuestros padres Abraham, Isaac y Jacob, que les daría a ellos y a su descendencia después de ellos.",deuteronomio_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60,fe;esperanza,Ira
9,deuteronomio,1,9,Nombramiento de jueces,En aquel tiempo yo os hablé diciendo: Yo solo no puedo llevaros.,deuteronomio_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60,miedo,Miedo
10,deuteronomio,1,10,Nombramiento de jueces,"Jehová vuestro Dios os ha multiplicado, y he aquí hoy vosotros sois como las estrellas del cielo en multitud.",deuteronomio_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=deuteronomio&capitulo=1&version=rv60,fe;esperanza,Neutral
