id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,judas,1,1,Salutación,"Judas, siervo de Jesucristo, y hermano de Jacobo, a los llamados, santificados en Dios Padre, y guardados en Jesucristo:",judas_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,fe;amor;esperanza,Neutral
2,judas,1,2,Salutación,Misericordia y paz y amor os sean multiplicados.,judas_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,perdón;esperanza;fe;amor,Neutral
3,judas,1,3,Falsas doctrinas y falsos maestros,"Amados, por la gran solicitud que tenía de escribiros acerca de nuestra común salvación, me ha sido necesario escribiros exhortándoos que contendáis ardientemente por la fe que ha sido una vez dada a los santos.",judas_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,amor;fe;esperanza,Neutral
4,judas,1,4,Falsas doctrinas y falsos maestros,"Porque algunos hombres han entrado encubiertamente, los que desde antes habían sido destinados para esta condenación, hombres impíos, que convierten en libertinaje la gracia de nuestro Dios, y niegan a Dios el único soberano, y a nuestro Señor Jesucristo.",judas_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,,disgust
5,judas,1,5,Falsas doctrinas y falsos maestros,"Mas quiero recordaros, ya que una vez lo habéis sabido, que el Señor, habiendo salvado al pueblo sacándolo de Egipto, después destruyó a los que no creyeron.",judas_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,fe,Neutral
6,judas,1,6,Falsas doctrinas y falsos maestros,"Y a los ángeles que no guardaron su dignidad, sino que abandonaron su propia morada, los ha guardado bajo oscuridad, en prisiones eternas, para el juicio del gran día;",judas_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,miedo;fe,Neutral
7,judas,1,7,Falsas doctrinas y falsos maestros,"como Sodoma y Gomorra y las ciudades vecinas, las cuales de la misma manera que aquéllos, habiendo fornicado e ido en pos de vicios contra naturaleza, fueron puestas por ejemplo, sufriendo el castigo del fuego eterno.",judas_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,,disgust
8,judas,1,8,Falsas doctrinas y falsos maestros,"No obstante, de la misma manera también estos soñadores mancillan la carne, rechazan la autoridad y blasfeman de las potestades superiores.",judas_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,,disgust
9,judas,1,9,Falsas doctrinas y falsos maestros,"Pero cuando el arcángel Miguel contendía con el diablo, disputando con él por el cuerpo de Moisés, no se atrevió a proferir juicio de maldición contra él, sino que dijo: El Señor te reprenda.",judas_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,fe;miedo,Ira
10,judas,1,10,Falsas doctrinas y falsos maestros,"Pero éstos blasfeman de cuantas cosas no conocen; y en las que por naturaleza conocen, se corrompen como animales irracionales.",judas_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,,disgust
11,judas,1,11,Falsas doctrinas y falsos maestros,"¡Ay de ellos! porque han seguido el camino de Caín, y se lanzaron por lucro en el error de Balaam, y perecieron en la contradicción de Coré.",judas_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,miedo,Ira
12,judas,1,12,Falsas doctrinas y falsos maestros,"Estos son manchas en vuestros ágapes, que comiendo impúdicamente con vosotros se apacientan a sí mismos; nubes sin agua, llevadas de acá para allá por los vientos; árboles otoñales, sin fruto, dos veces muertos y desarraigados;",judas_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,perdón;fe;amor,Neutral
13,judas,1,13,Falsas doctrinas y falsos maestros,"fieras ondas del mar, que espuman su propia vergüenza; estrellas errantes, para las cuales está reservada eternamente la oscuridad de las tinieblas.",judas_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,miedo,Neutral
14,judas,1,14,Falsas doctrinas y falsos maestros,"De éstos también profetizó Enoc, séptimo desde Adán, diciendo: He aquí, vino el Señor con sus santas decenas de millares,",judas_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,fe;esperanza;miedo;perdón,Neutral
15,judas,1,15,Falsas doctrinas y falsos maestros,"para hacer juicio contra todos, y dejar convictos a todos los impíos de todas sus obras impías que han hecho impíamente, y de todas las cosas duras que los pecadores impíos han hablado contra él.",judas_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,fe,disgust
16,judas,1,16,Falsas doctrinas y falsos maestros,"Estos son murmuradores, querellosos, que andan según sus propios deseos, cuya boca habla cosas infladas, adulando a las personas para sacar provecho.",judas_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,,Neutral
17,judas,1,17,Amonestaciones y exhortaciones,"Pero vosotros, amados, tened memoria de las palabras que antes fueron dichas por los apóstoles de nuestro Señor Jesucristo;",judas_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,fe;amor,Neutral
18,judas,1,18,Amonestaciones y exhortaciones,"los que os decían: En el postrer tiempo habrá burladores, que andarán según sus malvados deseos.",judas_1_18,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,,disgust
19,judas,1,19,Amonestaciones y exhortaciones,"Estos son los que causan divisiones; los sensuales, que no tienen al Espíritu.",judas_1_19,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,,Neutral
20,judas,1,20,Amonestaciones y exhortaciones,"Pero vosotros, amados, edificándoos sobre vuestra santísima fe, orando en el Espíritu Santo,",judas_1_20,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,fe;amor;esperanza,Neutral
21,judas,1,21,Amonestaciones y exhortaciones,"conservaos en el amor de Dios, esperando la misericordia de nuestro Señor Jesucristo para vida eterna.",judas_1_21,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,fe;amor;esperanza;perdón,Neutral
22,judas,1,22,Amonestaciones y exhortaciones,"A algunos que dudan, convencedlos.",judas_1_22,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,esperanza,Neutral
23,judas,1,23,Amonestaciones y exhortaciones,"A otros salvad, arrebatándolos del fuego; y de otros tened misericordia con temor, aborreciendo aun la ropa contaminada por su carne.",judas_1_23,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,miedo,Miedo
24,judas,1,24,Doxología,"Y a aquel que es poderoso para guardaros sin caída, y presentaros sin mancha delante de su gloria con gran alegría,",judas_1_24,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,fe;perdón;esperanza,Ira
25,judas,1,25,Doxología,"al único y sabio Dios, nuestro Salvador, sea gloria y majestad, imperio y potencia, ahora y por todos los siglos. Amén.",judas_1_25,https://www.biblia.es/biblia-buscar-libros-1.php?libro=judas&capitulo=1&version=rv60,fe;perdón;esperanza,Neutral
