id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,apocalipsis,1,1,La revelación de Jesucristo,"La revelación de Jesucristo, que Dios le dio, para manifestar a sus siervos las cosas que deben suceder pronto; y la declaró enviándola por medio de su ángel a su siervo Juan,",apocalipsis_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=apocalipsis&capitulo=1&version=rv60,fe,Neutral
2,apocalipsis,1,2,La revelación de Jesucristo,"que ha dado testimonio de la palabra de Dios, y del testimonio de Jesucristo, y de todas las cosas que ha visto.",apocalipsis_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=apocalipsis&capitulo=1&version=rv60,fe,disgust
3,apocalipsis,1,3,La revelación de Jesucristo,"Bienaventurado el que lee, y los que oyen las palabras de esta profecía, y guardan las cosas en ella escritas; porque el tiempo está cerca.",apocalipsis_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=apocalipsis&capitulo=1&version=rv60,fe,Neutral
4,apocalipsis,1,4,Salutaciones a las siete iglesias,"Juan, a las siete iglesias que están en Asia: Gracia y paz a vosotros, del que es y que era y que ha de venir, y de los siete espíritus que están delante de su trono;",apocalipsis_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=apocalipsis&capitulo=1&version=rv60,fe;esperanza;perdón;amor,Neutral
5,apocalipsis,1,5,Salutaciones a las siete iglesias,"y de Jesucristo el testigo fiel, el primogénito de los muertos, y el soberano de los reyes de la tierra. Al que nos amó, y nos lavó de nuestros pecados con su sangre,",apocalipsis_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=apocalipsis&capitulo=1&version=rv60,amor;fe;perdón;esperanza,disgust
6,apocalipsis,1,6,Salutaciones a las siete iglesias,"y nos hizo reyes y sacerdotes para Dios, su Padre; a él sea gloria e imperio por los siglos de los siglos. Amén.",apocalipsis_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=apocalipsis&capitulo=1&version=rv60,fe;esperanza,Neutral
7,apocalipsis,1,7,Salutaciones a las siete iglesias,"He aquí que viene con las nubes, y todo ojo le verá, y los que le traspasaron; y todos los linajes de la tierra harán lamentación por él. Sí, amén.",apocalipsis_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=apocalipsis&capitulo=1&version=rv60,fe;esperanza,Ira
8,apocalipsis,1,8,Salutaciones a las siete iglesias,"Yo soy el Alfa y la Omega, principio y fin, dice el Señor, el que es y que era y que ha de venir, el Todopoderoso.",apocalipsis_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=apocalipsis&capitulo=1&version=rv60,fe,Neutral
9,apocalipsis,1,9,Una visión del Hijo del Hombre,"Yo Juan, vuestro hermano, y copartícipe vuestro en la tribulación, en el reino y en la paciencia de Jesucristo, estaba en la isla llamada Patmos, por causa de la palabra de Dios y el testimonio de Jesucristo.",apocalipsis_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=apocalipsis&capitulo=1&version=rv60,fe;amor,Neutral
10,apocalipsis,1,10,Una visión del Hijo del Hombre,"Yo estaba en el Espíritu en el día del Señor, y oí detrás de mí una gran voz como de trompeta,",apocalipsis_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=apocalipsis&capitulo=1&version=rv60,fe,Miedo
