"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","1_chronicles","1","1","","Adam, Sheth, Enosh,","1_chronicles_1_1","https://github.com/seven1m/open-bibles","",""
"2","1_chronicles","1","2","","Kenan, Mahalaleel, Jered,","1_chronicles_1_2","https://github.com/seven1m/open-bibles","",""
"3","1_chronicles","1","3","","Henoch, Methuselah, Lamech,","1_chronicles_1_3","https://github.com/seven1m/open-bibles","",""
"4","1_chronicles","1","4","","Noah, Shem, Ham, and Japheth.","1_chronicles_1_4","https://github.com/seven1m/open-bibles","",""
"5","1_chronicles","1","5","","The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.","1_chronicles_1_5","https://github.com/seven1m/open-bibles","",""
"6","1_chronicles","1","6","","And the sons of Gomer; Ashchenaz, and Riphath, and Togarmah.","1_chronicles_1_6","https://github.com/seven1m/open-bibles","",""
"7","1_chronicles","1","7","","And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim.","1_chronicles_1_7","https://github.com/seven1m/open-bibles","",""
"8","1_chronicles","1","8","","The sons of Ham; Cush, and Mizraim, Put, and Canaan.","1_chronicles_1_8","https://github.com/seven1m/open-bibles","",""
"9","1_chronicles","1","9","","And the sons of Cush; Seba, and Havilah, and Sabta, and Raamah, and Sabtecha. And the sons of Raamah; Sheba, and Dedan.","1_chronicles_1_9","https://github.com/seven1m/open-bibles","",""
"10","1_chronicles","1","10","","And Cush begat Nimrod: he began to be mighty upon the earth.","1_chronicles_1_10","https://github.com/seven1m/open-bibles","",""
"11","1_chronicles","1","11","","And Mizraim begat Ludim, and Anamim, and Lehabim, and Napthtuhim,","1_chronicles_1_11","https://github.com/seven1m/open-bibles","",""
"12","1_chronicles","1","12","","And Pathrusim, and Casluhim, (of whom came the Philistines,) and Caphthorim.","1_chronicles_1_12","https://github.com/seven1m/open-bibles","",""
"13","1_chronicles","1","13","","And Canaan begat Zidon his firstborn, and Heth,","1_chronicles_1_13","https://github.com/seven1m/open-bibles","",""
"14","1_chronicles","1","14","","The Jebusite also, and the Amorite, and the Girgashite,","1_chronicles_1_14","https://github.com/seven1m/open-bibles","",""
"15","1_chronicles","1","15","","And the Hivite, and the Arkite, and the Sinite,","1_chronicles_1_15","https://github.com/seven1m/open-bibles","",""
"16","1_chronicles","1","16","","And the Arvadite, and the Zemarite, and the Hamathite.","1_chronicles_1_16","https://github.com/seven1m/open-bibles","",""
"17","1_chronicles","1","17","","The sons of Shem; Elam, and Asshur, and Arphaxad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech.","1_chronicles_1_17","https://github.com/seven1m/open-bibles","",""
"18","1_chronicles","1","18","","And Arphaxad begat Shelah, and Shelah begat Eber.","1_chronicles_1_18","https://github.com/seven1m/open-bibles","",""
"19","1_chronicles","1","19","","And unto Eber were born two sons: the name of the one was Peleg; because in his days the earth was divided: and his brother's name was Joktan.","1_chronicles_1_19","https://github.com/seven1m/open-bibles","",""
"20","1_chronicles","1","20","","And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,","1_chronicles_1_20","https://github.com/seven1m/open-bibles","",""
"21","1_chronicles","1","21","","Hadoram also, and Uzal, and Diklah,","1_chronicles_1_21","https://github.com/seven1m/open-bibles","",""
"22","1_chronicles","1","22","","And Ebal, and Abimael, and Sheba,","1_chronicles_1_22","https://github.com/seven1m/open-bibles","",""
"23","1_chronicles","1","23","","And Ophir, and Havilah, and Jobab. All these were the sons of Joktan.","1_chronicles_1_23","https://github.com/seven1m/open-bibles","",""
"24","1_chronicles","1","24","","Shem, Arphaxad, Shelah,","1_chronicles_1_24","https://github.com/seven1m/open-bibles","",""
"25","1_chronicles","1","25","","Eber, Peleg, Reu,","1_chronicles_1_25","https://github.com/seven1m/open-bibles","",""
"26","1_chronicles","1","26","","Serug, Nahor, Terah,","1_chronicles_1_26","https://github.com/seven1m/open-bibles","",""
"27","1_chronicles","1","27","","Abram; the same is Abraham.","1_chronicles_1_27","https://github.com/seven1m/open-bibles","",""
"28","1_chronicles","1","28","","The sons of Abraham; Isaac, and Ishmael.","1_chronicles_1_28","https://github.com/seven1m/open-bibles","",""
"29","1_chronicles","1","29","","These are their generations: The firstborn of Ishmael, Nebaioth; then Kedar, and Adbeel, and Mibsam,","1_chronicles_1_29","https://github.com/seven1m/open-bibles","",""
"30","1_chronicles","1","30","","Mishma and Dumah, Massa, Hadad, and Tema,","1_chronicles_1_30","https://github.com/seven1m/open-bibles","",""
