id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,psalms,1,1,,"Blessed is the man that walketh not in the counsel of the ungodly, nor standeth in the way of sinners, nor sitteth in the seat of the scornful.",psalms_1_1,https://github.com/seven1m/open-bibles,,
2,psalms,1,2,,But his delight is in the law of the LORD; and in his law doth he meditate day and night.,psalms_1_2,https://github.com/seven1m/open-bibles,,
3,psalms,1,3,,"And he shall be like a tree planted by the rivers of water, that bringeth forth his fruit in his season; his leaf also shall not wither; and whatsoever he doeth shall prosper.",psalms_1_3,https://github.com/seven1m/open-bibles,,
4,psalms,1,4,,The ungodly are not so: but are like the chaff which the wind driveth away.,psalms_1_4,https://github.com/seven1m/open-bibles,,
5,psalms,1,5,,"Therefore the ungodly shall not stand in the judgment, nor sinners in the congregation of the righteous.",psalms_1_5,https://github.com/seven1m/open-bibles,,
6,psalms,1,6,,For the LORD knoweth the way of the righteous: but the way of the ungodly shall perish.,psalms_1_6,https://github.com/seven1m/open-bibles,,
7,psalms,2,1,,"Why do the heathen rage, and the people imagine a vain thing?",psalms_2_1,https://github.com/seven1m/open-bibles,,
8,psalms,2,2,,"The kings of the earth set themselves, and the rulers take counsel together, against the LORD, and against his anointed, saying,",psalms_2_2,https://github.com/seven1m/open-bibles,,
9,psalms,2,3,,"Let us break their bands asunder, and cast away their cords from us.",psalms_2_3,https://github.com/seven1m/open-bibles,,
10,psalms,2,4,,He that sitteth in the heavens shall laugh: the Lord shall have them in derision.,psalms_2_4,https://github.com/seven1m/open-bibles,,
11,psalms,2,5,,"Then shall he speak unto them in his wrath, and vex them in his sore displeasure.",psalms_2_5,https://github.com/seven1m/open-bibles,,
12,psalms,2,6,,Yet have I set my king upon my holy hill of Zion.,psalms_2_6,https://github.com/seven1m/open-bibles,,
13,psalms,2,7,,"I will declare the decree: the LORD hath said unto me, Thou art my Son; this day have I begotten thee.",psalms_2_7,https://github.com/seven1m/open-bibles,,
14,psalms,2,8,,"Ask of me, and I shall give thee the heathen for thine inheritance, and the uttermost parts of the earth for thy possession.",psalms_2_8,https://github.com/seven1m/open-bibles,,
15,psalms,2,9,,Thou shalt break them with a rod of iron; thou shalt dash them in pieces like a potter's vessel.,psalms_2_9,https://github.com/seven1m/open-bibles,,
16,psalms,2,10,,"Be wise now therefore, O ye kings: be instructed, ye judges of the earth.",psalms_2_10,https://github.com/seven1m/open-bibles,,
17,psalms,2,11,,"Serve the LORD with fear, and rejoice with trembling.",psalms_2_11,https://github.com/seven1m/open-bibles,,
18,psalms,2,12,,"Kiss the Son, lest he be angry, and ye perish from the way, when his wrath is kindled but a little. Blessed are all they that put their trust in him.",psalms_2_12,https://github.com/seven1m/open-bibles,,
19,psalms,3,1,,"LORD, how are they increased that trouble me! many are they that rise up against me.",psalms_3_1,https://github.com/seven1m/open-bibles,,
20,psalms,3,2,,"Many there be which say of my soul, There is no help for him in God. Selah.",psalms_3_2,https://github.com/seven1m/open-bibles,,
