id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,genesis,1,1,,In the beginning God created the heaven and the earth.,genesis_1_1,https://github.com/seven1m/open-bibles,,
2,genesis,1,2,,"And the earth was without form, and void; and darkness was upon the face of the deep. And the Spirit of God moved upon the face of the waters.",genesis_1_2,https://github.com/seven1m/open-bibles,,
3,genesis,1,3,,"And God said, Let there be light: and there was light.",genesis_1_3,https://github.com/seven1m/open-bibles,,
4,genesis,1,4,,"And God saw the light, that it was good: and God divided the light from the darkness.",genesis_1_4,https://github.com/seven1m/open-bibles,,
5,genesis,1,5,,"And God called the light Day, and the darkness he called Night. And the evening and the morning were the first day.",genesis_1_5,https://github.com/seven1m/open-bibles,,
6,genesis,1,6,,"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from the waters.",genesis_1_6,https://github.com/seven1m/open-bibles,,
7,genesis,1,7,,"And God made the firmament, and divided the waters which were under the firmament from the waters which were above the firmament: and it was so.",genesis_1_7,https://github.com/seven1m/open-bibles,,
8,genesis,1,8,,And God called the firmament Heaven. And the evening and the morning were the second day.,genesis_1_8,https://github.com/seven1m/open-bibles,,
9,genesis,1,9,,"And God said, Let the waters under the heaven be gathered together unto one place, and let the dry land appear: and it was so.",genesis_1_9,https://github.com/seven1m/open-bibles,,
10,genesis,1,10,,And God called the dry land Earth; and the gathering together of the waters called he Seas: and God saw that it was good.,genesis_1_10,https://github.com/seven1m/open-bibles,,
11,genesis,1,11,,"And God said, Let the earth bring forth grass, the herb yielding seed, and the fruit tree yielding fruit after his kind, whose seed is in itself, upon the earth: and it was so.",genesis_1_11,https://github.com/seven1m/open-bibles,,
12,genesis,1,12,,"And the earth brought forth grass, and herb yielding seed after his kind, and the tree yielding fruit, whose seed was in itself, after his kind: and God saw that it was good.",genesis_1_12,https://github.com/seven1m/open-bibles,,
13,genesis,1,13,,And the evening and the morning were the third day.,genesis_1_13,https://github.com/seven1m/open-bibles,,
14,genesis,1,14,,"And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days, and years:",genesis_1_14,https://github.com/seven1m/open-bibles,,
15,genesis,1,15,,And let them be for lights in the firmament of the heaven to give light upon the earth: and it was so.,genesis_1_15,https://github.com/seven1m/open-bibles,,
16,genesis,1,16,,"And God made two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also.",genesis_1_16,https://github.com/seven1m/open-bibles,,
17,genesis,1,17,,"And God set them in the firmament of the heaven to give light upon the earth,",genesis_1_17,https://github.com/seven1m/open-bibles,,
18,genesis,1,18,,"And to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good.",genesis_1_18,https://github.com/seven1m/open-bibles,,
19,genesis,1,19,,And the evening and the morning were the fourth day.,genesis_1_19,https://github.com/seven1m/open-bibles,,
20,genesis,1,20,,"And God said, Let the waters bring forth abundantly the moving creature that hath life, and fowl that may fly above the earth in the open firmament of heaven.",genesis_1_20,https://github.com/seven1m/open-bibles,,
21,genesis,1,21,,"And God created great whales, and every living creature that moveth, which the waters brought forth abundantly, after their kind, and every winged fowl after his kind: and God saw that it was good.",genesis_1_21,https://github.com/seven1m/open-bibles,,
22,genesis,1,22,,"And God blessed them, saying, Be fruitful, and multiply, and fill the waters in the seas, and let fowl multiply in the earth.",genesis_1_22,https://github.com/seven1m/open-bibles,,
23,genesis,1,23,,And the evening and the morning were the fifth day.,genesis_1_23,https://github.com/seven1m/open-bibles,,
24,genesis,1,24,,"And God said, Let the earth bring forth the living creature after his kind, cattle, and creeping thing, and beast of the earth after his kind: and it was so.",genesis_1_24,https://github.com/seven1m/open-bibles,,
25,genesis,1,25,,"And God made the beast of the earth after his kind, and cattle after their kind, and every thing that creepeth upon the earth after his kind: and God saw that it was good.",genesis_1_25,https://github.com/seven1m/open-bibles,,
26,genesis,1,26,,"And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth.",genesis_1_26,https://github.com/seven1m/open-bibles,,
27,genesis,1,27,,"So God created man in his own image, in the image of God created he him; male and female created he them.",genesis_1_27,https://github.com/seven1m/open-bibles,,
28,genesis,1,28,,"And God blessed them, and God said unto them, Be fruitful, and multiply, and replenish the earth, and subdue it: and have dominion over the fish of the sea, and over the fowl of the air, and over every living thing that moveth upon the earth.",genesis_1_28,https://github.com/seven1m/open-bibles,,
29,genesis,1,29,,"And God said, Behold, I have given you every herb bearing seed, which is upon the face of all the earth, and every tree, in the which is the fruit of a tree yielding seed; to you it shall be for meat.",genesis_1_29,https://github.com/seven1m/open-bibles,,
30,genesis,1,30,,"And to every beast of the earth, and to every fowl of the air, and to every thing that creepeth upon the earth, wherein there is life, I have given every green herb for meat: and it was so.",genesis_1_30,https://github.com/seven1m/open-bibles,,
31,genesis,1,31,,"And God saw every thing that he had made, and, behold, it was very good. And the evening and the morning were the sixth day.",genesis_1_31,https://github.com/seven1m/open-bibles,,
