"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","lamentations","1","1","","How doth the city sit solitary, that was full of people how is she become as a widow she that was great among the nations, and princess among the provinces, how is she become tributary","lamentations_1_1","https://github.com/seven1m/open-bibles","",""
"2","lamentations","1","2","","She weepeth sore in the night, and her tears are on her cheeks: among all her lovers she hath none to comfort her: all her friends have dealt treacherously with her, they are become her enemies.","lamentations_1_2","https://github.com/seven1m/open-bibles","",""
"3","lamentations","1","3","","Judah is gone into captivity because of affliction, and because of great servitude: she dwelleth among the heathen, she findeth no rest: all her persecutors overtook her between the straits.","lamentations_1_3","https://github.com/seven1m/open-bibles","",""
"4","lamentations","1","4","","The ways of Zion do mourn, because none come to the solemn feasts: all her gates are desolate: her priests sigh, her virgins are afflicted, and she is in bitterness.","lamentations_1_4","https://github.com/seven1m/open-bibles","",""
"5","lamentations","1","5","","Her adversaries are the chief, her enemies prosper; for the LORD hath afflicted her for the multitude of her transgressions: her children are gone into captivity before the enemy.","lamentations_1_5","https://github.com/seven1m/open-bibles","",""
"6","lamentations","1","6","","And from the daughter of Zion all her beauty is departed: her princes are become like harts that find no pasture, and they are gone without strength before the pursuer.","lamentations_1_6","https://github.com/seven1m/open-bibles","",""
"7","lamentations","1","7","","Jerusalem remembered in the days of her affliction and of her miseries all her pleasant things that she had in the days of old, when her people fell into the hand of the enemy, and none did help her: the adversaries saw her, and did mock at her sabbaths.","lamentations_1_7","https://github.com/seven1m/open-bibles","",""
"8","lamentations","1","8","","Jerusalem hath grievously sinned; therefore she is removed: all that honoured her despise her, because they have seen her nakedness: yea, she sigheth, and turneth backward.","lamentations_1_8","https://github.com/seven1m/open-bibles","",""
"9","lamentations","1","9","","Her filthiness is in her skirts; she remembereth not her last end; therefore she came down wonderfully: she had no comforter. O LORD, behold my affliction: for the enemy hath magnified himself.","lamentations_1_9","https://github.com/seven1m/open-bibles","",""
"10","lamentations","1","10","","The adversary hath spread out his hand upon all her pleasant things: for she hath seen that the heathen entered into her sanctuary, whom thou didst command that they should not enter into thy congregation.","lamentations_1_10","https://github.com/seven1m/open-bibles","",""
"11","lamentations","1","11","","All her people sigh, they seek bread; they have given their pleasant things for meat to relieve the soul: see, O LORD, and consider; for I am become vile.","lamentations_1_11","https://github.com/seven1m/open-bibles","",""
"12","lamentations","1","12","","Is it nothing to you, all ye that pass by? behold, and see if there be any sorrow like unto my sorrow, which is done unto me, wherewith the LORD hath afflicted me in the day of his fierce anger.","lamentations_1_12","https://github.com/seven1m/open-bibles","",""
"13","lamentations","1","13","","From above hath he sent fire into my bones, and it prevaileth against them: he hath spread a net for my feet, he hath turned me back: he hath made me desolate and faint all the day.","lamentations_1_13","https://github.com/seven1m/open-bibles","",""
"14","lamentations","1","14","","The yoke of my transgressions is bound by his hand: they are wreathed, and come up upon my neck: he hath made my strength to fall, the Lord hath delivered me into their hands, from whom I am not able to rise up.","lamentations_1_14","https://github.com/seven1m/open-bibles","",""
"15","lamentations","1","15","","The Lord hath trodden under foot all my mighty men in the midst of me: he hath called an assembly against me to crush my young men: the Lord hath trodden the virgin, the daughter of Judah, as in a winepress.","lamentations_1_15","https://github.com/seven1m/open-bibles","",""
"16","lamentations","1","16","","For these things I weep; mine eye, mine eye runneth down with water, because the comforter that should relieve my soul is far from me: my children are desolate, because the enemy prevailed.","lamentations_1_16","https://github.com/seven1m/open-bibles","",""
"17","lamentations","1","17","","Zion spreadeth forth her hands, and there is none to comfort her: the LORD hath commanded concerning Jacob, that his adversaries should be round about him: Jerusalem is as a menstruous woman among them.","lamentations_1_17","https://github.com/seven1m/open-bibles","",""
"18","lamentations","1","18","","The LORD is righteous; for I have rebelled against his commandment: hear, I pray you, all people, and behold my sorrow: my virgins and my young men are gone into captivity.","lamentations_1_18","https://github.com/seven1m/open-bibles","",""
"19","lamentations","1","19","","I called for my lovers, but they deceived me: my priests and mine elders gave up the ghost in the city, while they sought their meat to relieve their souls.","lamentations_1_19","https://github.com/seven1m/open-bibles","",""
"20","lamentations","1","20","","Behold, O LORD; for I am in distress: my bowels are troubled; mine heart is turned within me; for I have grievously rebelled: abroad the sword bereaveth, at home there is as death.","lamentations_1_20","https://github.com/seven1m/open-bibles","",""
"21","lamentations","1","21","","They have heard that I sigh: there is none to comfort me: all mine enemies have heard of my trouble; they are glad that thou hast done it: thou wilt bring the day that thou hast called, and they shall be like unto me.","lamentations_1_21","https://github.com/seven1m/open-bibles","",""
"22","lamentations","1","22","","Let all their wickedness come before thee; and do unto them, as thou hast done unto me for all my transgressions: for my sighs are many, and my heart is faint.","lamentations_1_22","https://github.com/seven1m/open-bibles","",""
"23","lamentations","2","1","","How hath the Lord covered the daughter of Zion with a cloud in his anger, and cast down from heaven unto the earth the beauty of Israel, and remembered not his footstool in the day of his anger!","lamentations_2_1","https://github.com/seven1m/open-bibles","",""
"24","lamentations","2","2","","The Lord hath swallowed up all the habitations of Jacob, and hath not pitied: he hath thrown down in his wrath the strong holds of the daughter of Judah; he hath brought them down to the ground: he hath polluted the kingdom and the princes thereof.","lamentations_2_2","https://github.com/seven1m/open-bibles","",""
"25","lamentations","2","3","","He hath cut off in his fierce anger all the horn of Israel: he hath drawn back his right hand from before the enemy, and he burned against Jacob like a flaming fire, which devoureth round about.","lamentations_2_3","https://github.com/seven1m/open-bibles","",""
"26","lamentations","2","4","","He hath bent his bow like an enemy: he stood with his right hand as an adversary, and slew all that were pleasant to the eye in the tabernacle of the daughter of Zion: he poured out his fury like fire.","lamentations_2_4","https://github.com/seven1m/open-bibles","",""
"27","lamentations","2","5","","The Lord was as an enemy: he hath swallowed up Israel, he hath swallowed up all her palaces: he hath destroyed his strong holds, and hath increased in the daughter of Judah mourning and lamentation.","lamentations_2_5","https://github.com/seven1m/open-bibles","",""
"28","lamentations","2","6","","And he hath violently taken away his tabernacle, as if it were of a garden: he hath destroyed his places of the assembly: the LORD hath caused the solemn feasts and sabbaths to be forgotten in Zion, and hath despised in the indignation of his anger the king and the priest.","lamentations_2_6","https://github.com/seven1m/open-bibles","",""
"29","lamentations","2","7","","The Lord hath cast off his altar, he hath abhorred his sanctuary, he hath given up into the hand of the enemy the walls of her palaces; they have made a noise in the house of the LORD, as in the day of a solemn feast.","lamentations_2_7","https://github.com/seven1m/open-bibles","",""
"30","lamentations","2","8","","The LORD hath purposed to destroy the wall of the daughter of Zion: he hath stretched out a line, he hath not withdrawn his hand from destroying: therefore he made the rampart and the wall to lament; they languished together.","lamentations_2_8","https://github.com/seven1m/open-bibles","",""
"31","lamentations","2","9","","Her gates are sunk into the ground; he hath destroyed and broken her bars: her king and her princes are among the Gentiles: the law is no more; her prophets also find no vision from the LORD.","lamentations_2_9","https://github.com/seven1m/open-bibles","",""
"32","lamentations","2","10","","The elders of the daughter of Zion sit upon the ground, and keep silence: they have cast up dust upon their heads; they have girded themselves with sackcloth: the virgins of Jerusalem hang down their heads to the ground.","lamentations_2_10","https://github.com/seven1m/open-bibles","",""
"33","lamentations","2","11","","Mine eyes do fail with tears, my bowels are troubled, my liver is poured upon the earth, for the destruction of the daughter of my people; because the children and the sucklings swoon in the streets of the city.","lamentations_2_11","https://github.com/seven1m/open-bibles","",""
"34","lamentations","2","12","","They say to their mothers, Where is corn and wine? when they swooned as the wounded in the streets of the city, when their soul was poured out into their mothers' bosom.","lamentations_2_12","https://github.com/seven1m/open-bibles","",""
"35","lamentations","2","13","","What thing shall I take to witness for thee? what thing shall I liken to thee, O daughter of Jerusalem? what shall I equal to thee, that I may comfort thee, O virgin daughter of Zion? for thy breach is great like the sea: who can heal thee?","lamentations_2_13","https://github.com/seven1m/open-bibles","",""
"36","lamentations","2","14","","Thy prophets have seen vain and foolish things for thee: and they have not discovered thine iniquity, to turn away thy captivity; but have seen for thee false burdens and causes of banishment.","lamentations_2_14","https://github.com/seven1m/open-bibles","",""
"37","lamentations","2","15","","All that pass by clap their hands at thee; they hiss and wag their head at the daughter of Jerusalem, saying, Is this the city that men call The perfection of beauty, The joy of the whole earth?","lamentations_2_15","https://github.com/seven1m/open-bibles","",""
"38","lamentations","2","16","","All thine enemies have opened their mouth against thee: they hiss and gnash the teeth: they say, We have swallowed her up: certainly this is the day that we looked for; we have found, we have seen it.","lamentations_2_16","https://github.com/seven1m/open-bibles","",""
"39","lamentations","2","17","","The LORD hath done that which he had devised; he hath fulfilled his word that he had commanded in the days of old: he hath thrown down, and hath not pitied: and he hath caused thine enemy to rejoice over thee, he hath set up the horn of thine adversaries.","lamentations_2_17","https://github.com/seven1m/open-bibles","",""
"40","lamentations","2","18","","Their heart cried unto the Lord, O wall of the daughter of Zion, let tears run down like a river day and night: give thyself no rest; let not the apple of thine eye cease.","lamentations_2_18","https://github.com/seven1m/open-bibles","",""
"41","lamentations","2","19","","Arise, cry out in the night: in the beginning of the watches pour out thine heart like water before the face of the Lord: lift up thy hands toward him for the life of thy young children, that faint for hunger in the top of every street.","lamentations_2_19","https://github.com/seven1m/open-bibles","",""
"42","lamentations","2","20","","Behold, O LORD, and consider to whom thou hast done this. Shall the women eat their fruit, and children of a span long? shall the priest and the prophet be slain in the sanctuary of the Lord?","lamentations_2_20","https://github.com/seven1m/open-bibles","",""
"43","lamentations","2","21","","The young and the old lie on the ground in the streets: my virgins and my young men are fallen by the sword; thou hast slain them in the day of thine anger; thou hast killed, and not pitied.","lamentations_2_21","https://github.com/seven1m/open-bibles","",""
"44","lamentations","2","22","","Thou hast called as in a solemn day my terrors round about, so that in the day of the LORD'S anger none escaped nor remained: those that I have swaddled and brought up hath mine enemy consumed.","lamentations_2_22","https://github.com/seven1m/open-bibles","",""
"45","lamentations","3","1","","I am the man that hath seen affliction by the rod of his wrath.","lamentations_3_1","https://github.com/seven1m/open-bibles","",""
"46","lamentations","3","2","","He hath led me, and brought me into darkness, but not into light.","lamentations_3_2","https://github.com/seven1m/open-bibles","",""
"47","lamentations","3","3","","Surely against me is he turned; he turneth his hand against me all the day.","lamentations_3_3","https://github.com/seven1m/open-bibles","",""
