id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,daniel,1,1,,"In the third year of the reign of Jehoiakim king of Judah came Nebuchadnezzar king of Babylon unto Jerusalem, and besieged it.",daniel_1_1,https://github.com/seven1m/open-bibles,,
2,daniel,1,2,,"And the Lord gave Jehoiakim king of Judah into his hand, with part of the vessels of the house of God: which he carried into the land of Shinar to the house of his god; and he brought the vessels into the treasure house of his god.",daniel_1_2,https://github.com/seven1m/open-bibles,,
3,daniel,1,3,,"And the king spake unto Ashpenaz the master of his eunuchs, that he should bring certain of the children of Israel, and of the king's seed, and of the princes;",daniel_1_3,https://github.com/seven1m/open-bibles,,
4,daniel,1,4,,"Children in whom was no blemish, but well favoured, and skilful in all wisdom, and cunning in knowledge, and understanding science, and such as had ability in them to stand in the king's palace, and whom they might teach the learning and the tongue of the Chaldeans.",daniel_1_4,https://github.com/seven1m/open-bibles,,
5,daniel,1,5,,"And the king appointed them a daily provision of the king's meat, and of the wine which he drank: so nourishing them three years, that at the end thereof they might stand before the king.",daniel_1_5,https://github.com/seven1m/open-bibles,,
6,daniel,1,6,,"Now among these were of the children of Judah, Daniel, Hananiah, Mishael, and Azariah:",daniel_1_6,https://github.com/seven1m/open-bibles,,
7,daniel,1,7,,"Unto whom the prince of the eunuchs gave names: for he gave unto Daniel the name of Belteshazzar; and to Hananiah, of Shadrach; and to Mishael, of Meshach; and to Azariah, of Abed-nego.",daniel_1_7,https://github.com/seven1m/open-bibles,,
8,daniel,1,8,,"But Daniel purposed in his heart that he would not defile himself with the portion of the king's meat, nor with the wine which he drank: therefore he requested of the prince of the eunuchs that he might not defile himself.",daniel_1_8,https://github.com/seven1m/open-bibles,,
9,daniel,1,9,,Now God had brought Daniel into favour and tender love with the prince of the eunuchs.,daniel_1_9,https://github.com/seven1m/open-bibles,,
10,daniel,1,10,,"And the prince of the eunuchs said unto Daniel, I fear my lord the king, who hath appointed your meat and your drink: for why should he see your faces worse liking than the children which are of your sort? then shall ye make me endanger my head to the king.",daniel_1_10,https://github.com/seven1m/open-bibles,,
11,daniel,1,11,,"Then said Daniel to Melzar, whom the prince of the eunuchs had set over Daniel, Hananiah, Mishael, and Azariah,",daniel_1_11,https://github.com/seven1m/open-bibles,,
12,daniel,1,12,,"Prove thy servants, I beseech thee, ten days; and let them give us pulse to eat, and water to drink.",daniel_1_12,https://github.com/seven1m/open-bibles,,
13,daniel,1,13,,"Then let our countenances be looked upon before thee, and the countenance of the children that eat of the portion of the king's meat: and as thou seest, deal with thy servants.",daniel_1_13,https://github.com/seven1m/open-bibles,,
14,daniel,1,14,,"So he consented to them in this matter, and proved them ten days.",daniel_1_14,https://github.com/seven1m/open-bibles,,
15,daniel,1,15,,And at the end of ten days their countenances appeared fairer and fatter in flesh than all the children which did eat the portion of the king's meat.,daniel_1_15,https://github.com/seven1m/open-bibles,,
