id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,leviticus,1,1,,"And the LORD called unto Moses, and spake unto him out of the tabernacle of the congregation, saying,",leviticus_1_1,https://github.com/seven1m/open-bibles,,
2,leviticus,1,2,,"Speak unto the children of Israel, and say unto them, If any man of you bring an offering unto the LORD, ye shall bring your offering of the cattle, even of the herd, and of the flock.",leviticus_1_2,https://github.com/seven1m/open-bibles,,
3,leviticus,1,3,,"If his offering be a burnt sacrifice of the herd, let him offer a male without blemish: he shall offer it of his own voluntary will at the door of the tabernacle of the congregation before the LORD.",leviticus_1_3,https://github.com/seven1m/open-bibles,,
4,leviticus,1,4,,And he shall put his hand upon the head of the burnt offering; and it shall be accepted for him to make atonement for him.,leviticus_1_4,https://github.com/seven1m/open-bibles,,
5,leviticus,1,5,,"And he shall kill the bullock before the LORD: and the priests, Aaron's sons, shall bring the blood, and sprinkle the blood round about upon the altar that is by the door of the tabernacle of the congregation.",leviticus_1_5,https://github.com/seven1m/open-bibles,,
6,leviticus,1,6,,"And he shall flay the burnt offering, and cut it into his pieces.",leviticus_1_6,https://github.com/seven1m/open-bibles,,
7,leviticus,1,7,,"And the sons of Aaron the priest shall put fire upon the altar, and lay the wood in order upon the fire:",leviticus_1_7,https://github.com/seven1m/open-bibles,,
8,leviticus,1,8,,"And the priests, Aaron's sons, shall lay the parts, the head, and the fat, in order upon the wood that is on the fire which is upon the altar:",leviticus_1_8,https://github.com/seven1m/open-bibles,,
9,leviticus,1,9,,"But his inwards and his legs shall he wash in water: and the priest shall burn all on the altar, to be a burnt sacrifice, an offering made by fire, of a sweet savour unto the LORD.",leviticus_1_9,https://github.com/seven1m/open-bibles,,
10,leviticus,1,10,,"And if his offering be of the flocks, namely, of the sheep, or of the goats, for a burnt sacrifice; he shall bring it a male without blemish.",leviticus_1_10,https://github.com/seven1m/open-bibles,,
11,leviticus,1,11,,"And he shall kill it on the side of the altar northward before the LORD: and the priests, Aaron's sons, shall sprinkle his blood round about upon the altar.",leviticus_1_11,https://github.com/seven1m/open-bibles,,
12,leviticus,1,12,,"And he shall cut it into his pieces, with his head and his fat: and the priest shall lay them in order on the wood that is on the fire which is upon the altar:",leviticus_1_12,https://github.com/seven1m/open-bibles,,
13,leviticus,1,13,,"But he shall wash the inwards and the legs with water: and the priest shall bring it all, and burn it upon the altar: it is a burnt sacrifice, an offering made by fire, of a sweet savour unto the LORD.",leviticus_1_13,https://github.com/seven1m/open-bibles,,
14,leviticus,1,14,,"And if the burnt sacrifice for his offering to the LORD be of fowls, then he shall bring his offering of turtledoves, or of young pigeons.",leviticus_1_14,https://github.com/seven1m/open-bibles,,
15,leviticus,1,15,,"And the priest shall bring it unto the altar, and wring off his head, and burn it on the altar; and the blood thereof shall be wrung out at the side of the altar:",leviticus_1_15,https://github.com/seven1m/open-bibles,,
16,leviticus,1,16,,"And he shall pluck away his crop with his feathers, and cast it beside the altar on the east part, by the place of the ashes:",leviticus_1_16,https://github.com/seven1m/open-bibles,,
17,leviticus,1,17,,"And he shall cleave it with the wings thereof, but shall not divide it asunder: and the priest shall burn it upon the altar, upon the wood that is upon the fire: it is a burnt sacrifice, an offering made by fire, of a sweet savour unto the LORD.",leviticus_1_17,https://github.com/seven1m/open-bibles,,
18,leviticus,2,1,,"And when any will offer a meat offering unto the LORD, his offering shall be of fine flour; and he shall pour oil upon it, and put frankincense thereon:",leviticus_2_1,https://github.com/seven1m/open-bibles,,
19,leviticus,2,2,,"And he shall bring it to Aaron's sons the priests: and he shall take thereout his handful of the flour thereof, and of the oil thereof, with all the frankincense thereof; and the priest shall burn the memorial of it upon the altar, to be an offering made by fire, of a sweet savour unto the LORD:",leviticus_2_2,https://github.com/seven1m/open-bibles,,
20,leviticus,2,3,,And the remnant of the meat offerings shall be Aaron's and his sons': it is a thing most holy of the offerings of the LORD made by fire.,leviticus_2_3,https://github.com/seven1m/open-bibles,,
21,leviticus,2,4,,"And if thou bring an oblation of a meat offering baken in the oven, it shall be unleavened cakes of fine flour mingled with oil, or unleavened wafers anointed with oil.",leviticus_2_4,https://github.com/seven1m/open-bibles,,
22,leviticus,2,5,,"And if thy oblation be a meat offering baken in a pan, it shall be of fine flour unleavened, mingled with oil.",leviticus_2_5,https://github.com/seven1m/open-bibles,,
23,leviticus,2,6,,"Thou shalt part it in pieces, and pour oil thereon: it is a meat offering.",leviticus_2_6,https://github.com/seven1m/open-bibles,,
24,leviticus,2,7,,"And if thy oblation be a meat offering baken in the frying pan, it shall be made of fine flour with oil.",leviticus_2_7,https://github.com/seven1m/open-bibles,,
25,leviticus,2,8,,"And thou shalt bring the meat offering that is made of these things unto the LORD: and when it is presented unto the priest, he shall bring it unto the altar.",leviticus_2_8,https://github.com/seven1m/open-bibles,,
26,leviticus,2,9,,"And the priest shall take from the meat offering a memorial thereof, and shall burn it upon the altar: it is an offering made by fire, of a sweet savour unto the LORD.",leviticus_2_9,https://github.com/seven1m/open-bibles,,
27,leviticus,2,10,,And that which is left of the meat offering shall be Aaron's and his sons': it is a thing most holy of the offerings of the LORD made by fire.,leviticus_2_10,https://github.com/seven1m/open-bibles,,
28,leviticus,2,11,,"No meat offering, which ye shall bring unto the LORD, shall be made with leaven: for ye shall burn no leaven, nor any honey, in any offering of the LORD made by fire.",leviticus_2_11,https://github.com/seven1m/open-bibles,,
29,leviticus,2,12,,"As for the oblation of the firstfruits, ye shall offer them unto the LORD: but they shall not be burnt on the altar for a sweet savour.",leviticus_2_12,https://github.com/seven1m/open-bibles,,
30,leviticus,2,13,,And every oblation of thy meat offering shalt thou season with salt; neither shalt thou suffer the salt of the covenant of thy God to be lacking from thy meat offering: with all thine offerings thou shalt offer salt.,leviticus_2_13,https://github.com/seven1m/open-bibles,,
31,leviticus,2,14,,"And if thou offer a meat offering of thy firstfruits unto the LORD, thou shalt offer for the meat offering of thy firstfruits green ears of corn dried by the fire, even corn beaten out of full ears.",leviticus_2_14,https://github.com/seven1m/open-bibles,,
32,leviticus,2,15,,"And thou shalt put oil upon it, and lay frankincense thereon: it is a meat offering.",leviticus_2_15,https://github.com/seven1m/open-bibles,,
33,leviticus,2,16,,"And the priest shall burn the memorial of it, part of the beaten corn thereof, and part of the oil thereof, with all the frankincense thereof: it is an offering made by fire unto the LORD.",leviticus_2_16,https://github.com/seven1m/open-bibles,,
34,leviticus,3,1,,"And if his oblation be a sacrifice of peace offering, if he offer it of the herd; whether it be a male or female, he shall offer it without blemish before the LORD.",leviticus_3_1,https://github.com/seven1m/open-bibles,,
35,leviticus,3,2,,"And he shall lay his hand upon the head of his offering, and kill it at the door of the tabernacle of the congregation: and Aaron's sons the priests shall sprinkle the blood upon the altar round about.",leviticus_3_2,https://github.com/seven1m/open-bibles,,
36,leviticus,3,3,,"And he shall offer of the sacrifice of the peace offering an offering made by fire unto the LORD; the fat that covereth the inwards, and all the fat that is upon the inwards,",leviticus_3_3,https://github.com/seven1m/open-bibles,,
37,leviticus,3,4,,"And the two kidneys, and the fat that is on them, which is by the flanks, and the caul above the liver, with the kidneys, it shall he take away.",leviticus_3_4,https://github.com/seven1m/open-bibles,,
38,leviticus,3,5,,"And Aaron's sons shall burn it on the altar upon the burnt sacrifice, which is upon the wood that is on the fire: it is an offering made by fire, of a sweet savour unto the LORD.",leviticus_3_5,https://github.com/seven1m/open-bibles,,
39,leviticus,3,6,,"And if his offering for a sacrifice of peace offering unto the LORD be of the flock; male or female, he shall offer it without blemish.",leviticus_3_6,https://github.com/seven1m/open-bibles,,
40,leviticus,3,7,,"If he offer a lamb for his offering, then shall he offer it before the LORD.",leviticus_3_7,https://github.com/seven1m/open-bibles,,
41,leviticus,3,8,,"And he shall lay his hand upon the head of his offering, and kill it before the tabernacle of the congregation: and Aaron's sons shall sprinkle the blood thereof round about upon the altar.",leviticus_3_8,https://github.com/seven1m/open-bibles,,
42,leviticus,3,9,,"And he shall offer of the sacrifice of the peace offering an offering made by fire unto the LORD; the fat thereof, and the whole rump, it shall he take off hard by the backbone; and the fat that covereth the inwards, and all the fat that is upon the inwards,",leviticus_3_9,https://github.com/seven1m/open-bibles,,
43,leviticus,3,10,,"And the two kidneys, and the fat that is upon them, which is by the flanks, and the caul above the liver, with the kidneys, it shall he take away.",leviticus_3_10,https://github.com/seven1m/open-bibles,,
44,leviticus,3,11,,And the priest shall burn it upon the altar: it is the food of the offering made by fire unto the LORD.,leviticus_3_11,https://github.com/seven1m/open-bibles,,
45,leviticus,3,12,,"And if his offering be a goat, then he shall offer it before the LORD.",leviticus_3_12,https://github.com/seven1m/open-bibles,,
46,leviticus,3,13,,"And he shall lay his hand upon the head of it, and kill it before the tabernacle of the congregation: and the sons of Aaron shall sprinkle the blood thereof upon the altar round about.",leviticus_3_13,https://github.com/seven1m/open-bibles,,
47,leviticus,3,14,,"And he shall offer thereof his offering, even an offering made by fire unto the LORD; the fat that covereth the inwards, and all the fat that is upon the inwards,",leviticus_3_14,https://github.com/seven1m/open-bibles,,
48,leviticus,3,15,,"And the two kidneys, and the fat that is upon them, which is by the flanks, and the caul above the liver, with the kidneys, it shall he take away.",leviticus_3_15,https://github.com/seven1m/open-bibles,,
49,leviticus,3,16,,And the priest shall burn them upon the altar: it is the food of the offering made by fire for a sweet savour: all the fat is the LORD'S.,leviticus_3_16,https://github.com/seven1m/open-bibles,,
50,leviticus,3,17,,"It shall be a perpetual statute for your generations throughout all your dwellings, that ye eat neither fat nor blood.",leviticus_3_17,https://github.com/seven1m/open-bibles,,
51,leviticus,4,1,,"And the LORD spake unto Moses, saying,",leviticus_4_1,https://github.com/seven1m/open-bibles,,
