"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","romans","1","1","","Paul, a servant of Jesus Christ, called to be an apostle, separated unto the gospel of God,","romans_1_1","https://github.com/seven1m/open-bibles","",""
"2","romans","1","2","","(Which he had promised afore by his prophets in the holy scriptures,)","romans_1_2","https://github.com/seven1m/open-bibles","",""
"3","romans","1","3","","Concerning his Son Jesus Christ our Lord, which was made of the seed of David according to the flesh;","romans_1_3","https://github.com/seven1m/open-bibles","",""
"4","romans","1","4","","And declared to be the Son of God with power, according to the spirit of holiness, by the resurrection from the dead:","romans_1_4","https://github.com/seven1m/open-bibles","",""
"5","romans","1","5","","By whom we have received grace and apostleship, for obedience to the faith among all nations, for his name:","romans_1_5","https://github.com/seven1m/open-bibles","",""
"6","romans","1","6","","Among whom are ye also the called of Jesus Christ:","romans_1_6","https://github.com/seven1m/open-bibles","",""
"7","romans","1","7","","To all that be in Rome, beloved of God, called to be saints: Grace to you and peace from God our Father, and the Lord Jesus Christ.","romans_1_7","https://github.com/seven1m/open-bibles","",""
"8","romans","1","8","","First, I thank my God through Jesus Christ for you all, that your faith is spoken of throughout the whole world.","romans_1_8","https://github.com/seven1m/open-bibles","",""
"9","romans","1","9","","For God is my witness, whom I serve with my spirit in the gospel of his Son, that without ceasing I make mention of you always in my prayers;","romans_1_9","https://github.com/seven1m/open-bibles","",""
"10","romans","1","10","","Making request, if by any means now at length I might have a prosperous journey by the will of God to come unto you.","romans_1_10","https://github.com/seven1m/open-bibles","",""
"11","romans","1","11","","For I long to see you, that I may impart unto you some spiritual gift, to the end ye may be established;","romans_1_11","https://github.com/seven1m/open-bibles","",""
"12","romans","1","12","","That is, that I may be comforted together with you by the mutual faith both of you and me.","romans_1_12","https://github.com/seven1m/open-bibles","",""
"13","romans","1","13","","Now I would not have you ignorant, brethren, that oftentimes I purposed to come unto you, (but was let hitherto,) that I might have some fruit among you also, even as among other Gentiles.","romans_1_13","https://github.com/seven1m/open-bibles","",""
"14","romans","1","14","","I am debtor both to the Greeks, and to the Barbarians; both to the wise, and to the unwise.","romans_1_14","https://github.com/seven1m/open-bibles","",""
"15","romans","1","15","","So, as much as in me is, I am ready to preach the gospel to you that are at Rome also.","romans_1_15","https://github.com/seven1m/open-bibles","",""
"16","romans","1","16","","For I am not ashamed of the gospel of Christ: for it is the power of God unto salvation to every one that believeth; to the Jew first, and also to the Greek.","romans_1_16","https://github.com/seven1m/open-bibles","",""
"17","romans","1","17","","For therein is the righteousness of God revealed from faith to faith: as it is written, The just shall live by faith.","romans_1_17","https://github.com/seven1m/open-bibles","",""
"18","romans","1","18","","For the wrath of God is revealed from heaven against all ungodliness and unrighteousness of men, who hold the truth in unrighteousness;","romans_1_18","https://github.com/seven1m/open-bibles","",""
"19","romans","1","19","","Because that which may be known of God is manifest in them; for God hath shewed it unto them.","romans_1_19","https://github.com/seven1m/open-bibles","",""
"20","romans","1","20","","For the invisible things of him from the creation of the world are clearly seen, being understood by the things that are made, even his eternal power and Godhead; so that they are without excuse:","romans_1_20","https://github.com/seven1m/open-bibles","",""
