id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,numbers,1,1,,"And the LORD spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,",numbers_1_1,https://github.com/seven1m/open-bibles,,
2,numbers,1,2,,"Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of their names, every male by their polls;",numbers_1_2,https://github.com/seven1m/open-bibles,,
3,numbers,1,3,,"From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.",numbers_1_3,https://github.com/seven1m/open-bibles,,
4,numbers,1,4,,And with you there shall be a man of every tribe; every one head of the house of his fathers.,numbers_1_4,https://github.com/seven1m/open-bibles,,
5,numbers,1,5,,And these are the names of the men that shall stand with you: of the tribe of Reuben; Elizur the son of Shedeur.,numbers_1_5,https://github.com/seven1m/open-bibles,,
6,numbers,1,6,,Of Simeon; Shelumiel the son of Zurishaddai.,numbers_1_6,https://github.com/seven1m/open-bibles,,
7,numbers,1,7,,Of Judah; Nahshon the son of Amminadab.,numbers_1_7,https://github.com/seven1m/open-bibles,,
8,numbers,1,8,,Of Issachar; Nethaneel the son of Zuar.,numbers_1_8,https://github.com/seven1m/open-bibles,,
9,numbers,1,9,,Of Zebulun; Eliab the son of Helon.,numbers_1_9,https://github.com/seven1m/open-bibles,,
10,numbers,1,10,,Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.,numbers_1_10,https://github.com/seven1m/open-bibles,,
11,numbers,1,11,,Of Benjamin; Abidan the son of Gideoni.,numbers_1_11,https://github.com/seven1m/open-bibles,,
12,numbers,1,12,,Of Dan; Ahiezer the son of Ammishaddai.,numbers_1_12,https://github.com/seven1m/open-bibles,,
13,numbers,1,13,,Of Asher; Pagiel the son of Ocran.,numbers_1_13,https://github.com/seven1m/open-bibles,,
14,numbers,1,14,,Of Gad; Eliasaph the son of Deuel.,numbers_1_14,https://github.com/seven1m/open-bibles,,
15,numbers,1,15,,Of Naphtali; Ahira the son of Enan.,numbers_1_15,https://github.com/seven1m/open-bibles,,
16,numbers,1,16,,"These were the renowned of the congregation, princes of the tribes of their fathers, heads of thousands in Israel.",numbers_1_16,https://github.com/seven1m/open-bibles,,
17,numbers,1,17,,And Moses and Aaron took these men which are expressed by their names:,numbers_1_17,https://github.com/seven1m/open-bibles,,
18,numbers,1,18,,"And they assembled all the congregation together on the first day of the second month, and they declared their pedigrees after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, by their polls.",numbers_1_18,https://github.com/seven1m/open-bibles,,
19,numbers,1,19,,"As the LORD commanded Moses, so he numbered them in the wilderness of Sinai.",numbers_1_19,https://github.com/seven1m/open-bibles,,
20,numbers,1,20,,"And the children of Reuben, Israel's eldest son, by their generations, after their families, by the house of their fathers, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;",numbers_1_20,https://github.com/seven1m/open-bibles,,
21,numbers,1,21,,"Those that were numbered of them, even of the tribe of Reuben, were forty and six thousand and five hundred.",numbers_1_21,https://github.com/seven1m/open-bibles,,
22,numbers,1,22,,"Of the children of Simeon, by their generations, after their families, by the house of their fathers, those that were numbered of them, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;",numbers_1_22,https://github.com/seven1m/open-bibles,,
23,numbers,1,23,,"Those that were numbered of them, even of the tribe of Simeon, were fifty and nine thousand and three hundred.",numbers_1_23,https://github.com/seven1m/open-bibles,,
24,numbers,1,24,,"Of the children of Gad, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;",numbers_1_24,https://github.com/seven1m/open-bibles,,
25,numbers,1,25,,"Those that were numbered of them, even of the tribe of Gad, were forty and five thousand six hundred and fifty.",numbers_1_25,https://github.com/seven1m/open-bibles,,
26,numbers,1,26,,"Of the children of Judah, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;",numbers_1_26,https://github.com/seven1m/open-bibles,,
27,numbers,1,27,,"Those that were numbered of them, even of the tribe of Judah, were threescore and fourteen thousand and six hundred.",numbers_1_27,https://github.com/seven1m/open-bibles,,
28,numbers,1,28,,"Of the children of Issachar, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;",numbers_1_28,https://github.com/seven1m/open-bibles,,
29,numbers,1,29,,"Those that were numbered of them, even of the tribe of Issachar, were fifty and four thousand and four hundred.",numbers_1_29,https://github.com/seven1m/open-bibles,,
30,numbers,1,30,,"Of the children of Zebulun, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;",numbers_1_30,https://github.com/seven1m/open-bibles,,
31,numbers,1,31,,"Those that were numbered of them, even of the tribe of Zebulun, were fifty and seven thousand and four hundred.",numbers_1_31,https://github.com/seven1m/open-bibles,,
32,numbers,1,32,,"Of the children of Joseph, namely, of the children of Ephraim, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;",numbers_1_32,https://github.com/seven1m/open-bibles,,
33,numbers,1,33,,"Those that were numbered of them, even of the tribe of Ephraim, were forty thousand and five hundred.",numbers_1_33,https://github.com/seven1m/open-bibles,,
34,numbers,1,34,,"Of the children of Manasseh, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;",numbers_1_34,https://github.com/seven1m/open-bibles,,
35,numbers,1,35,,"Those that were numbered of them, even of the tribe of Manasseh, were thirty and two thousand and two hundred.",numbers_1_35,https://github.com/seven1m/open-bibles,,
36,numbers,1,36,,"Of the children of Benjamin, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;",numbers_1_36,https://github.com/seven1m/open-bibles,,
37,numbers,1,37,,"Those that were numbered of them, even of the tribe of Benjamin, were thirty and five thousand and four hundred.",numbers_1_37,https://github.com/seven1m/open-bibles,,
38,numbers,1,38,,"Of the children of Dan, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;",numbers_1_38,https://github.com/seven1m/open-bibles,,
39,numbers,1,39,,"Those that were numbered of them, even of the tribe of Dan, were threescore and two thousand and seven hundred.",numbers_1_39,https://github.com/seven1m/open-bibles,,
40,numbers,1,40,,"Of the children of Asher, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;",numbers_1_40,https://github.com/seven1m/open-bibles,,
41,numbers,1,41,,"Those that were numbered of them, even of the tribe of Asher, were forty and one thousand and five hundred.",numbers_1_41,https://github.com/seven1m/open-bibles,,
42,numbers,1,42,,"Of the children of Naphtali, throughout their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;",numbers_1_42,https://github.com/seven1m/open-bibles,,
43,numbers,1,43,,"Those that were numbered of them, even of the tribe of Naphtali, were fifty and three thousand and four hundred.",numbers_1_43,https://github.com/seven1m/open-bibles,,
44,numbers,1,44,,"These are those that were numbered, which Moses and Aaron numbered, and the princes of Israel, being twelve men: each one was for the house of his fathers.",numbers_1_44,https://github.com/seven1m/open-bibles,,
45,numbers,1,45,,"So were all those that were numbered of the children of Israel, by the house of their fathers, from twenty years old and upward, all that were able to go forth to war in Israel;",numbers_1_45,https://github.com/seven1m/open-bibles,,
46,numbers,1,46,,Even all they that were numbered were six hundred thousand and three thousand and five hundred and fifty.,numbers_1_46,https://github.com/seven1m/open-bibles,,
47,numbers,1,47,,But the Levites after the tribe of their fathers were not numbered among them.,numbers_1_47,https://github.com/seven1m/open-bibles,,
48,numbers,1,48,,"For the LORD had spoken unto Moses, saying,",numbers_1_48,https://github.com/seven1m/open-bibles,,
49,numbers,1,49,,"Only thou shalt not number the tribe of Levi, neither take the sum of them among the children of Israel:",numbers_1_49,https://github.com/seven1m/open-bibles,,
50,numbers,1,50,,"But thou shalt appoint the Levites over the tabernacle of testimony, and over all the vessels thereof, and over all things that belong to it: they shall bear the tabernacle, and all the vessels thereof; and they shall minister unto it, and shall encamp round about the tabernacle.",numbers_1_50,https://github.com/seven1m/open-bibles,,
51,numbers,1,51,,"And when the tabernacle setteth forward, the Levites shall take it down: and when the tabernacle is to be pitched, the Levites shall set it up: and the stranger that cometh nigh shall be put to death.",numbers_1_51,https://github.com/seven1m/open-bibles,,
52,numbers,1,52,,"And the children of Israel shall pitch their tents, every man by his own camp, and every man by his own standard, throughout their hosts.",numbers_1_52,https://github.com/seven1m/open-bibles,,
53,numbers,1,53,,"But the Levites shall pitch round about the tabernacle of testimony, that there be no wrath upon the congregation of the children of Israel: and the Levites shall keep the charge of the tabernacle of testimony.",numbers_1_53,https://github.com/seven1m/open-bibles,,
54,numbers,1,54,,"And the children of Israel did according to all that the LORD commanded Moses, so did they.",numbers_1_54,https://github.com/seven1m/open-bibles,,
55,numbers,2,1,,"And the LORD spake unto Moses and unto Aaron, saying,",numbers_2_1,https://github.com/seven1m/open-bibles,,
56,numbers,2,2,,"Every man of the children of Israel shall pitch by his own standard, with the ensign of their father's house: far off about the tabernacle of the congregation shall they pitch.",numbers_2_2,https://github.com/seven1m/open-bibles,,
57,numbers,2,3,,And on the east side toward the rising of the sun shall they of the standard of the camp of Judah pitch throughout their armies: and Nahshon the son of Amminadab shall be captain of the children of Judah.,numbers_2_3,https://github.com/seven1m/open-bibles,,
58,numbers,2,4,,"And his host, and those that were numbered of them, were threescore and fourteen thousand and six hundred.",numbers_2_4,https://github.com/seven1m/open-bibles,,
59,numbers,2,5,,And those that do pitch next unto him shall be the tribe of Issachar: and Nethaneel the son of Zuar shall be captain of the children of Issachar.,numbers_2_5,https://github.com/seven1m/open-bibles,,
60,numbers,2,6,,"And his host, and those that were numbered thereof, were fifty and four thousand and four hundred.",numbers_2_6,https://github.com/seven1m/open-bibles,,
61,numbers,2,7,,Then the tribe of Zebulun: and Eliab the son of Helon shall be captain of the children of Zebulun.,numbers_2_7,https://github.com/seven1m/open-bibles,,
62,numbers,2,8,,"And his host, and those that were numbered thereof, were fifty and seven thousand and four hundred.",numbers_2_8,https://github.com/seven1m/open-bibles,,
63,numbers,2,9,,"All that were numbered in the camp of Judah were an hundred thousand and fourscore thousand and six thousand and four hundred, throughout their armies. These shall first set forth.",numbers_2_9,https://github.com/seven1m/open-bibles,,
64,numbers,2,10,,On the south side shall be the standard of the camp of Reuben according to their armies: and the captain of the children of Reuben shall be Elizur the son of Shedeur.,numbers_2_10,https://github.com/seven1m/open-bibles,,
65,numbers,2,11,,"And his host, and those that were numbered thereof, were forty and six thousand and five hundred.",numbers_2_11,https://github.com/seven1m/open-bibles,,
66,numbers,2,12,,And those which pitch by him shall be the tribe of Simeon: and the captain of the children of Simeon shall be Shelumiel the son of Zurishaddai.,numbers_2_12,https://github.com/seven1m/open-bibles,,
67,numbers,2,13,,"And his host, and those that were numbered of them, were fifty and nine thousand and three hundred.",numbers_2_13,https://github.com/seven1m/open-bibles,,
68,numbers,2,14,,Then the tribe of Gad: and the captain of the sons of Gad shall be Eliasaph the son of Reuel.,numbers_2_14,https://github.com/seven1m/open-bibles,,
69,numbers,2,15,,"And his host, and those that were numbered of them, were forty and five thousand and six hundred and fifty.",numbers_2_15,https://github.com/seven1m/open-bibles,,
70,numbers,2,16,,"All that were numbered in the camp of Reuben were an hundred thousand and fifty and one thousand and four hundred and fifty, throughout their armies. And they shall set forth in the second rank.",numbers_2_16,https://github.com/seven1m/open-bibles,,
71,numbers,2,17,,"Then the tabernacle of the congregation shall set forward with the camp of the Levites in the midst of the camp: as they encamp, so shall they set forward, every man in his place by their standards.",numbers_2_17,https://github.com/seven1m/open-bibles,,
72,numbers,2,18,,On the west side shall be the standard of the camp of Ephraim according to their armies: and the captain of the sons of Ephraim shall be Elishama the son of Ammihud.,numbers_2_18,https://github.com/seven1m/open-bibles,,
73,numbers,2,19,,"And his host, and those that were numbered of them, were forty thousand and five hundred.",numbers_2_19,https://github.com/seven1m/open-bibles,,
74,numbers,2,20,,And by him shall be the tribe of Manasseh: and the captain of the children of Manasseh shall be Gamaliel the son of Pedahzur.,numbers_2_20,https://github.com/seven1m/open-bibles,,
75,numbers,2,21,,"And his host, and those that were numbered of them, were thirty and two thousand and two hundred.",numbers_2_21,https://github.com/seven1m/open-bibles,,
76,numbers,2,22,,Then the tribe of Benjamin: and the captain of the sons of Benjamin shall be Abidan the son of Gideoni.,numbers_2_22,https://github.com/seven1m/open-bibles,,
77,numbers,2,23,,"And his host, and those that were numbered of them, were thirty and five thousand and four hundred.",numbers_2_23,https://github.com/seven1m/open-bibles,,
78,numbers,2,24,,"All that were numbered of the camp of Ephraim were an hundred thousand and eight thousand and an hundred, throughout their armies. And they shall go forward in the third rank.",numbers_2_24,https://github.com/seven1m/open-bibles,,
79,numbers,2,25,,The standard of the camp of Dan shall be on the north side by their armies: and the captain of the children of Dan shall be Ahiezer the son of Ammishaddai.,numbers_2_25,https://github.com/seven1m/open-bibles,,
80,numbers,2,26,,"And his host, and those that were numbered of them, were threescore and two thousand and seven hundred.",numbers_2_26,https://github.com/seven1m/open-bibles,,
81,numbers,2,27,,And those that encamp by him shall be the tribe of Asher: and the captain of the children of Asher shall be Pagiel the son of Ocran.,numbers_2_27,https://github.com/seven1m/open-bibles,,
82,numbers,2,28,,"And his host, and those that were numbered of them, were forty and one thousand and five hundred.",numbers_2_28,https://github.com/seven1m/open-bibles,,
83,numbers,2,29,,Then the tribe of Naphtali: and the captain of the children of Naphtali shall be Ahira the son of Enan.,numbers_2_29,https://github.com/seven1m/open-bibles,,
84,numbers,2,30,,"And his host, and those that were numbered of them, were fifty and three thousand and four hundred.",numbers_2_30,https://github.com/seven1m/open-bibles,,
85,numbers,2,31,,All they that were numbered in the camp of Dan were an hundred thousand and fifty and seven thousand and six hundred. They shall go hindmost with their standards.,numbers_2_31,https://github.com/seven1m/open-bibles,,
86,numbers,2,32,,These are those which were numbered of the children of Israel by the house of their fathers: all those that were numbered of the camps throughout their hosts were six hundred thousand and three thousand and five hundred and fifty.,numbers_2_32,https://github.com/seven1m/open-bibles,,
87,numbers,2,33,,But the Levites were not numbered among the children of Israel; as the LORD commanded Moses.,numbers_2_33,https://github.com/seven1m/open-bibles,,
88,numbers,2,34,,"And the children of Israel did according to all that the LORD commanded Moses: so they pitched by their standards, and so they set forward, every one after their families, according to the house of their fathers.",numbers_2_34,https://github.com/seven1m/open-bibles,,
89,numbers,3,1,,These also are the generations of Aaron and Moses in the day that the LORD spake with Moses in mount Sinai.,numbers_3_1,https://github.com/seven1m/open-bibles,,
90,numbers,3,2,,"And these are the names of the sons of Aaron; Nadab the firstborn, and Abihu, Eleazar, and Ithamar.",numbers_3_2,https://github.com/seven1m/open-bibles,,
91,numbers,3,3,,"These are the names of the sons of Aaron, the priests which were anointed, whom he consecrated to minister in the priest's office.",numbers_3_3,https://github.com/seven1m/open-bibles,,
92,numbers,3,4,,"And Nadab and Abihu died before the LORD, when they offered strange fire before the LORD, in the wilderness of Sinai, and they had no children: and Eleazar and Ithamar ministered in the priest's office in the sight of Aaron their father.",numbers_3_4,https://github.com/seven1m/open-bibles,,
93,numbers,3,5,,"And the LORD spake unto Moses, saying,",numbers_3_5,https://github.com/seven1m/open-bibles,,
94,numbers,3,6,,"Bring the tribe of Levi near, and present them before Aaron the priest, that they may minister unto him.",numbers_3_6,https://github.com/seven1m/open-bibles,,
95,numbers,3,7,,"And they shall keep his charge, and the charge of the whole congregation before the tabernacle of the congregation, to do the service of the tabernacle.",numbers_3_7,https://github.com/seven1m/open-bibles,,
