"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","colossians","1","1","","Paul, an apostle of Jesus Christ by the will of God, and Timotheus our brother,","colossians_1_1","https://github.com/seven1m/open-bibles","",""
"2","colossians","1","2","","To the saints and faithful brethren in Christ which are at Colosse: Grace be unto you, and peace, from God our Father and the Lord Jesus Christ.","colossians_1_2","https://github.com/seven1m/open-bibles","",""
"3","colossians","1","3","","We give thanks to God and the Father of our Lord Jesus Christ, praying always for you,","colossians_1_3","https://github.com/seven1m/open-bibles","",""
"4","colossians","1","4","","Since we heard of your faith in Christ Jesus, and of the love which ye have to all the saints,","colossians_1_4","https://github.com/seven1m/open-bibles","",""
"5","colossians","1","5","","For the hope which is laid up for you in heaven, whereof ye heard before in the word of the truth of the gospel;","colossians_1_5","https://github.com/seven1m/open-bibles","",""
"6","colossians","1","6","","Which is come unto you, as it is in all the world; and bringeth forth fruit, as it doth also in you, since the day ye heard of it, and knew the grace of God in truth:","colossians_1_6","https://github.com/seven1m/open-bibles","",""
"7","colossians","1","7","","As ye also learned of Epaphras our dear fellowservant, who is for you a faithful minister of Christ;","colossians_1_7","https://github.com/seven1m/open-bibles","",""
"8","colossians","1","8","","Who also declared unto us your love in the Spirit.","colossians_1_8","https://github.com/seven1m/open-bibles","",""
"9","colossians","1","9","","For this cause we also, since the day we heard it, do not cease to pray for you, and to desire that ye might be filled with the knowledge of his will in all wisdom and spiritual understanding;","colossians_1_9","https://github.com/seven1m/open-bibles","",""
"10","colossians","1","10","","That ye might walk worthy of the Lord unto all pleasing, being fruitful in every good work, and increasing in the knowledge of God;","colossians_1_10","https://github.com/seven1m/open-bibles","",""
"11","colossians","1","11","","Strengthened with all might, according to his glorious power, unto all patience and longsuffering with joyfulness;","colossians_1_11","https://github.com/seven1m/open-bibles","",""
"12","colossians","1","12","","Giving thanks unto the Father, which hath made us meet to be partakers of the inheritance of the saints in light:","colossians_1_12","https://github.com/seven1m/open-bibles","",""
"13","colossians","1","13","","Who hath delivered us from the power of darkness, and hath translated us into the kingdom of his dear Son:","colossians_1_13","https://github.com/seven1m/open-bibles","",""
"14","colossians","1","14","","In whom we have redemption through his blood, even the forgiveness of sins:","colossians_1_14","https://github.com/seven1m/open-bibles","",""
