"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","2_timothy","1","1","","Paul, an apostle of Jesus Christ by the will of God, according to the promise of life which is in Christ Jesus,","2_timothy_1_1","https://github.com/seven1m/open-bibles","",""
"2","2_timothy","1","2","","To Timothy, my dearly beloved son: Grace, mercy, and peace, from God the Father and Christ Jesus our Lord.","2_timothy_1_2","https://github.com/seven1m/open-bibles","",""
"3","2_timothy","1","3","","I thank God, whom I serve from my forefathers with pure conscience, that without ceasing I have remembrance of thee in my prayers night and day;","2_timothy_1_3","https://github.com/seven1m/open-bibles","",""
"4","2_timothy","1","4","","Greatly desiring to see thee, being mindful of thy tears, that I may be filled with joy;","2_timothy_1_4","https://github.com/seven1m/open-bibles","",""
"5","2_timothy","1","5","","When I call to remembrance the unfeigned faith that is in thee, which dwelt first in thy grandmother Lois, and thy mother Eunice; and I am persuaded that in thee also.","2_timothy_1_5","https://github.com/seven1m/open-bibles","",""
"6","2_timothy","1","6","","Wherefore I put thee in remembrance that thou stir up the gift of God, which is in thee by the putting on of my hands.","2_timothy_1_6","https://github.com/seven1m/open-bibles","",""
"7","2_timothy","1","7","","For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind.","2_timothy_1_7","https://github.com/seven1m/open-bibles","",""
"8","2_timothy","1","8","","Be not thou therefore ashamed of the testimony of our Lord, nor of me his prisoner: but be thou partaker of the afflictions of the gospel according to the power of God;","2_timothy_1_8","https://github.com/seven1m/open-bibles","",""
"9","2_timothy","1","9","","Who hath saved us, and called us with an holy calling, not according to our works, but according to his own purpose and grace, which was given us in Christ Jesus before the world began,","2_timothy_1_9","https://github.com/seven1m/open-bibles","",""
"10","2_timothy","1","10","","But is now made manifest by the appearing of our Saviour Jesus Christ, who hath abolished death, and hath brought life and immortality to light through the gospel:","2_timothy_1_10","https://github.com/seven1m/open-bibles","",""
"11","2_timothy","1","11","","Whereunto I am appointed a preacher, and an apostle, and a teacher of the Gentiles.","2_timothy_1_11","https://github.com/seven1m/open-bibles","",""
"12","2_timothy","1","12","","For the which cause I also suffer these things: nevertheless I am not ashamed: for I know whom I have believed, and am persuaded that he is able to keep that which I have committed unto him against that day.","2_timothy_1_12","https://github.com/seven1m/open-bibles","",""
"13","2_timothy","1","13","","Hold fast the form of sound words, which thou hast heard of me, in faith and love which is in Christ Jesus.","2_timothy_1_13","https://github.com/seven1m/open-bibles","",""
"14","2_timothy","1","14","","That good thing which was committed unto thee keep by the Holy Ghost which dwelleth in us.","2_timothy_1_14","https://github.com/seven1m/open-bibles","",""
"15","2_timothy","1","15","","This thou knowest, that all they which are in Asia be turned away from me; of whom are Phygellus and Hermogenes.","2_timothy_1_15","https://github.com/seven1m/open-bibles","",""
