id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,philemon,1,1,,"Paul, a prisoner of Jesus Christ, and Timothy our brother, unto Philemon our dearly beloved, and fellowlabourer,",philemon_1_1,https://github.com/seven1m/open-bibles,,
2,philemon,1,2,,"And to our beloved Apphia, and Archippus our fellowsoldier, and to the church in thy house:",philemon_1_2,https://github.com/seven1m/open-bibles,,
3,philemon,1,3,,"Grace to you, and peace, from God our Father and the Lord Jesus Christ.",philemon_1_3,https://github.com/seven1m/open-bibles,,
4,philemon,1,4,,"I thank my God, making mention of thee always in my prayers,",philemon_1_4,https://github.com/seven1m/open-bibles,,
5,philemon,1,5,,"Hearing of thy love and faith, which thou hast toward the Lord Jesus, and toward all saints;",philemon_1_5,https://github.com/seven1m/open-bibles,,
6,philemon,1,6,,That the communication of thy faith may become effectual by the acknowledging of every good thing which is in you in Christ Jesus.,philemon_1_6,https://github.com/seven1m/open-bibles,,
7,philemon,1,7,,"For we have great joy and consolation in thy love, because the bowels of the saints are refreshed by thee, brother.",philemon_1_7,https://github.com/seven1m/open-bibles,,
8,philemon,1,8,,"Wherefore, though I might be much bold in Christ to enjoin thee that which is convenient,",philemon_1_8,https://github.com/seven1m/open-bibles,,
9,philemon,1,9,,"Yet for love's sake I rather beseech thee, being such an one as Paul the aged, and now also a prisoner of Jesus Christ.",philemon_1_9,https://github.com/seven1m/open-bibles,,
10,philemon,1,10,,"I beseech thee for my son Onesimus, whom I have begotten in my bonds:",philemon_1_10,https://github.com/seven1m/open-bibles,,
11,philemon,1,11,,"Which in time past was to thee unprofitable, but now profitable to thee and to me:",philemon_1_11,https://github.com/seven1m/open-bibles,,
12,philemon,1,12,,"Whom I have sent again: thou therefore receive him, that is, mine own bowels:",philemon_1_12,https://github.com/seven1m/open-bibles,,
13,philemon,1,13,,"Whom I would have retained with me, that in thy stead he might have ministered unto me in the bonds of the gospel:",philemon_1_13,https://github.com/seven1m/open-bibles,,
14,philemon,1,14,,"But without thy mind would I do nothing; that thy benefit should not be as it were of necessity, but willingly.",philemon_1_14,https://github.com/seven1m/open-bibles,,
15,philemon,1,15,,"For perhaps he therefore departed for a season, that thou shouldest receive him for ever;",philemon_1_15,https://github.com/seven1m/open-bibles,,
16,philemon,1,16,,"Not now as a servant, but above a servant, a brother beloved, specially to me, but how much more unto thee, both in the flesh, and in the Lord?",philemon_1_16,https://github.com/seven1m/open-bibles,,
17,philemon,1,17,,"If thou count me therefore a partner, receive him as myself.",philemon_1_17,https://github.com/seven1m/open-bibles,,
18,philemon,1,18,,"If he hath wronged thee, or oweth thee ought, put that on mine account;",philemon_1_18,https://github.com/seven1m/open-bibles,,
19,philemon,1,19,,"I Paul have written it with mine own hand, I will repay it: albeit I do not say to thee how thou owest unto me even thine own self besides.",philemon_1_19,https://github.com/seven1m/open-bibles,,
20,philemon,1,20,,"Yea, brother, let me have joy of thee in the Lord: refresh my bowels in the Lord.",philemon_1_20,https://github.com/seven1m/open-bibles,,
21,philemon,1,21,,"Having confidence in thy obedience I wrote unto thee, knowing that thou wilt also do more than I say.",philemon_1_21,https://github.com/seven1m/open-bibles,,
22,philemon,1,22,,But withal prepare me also a lodging: for I trust that through your prayers I shall be given unto you.,philemon_1_22,https://github.com/seven1m/open-bibles,,
23,philemon,1,23,,"There salute thee Epaphras, my fellowprisoner in Christ Jesus;",philemon_1_23,https://github.com/seven1m/open-bibles,,
24,philemon,1,24,,"Marcus, Aristarchus, Demas, Lucas, my fellowlabourers.",philemon_1_24,https://github.com/seven1m/open-bibles,,
25,philemon,1,25,,The grace of our Lord Jesus Christ be with your spirit. Amen.,philemon_1_25,https://github.com/seven1m/open-bibles,,
