id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,james,1,1,,"James, a servant of God and of the Lord Jesus Christ, to the twelve tribes which are scattered abroad, greeting.",james_1_1,https://github.com/seven1m/open-bibles,,
2,james,1,2,,"My brethren, count it all joy when ye fall into divers temptations;",james_1_2,https://github.com/seven1m/open-bibles,,
3,james,1,3,,"Knowing this, that the trying of your faith worketh patience.",james_1_3,https://github.com/seven1m/open-bibles,,
4,james,1,4,,"But let patience have her perfect work, that ye may be perfect and entire, wanting nothing.",james_1_4,https://github.com/seven1m/open-bibles,,
5,james,1,5,,"If any of you lack wisdom, let him ask of God, that giveth to all men liberally, and upbraideth not; and it shall be given him.",james_1_5,https://github.com/seven1m/open-bibles,,
6,james,1,6,,"But let him ask in faith, nothing wavering. For he that wavereth is like a wave of the sea driven with the wind and tossed.",james_1_6,https://github.com/seven1m/open-bibles,,
7,james,1,7,,For let not that man think that he shall receive any thing of the Lord.,james_1_7,https://github.com/seven1m/open-bibles,,
8,james,1,8,,A double minded man is unstable in all his ways.,james_1_8,https://github.com/seven1m/open-bibles,,
9,james,1,9,,Let the brother of low degree rejoice in that he is exalted:,james_1_9,https://github.com/seven1m/open-bibles,,
10,james,1,10,,"But the rich, in that he is made low: because as the flower of the grass he shall pass away.",james_1_10,https://github.com/seven1m/open-bibles,,
11,james,1,11,,"For the sun is no sooner risen with a burning heat, but it withereth the grass, and the flower thereof falleth, and the grace of the fashion of it perisheth: so also shall the rich man fade away in his ways.",james_1_11,https://github.com/seven1m/open-bibles,,
12,james,1,12,,"Blessed is the man that endureth temptation: for when he is tried, he shall receive the crown of life, which the Lord hath promised to them that love him.",james_1_12,https://github.com/seven1m/open-bibles,,
13,james,1,13,,"Let no man say when he is tempted, I am tempted of God: for God cannot be tempted with evil, neither tempteth he any man:",james_1_13,https://github.com/seven1m/open-bibles,,
14,james,1,14,,"But every man is tempted, when he is drawn away of his own lust, and enticed.",james_1_14,https://github.com/seven1m/open-bibles,,
15,james,1,15,,"Then when lust hath conceived, it bringeth forth sin: and sin, when it is finished, bringeth forth death.",james_1_15,https://github.com/seven1m/open-bibles,,
16,james,1,16,,"Do not err, my beloved brethren.",james_1_16,https://github.com/seven1m/open-bibles,,
17,james,1,17,,"Every good gift and every perfect gift is from above, and cometh down from the Father of lights, with whom is no variableness, neither shadow of turning.",james_1_17,https://github.com/seven1m/open-bibles,,
18,james,1,18,,"Of his own will begat he us with the word of truth, that we should be a kind of firstfruits of his creatures.",james_1_18,https://github.com/seven1m/open-bibles,,
19,james,1,19,,"Wherefore, my beloved brethren, let every man be swift to hear, slow to speak, slow to wrath:",james_1_19,https://github.com/seven1m/open-bibles,,
20,james,1,20,,For the wrath of man worketh not the righteousness of God.,james_1_20,https://github.com/seven1m/open-bibles,,
