"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","judges","1","1","","Now after the death of Joshua it came to pass, that the children of Israel asked the LORD, saying, Who shall go up for us against the Canaanites first, to fight against them?","judges_1_1","https://github.com/seven1m/open-bibles","",""
"2","judges","1","2","","And the LORD said, Judah shall go up: behold, I have delivered the land into his hand.","judges_1_2","https://github.com/seven1m/open-bibles","",""
"3","judges","1","3","","And Judah said unto Simeon his brother, Come up with me into my lot, that we may fight against the Canaanites; and I likewise will go with thee into thy lot. So Simeon went with him.","judges_1_3","https://github.com/seven1m/open-bibles","",""
"4","judges","1","4","","And Judah went up; and the LORD delivered the Canaanites and the Perizzites into their hand: and they slew of them in Bezek ten thousand men.","judges_1_4","https://github.com/seven1m/open-bibles","",""
"5","judges","1","5","","And they found Adoni-bezek in Bezek: and they fought against him, and they slew the Canaanites and the Perizzites.","judges_1_5","https://github.com/seven1m/open-bibles","",""
"6","judges","1","6","","But Adoni-bezek fled; and they pursued after him, and caught him, and cut off his thumbs and his great toes.","judges_1_6","https://github.com/seven1m/open-bibles","",""
"7","judges","1","7","","And Adoni-bezek said, Threescore and ten kings, having their thumbs and their great toes cut off, gathered their meat under my table: as I have done, so God hath requited me. And they brought him to Jerusalem, and there he died.","judges_1_7","https://github.com/seven1m/open-bibles","",""
"8","judges","1","8","","Now the children of Judah had fought against Jerusalem, and had taken it, and smitten it with the edge of the sword, and set the city on fire.","judges_1_8","https://github.com/seven1m/open-bibles","",""
"9","judges","1","9","","And afterward the children of Judah went down to fight against the Canaanites, that dwelt in the mountain, and in the south, and in the valley.","judges_1_9","https://github.com/seven1m/open-bibles","",""
"10","judges","1","10","","And Judah went against the Canaanites that dwelt in Hebron: (now the name of Hebron before was Kirjath-arba:) and they slew Sheshai, and Ahiman, and Talmai.","judges_1_10","https://github.com/seven1m/open-bibles","",""
"11","judges","1","11","","And from thence he went against the inhabitants of Debir: and the name of Debir before was Kirjath-sepher:","judges_1_11","https://github.com/seven1m/open-bibles","",""
"12","judges","1","12","","And Caleb said, He that smiteth Kirjath-sepher, and taketh it, to him will I give Achsah my daughter to wife.","judges_1_12","https://github.com/seven1m/open-bibles","",""
"13","judges","1","13","","And Othniel the son of Kenaz, Caleb's younger brother, took it: and he gave him Achsah his daughter to wife.","judges_1_13","https://github.com/seven1m/open-bibles","",""
"14","judges","1","14","","And it came to pass, when she came to him, that she moved him to ask of her father a field: and she lighted from off her ass; and Caleb said unto her, What wilt thou?","judges_1_14","https://github.com/seven1m/open-bibles","",""
"15","judges","1","15","","And she said unto him, Give me a blessing: for thou hast given me a south land; give me also springs of water. And Caleb gave her the upper springs and the nether springs.","judges_1_15","https://github.com/seven1m/open-bibles","",""
"16","judges","1","16","","And the children of the Kenite, Moses' father in law, went up out of the city of palm trees with the children of Judah into the wilderness of Judah, which lieth in the south of Arad; and they went and dwelt among the people.","judges_1_16","https://github.com/seven1m/open-bibles","",""
"17","judges","1","17","","And Judah went with Simeon his brother, and they slew the Canaanites that inhabited Zephath, and utterly destroyed it. And the name of the city was called Hormah.","judges_1_17","https://github.com/seven1m/open-bibles","",""
"18","judges","1","18","","Also Judah took Gaza with the coast thereof, and Askelon with the coast thereof, and Ekron with the coast thereof.","judges_1_18","https://github.com/seven1m/open-bibles","",""
"19","judges","1","19","","And the LORD was with Judah; and he drave out the inhabitants of the mountain; but could not drive out the inhabitants of the valley, because they had chariots of iron.","judges_1_19","https://github.com/seven1m/open-bibles","",""
"20","judges","1","20","","And they gave Hebron unto Caleb, as Moses said: and he expelled thence the three sons of Anak.","judges_1_20","https://github.com/seven1m/open-bibles","",""
"21","judges","1","21","","And the children of Benjamin did not drive out the Jebusites that inhabited Jerusalem; but the Jebusites dwell with the children of Benjamin in Jerusalem unto this day.","judges_1_21","https://github.com/seven1m/open-bibles","",""
"22","judges","1","22","","And the house of Joseph, they also went up against Bethel: and the LORD was with them.","judges_1_22","https://github.com/seven1m/open-bibles","",""
"23","judges","1","23","","And the house of Joseph sent to descry Bethel. (Now the name of the city before was Luz.)","judges_1_23","https://github.com/seven1m/open-bibles","",""
"24","judges","1","24","","And the spies saw a man come forth out of the city, and they said unto him, Shew us, we pray thee, the entrance into the city, and we will shew thee mercy.","judges_1_24","https://github.com/seven1m/open-bibles","",""
"25","judges","1","25","","And when he shewed them the entrance into the city, they smote the city with the edge of the sword; but they let go the man and all his family.","judges_1_25","https://github.com/seven1m/open-bibles","",""
