"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","ester","1","1","La reina Vasti desafía a Asuero","Aconteció en los días de Asuero, el Asuero que reinó desde la India hasta Etiopía sobre ciento veintisiete provincias,","ester_1_1","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"2","ester","1","2","La reina Vasti desafía a Asuero","que en aquellos días, cuando fue afirmado el rey Asuero sobre el trono de su reino, el cual estaba en Susa capital del reino,","ester_1_2","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"3","ester","1","3","La reina Vasti desafía a Asuero","en el tercer año de su reinado hizo banquete a todos sus príncipes y cortesanos, teniendo delante de él a los más poderosos de Persia y de Media, gobernadores y príncipes de provincias,","ester_1_3","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"4","ester","1","4","La reina Vasti desafía a Asuero","para mostrar él las riquezas de la gloria de su reino, el brillo y la magnificencia de su poder, por muchos días, ciento ochenta días.","ester_1_4","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"5","ester","1","5","La reina Vasti desafía a Asuero","Y cumplidos estos días, hizo el rey otro banquete por siete días en el patio del huerto del palacio real a todo el pueblo que había en Susa capital del reino, desde el mayor hasta el menor.","ester_1_5","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"6","ester","1","6","La reina Vasti desafía a Asuero","El pabellón era de blanco, verde y azul, tendido sobre cuerdas de lino y púrpura en anillos de plata y columnas de mármol; los reclinatorios de oro y de plata, sobre losado de pórfido y de mármol, y de alabastro y de jacinto.","ester_1_6","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"7","ester","1","7","La reina Vasti desafía a Asuero","Y daban a beber en vasos de oro, y vasos diferentes unos de otros, y mucho vino real, de acuerdo con la generosidad del rey.","ester_1_7","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"8","ester","1","8","La reina Vasti desafía a Asuero","Y la bebida era según esta ley: Que nadie fuese obligado a beber; porque así lo había mandado el rey a todos los mayordomos de su casa, que se hiciese según la voluntad de cada uno.","ester_1_8","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"9","ester","1","9","La reina Vasti desafía a Asuero","Asimismo la reina Vasti hizo banquete para las mujeres, en la casa real del rey Asuero.","ester_1_9","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"10","ester","1","10","La reina Vasti desafía a Asuero","El séptimo día, estando el corazón del rey alegre del vino, mandó a Mehumán, Bizta, Harbona, Bigta, Abagta, Zetar y Carcas, siete eunucos que servían delante del rey Asuero,","ester_1_10","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"11","ester","1","11","La reina Vasti desafía a Asuero","que trajesen a la reina Vasti a la presencia del rey con la corona regia, para mostrar a los pueblos y a los príncipes su belleza; porque era hermosa.","ester_1_11","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"12","ester","1","12","La reina Vasti desafía a Asuero","Mas la reina Vasti no quiso comparecer a la orden del rey enviada por medio de los eunucos; y el rey se enojó mucho, y se encendió en ira.","ester_1_12","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"13","ester","1","13","La reina Vasti desafía a Asuero","Preguntó entonces el rey a los sabios que conocían los tiempos (porque así acostumbraba el rey con todos los que sabían la ley y el derecho;","ester_1_13","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
"14","ester","1","14","La reina Vasti desafía a Asuero","y estaban junto a él Carsena, Setar, Admata, Tarsis, Meres, Marsena y Memucán, siete príncipes de Persia y de Media que veían la cara del rey, y se sentaban los primeros del reino);","ester_1_14","https://www.biblia.es/biblia-buscar-libros-1.php?libro=ester&capitulo=1&version=rv60","",""
