"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","job","1","1","Las calamidades de Job","Hubo en tierra de Uz un varón llamado Job; y era este hombre perfecto y recto, temeroso de Dios y apartado del mal.","job_1_1","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"2","job","1","2","Las calamidades de Job","Y le nacieron siete hijos y tres hijas.","job_1_2","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"3","job","1","3","Las calamidades de Job","Su hacienda era siete mil ovejas, tres mil camellos, quinientas yuntas de bueyes, quinientas asnas, y muchísimos criados; y era aquel varón más grande que todos los orientales.","job_1_3","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"4","job","1","4","Las calamidades de Job","E iban sus hijos y hacían banquetes en sus casas, cada uno en su día; y enviaban a llamar a sus tres hermanas para que comiesen y bebiesen con ellos.","job_1_4","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"5","job","1","5","Las calamidades de Job","Y acontecía que habiendo pasado en turno los días del convite, Job enviaba y los santificaba, y se levantaba de mañana y ofrecía holocaustos conforme al número de todos ellos. Porque decía Job: Quizá habrán pecado mis hijos, y habrán blasfemado contra Dios en sus corazones. De esta manera hacía todos los días.","job_1_5","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"6","job","1","6","Las calamidades de Job","Un día vinieron a presentarse delante de Jehová los hijos de Dios, entre los cuales vino también Satanás.","job_1_6","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"7","job","1","7","Las calamidades de Job","Y dijo Jehová a Satanás: ¿De dónde vienes? Respondiendo Satanás a Jehová, dijo: De rodear la tierra y de andar por ella.","job_1_7","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"8","job","1","8","Las calamidades de Job","Y Jehová dijo a Satanás: ¿No has considerado a mi siervo Job, que no hay otro como él en la tierra, varón perfecto y recto, temeroso de Dios y apartado del mal?","job_1_8","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"9","job","1","9","Las calamidades de Job","Respondiendo Satanás a Jehová, dijo: ¿Acaso teme Job a Dios de balde?","job_1_9","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"10","job","1","10","Las calamidades de Job","¿No le has cercado alrededor a él y a su casa y a todo lo que tiene? Al trabajo de sus manos has dado bendición; por tanto, sus bienes han aumentado sobre la tierra.","job_1_10","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"11","job","1","11","Las calamidades de Job","Pero extiende ahora tu mano y toca todo lo que tiene, y verás si no blasfema contra ti en tu misma presencia.","job_1_11","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"12","job","1","12","Las calamidades de Job","Dijo Jehová a Satanás: He aquí, todo lo que tiene está en tu mano; solamente no pongas tu mano sobre él. Y salió Satanás de delante de Jehová.","job_1_12","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"13","job","1","13","Las calamidades de Job","Y un día aconteció que sus hijos e hijas comían y bebían vino en casa de su hermano el primogénito,","job_1_13","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"14","job","1","14","Las calamidades de Job","y vino un mensajero a Job, y le dijo: Estaban arando los bueyes, y las asnas paciendo cerca de ellos,","job_1_14","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"15","job","1","15","Las calamidades de Job","y acometieron los sabeos y los tomaron, y mataron a los criados a filo de espada; solamente escapé yo para darte la noticia.","job_1_15","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
"16","job","1","16","Las calamidades de Job","Aún estaba éste hablando, cuando vino otro que dijo: Fuego de Dios cayó del cielo, que quemó las ovejas y a los pastores, y los consumió; solamente escapé yo para darte la noticia.","job_1_16","https://www.biblia.es/biblia-buscar-libros-1.php?libro=job&capitulo=1&version=rv60","",""
