id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,eclesiastes,1,1,Todo es vanidad,"Palabras del Predicador, hijo de David, rey en Jerusalén.",eclesiastes_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
2,eclesiastes,1,2,Todo es vanidad,"Vanidad de vanidades, dijo el Predicador; vanidad de vanidades, todo es vanidad.",eclesiastes_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
3,eclesiastes,1,3,Todo es vanidad,¿Qué provecho tiene el hombre de todo su trabajo con que se afana debajo del sol?,eclesiastes_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
4,eclesiastes,1,4,Todo es vanidad,"Generación va, y generación viene; mas la tierra siempre permanece.",eclesiastes_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
5,eclesiastes,1,5,Todo es vanidad,"Sale el sol, y se pone el sol, y se apresura a volver al lugar de donde se levanta.",eclesiastes_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
6,eclesiastes,1,6,Todo es vanidad,"El viento tira hacia el sur, y rodea al norte; va girando de continuo, y a sus giros vuelve el viento de nuevo.",eclesiastes_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
7,eclesiastes,1,7,Todo es vanidad,"Los ríos todos van al mar, y el mar no se llena; al lugar de donde los ríos vinieron, allí vuelven para correr de nuevo.",eclesiastes_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
8,eclesiastes,1,8,Todo es vanidad,"Todas las cosas son fatigosas más de lo que el hombre puede expresar; nunca se sacia el ojo de ver, ni el oído de oír.",eclesiastes_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
9,eclesiastes,1,9,Todo es vanidad,¿Qué es lo que fue? Lo mismo que será. ¿Qué es lo que ha sido hecho? Lo mismo que se hará; y nada hay nuevo debajo del sol.,eclesiastes_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
10,eclesiastes,1,10,Todo es vanidad,¿Hay algo de que se puede decir: He aquí esto es nuevo? Ya fue en los siglos que nos han precedido.,eclesiastes_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
11,eclesiastes,1,11,Todo es vanidad,"No hay memoria de lo que precedió, ni tampoco de lo que sucederá habrá memoria en los que serán después.",eclesiastes_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
12,eclesiastes,1,12,La experiencia del predicador,Yo el Predicador fui rey sobre Israel en Jerusalén.,eclesiastes_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
13,eclesiastes,1,13,La experiencia del predicador,"Y di mi corazón a inquirir y a buscar con sabiduría sobre todo lo que se hace debajo del cielo; este penoso trabajo dio Dios a los hijos de los hombres, para que se ocupen en él.",eclesiastes_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
14,eclesiastes,1,14,La experiencia del predicador,"Miré todas las obras que se hacen debajo del sol; y he aquí, todo ello es vanidad y aflicción de espíritu.",eclesiastes_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
15,eclesiastes,1,15,La experiencia del predicador,"Lo torcido no se puede enderezar, y lo incompleto no puede contarse.",eclesiastes_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
16,eclesiastes,1,16,La experiencia del predicador,"Hablé yo en mi corazón, diciendo: He aquí yo me he engrandecido, y he crecido en sabiduría sobre todos los que fueron antes de mí en Jerusalén; y mi corazón ha percibido mucha sabiduría y ciencia.",eclesiastes_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
17,eclesiastes,1,17,La experiencia del predicador,"Y dediqué mi corazón a conocer la sabiduría, y también a entender las locuras y los desvaríos; conocí que aun esto era aflicción de espíritu.",eclesiastes_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
18,eclesiastes,1,18,La experiencia del predicador,"Porque en la mucha sabiduría hay mucha molestia; y quien añade ciencia, añade dolor.",eclesiastes_1_18,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=1&version=rv60,,
19,eclesiastes,2,1,,"Dije yo en mi corazón: Ven ahora, te probaré con alegría, y gozarás de bienes. Mas he aquí esto también era vanidad.",eclesiastes_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=2&version=rv60,,
20,eclesiastes,2,2,,A la risa dije: Enloqueces; y al placer: ¿De qué sirve esto?,eclesiastes_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=2&version=rv60,,
21,eclesiastes,2,3,,"Propuse en mi corazón agasajar mi carne con vino, y que anduviese mi corazón en sabiduría, con retención de la necedad, hasta ver cuál fuese el bien de los hijos de los hombres, en el cual se ocuparan debajo del cielo todos los días de su vida.",eclesiastes_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=2&version=rv60,,
22,eclesiastes,2,4,,"Engrandecí mis obras, edifiqué para mí casas, planté para mí viñas;",eclesiastes_2_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=2&version=rv60,,
23,eclesiastes,2,5,,"me hice huertos y jardines, y planté en ellos árboles de todo fruto.",eclesiastes_2_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=2&version=rv60,,
24,eclesiastes,2,6,,"Me hice estanques de aguas, para regar de ellos el bosque donde crecían los árboles.",eclesiastes_2_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=2&version=rv60,,
25,eclesiastes,2,7,,"Compré siervos y siervas, y tuve siervos nacidos en casa; también tuve posesión grande de vacas y de ovejas, más que todos los que fueron antes de mí en Jerusalén.",eclesiastes_2_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=2&version=rv60,,
26,eclesiastes,2,8,,"Me amontoné también plata y oro, y tesoros preciados de reyes y de provincias; me hice de cantores y cantoras, de los deleites de los hijos de los hombres, y de toda clase de instrumentos de música.",eclesiastes_2_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=2&version=rv60,,
27,eclesiastes,2,9,,"Y fui engrandecido y aumentado más que todos los que fueron antes de mí en Jerusalén; a más de esto, conservé conmigo mi sabiduría.",eclesiastes_2_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=eclesiastes&capitulo=2&version=rv60,,
