id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,lamentaciones,1,1,Tristeza de Sion la cautiva,"¡Cómo ha quedado sola la ciudad populosa!La grande entre las naciones se ha vuelto como viuda,La señora de provincias ha sido hecha tributaria.",lamentaciones_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60,,
2,lamentaciones,1,2,Tristeza de Sion la cautiva,"Amargamente llora en la noche, y sus lágrimas están en sus mejillas.No tiene quien la consuele de todos sus amantes;Todos sus amigos le faltaron, se le volvieron enemigos.",lamentaciones_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60,,
3,lamentaciones,1,3,Tristeza de Sion la cautiva,"Judá ha ido en cautiverio a causa de la aflicción y de la dura servidumbre;Ella habitó entre las naciones, y no halló descanso;Todos sus perseguidores la alcanzaron entre las estrechuras.",lamentaciones_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60,,
4,lamentaciones,1,4,Tristeza de Sion la cautiva,"Las calzadas de Sion tienen luto, porque no hay quien venga a las fiestas solemnes;Todas sus puertas están asoladas, sus sacerdotes gimen,Sus vírgenes están afligidas, y ella tiene amargura.",lamentaciones_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60,,
5,lamentaciones,1,5,Tristeza de Sion la cautiva,"Sus enemigos han sido hechos príncipes, sus aborrecedores fueron prosperados,Porque Jehová la afligió por la multitud de sus rebeliones;Sus hijos fueron en cautividad delante del enemigo.",lamentaciones_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60,,
6,lamentaciones,1,6,Tristeza de Sion la cautiva,"Desapareció de la hija de Sion toda su hermosura;Sus príncipes fueron como ciervos que no hallan pasto,Y anduvieron sin fuerzas delante del perseguidor.",lamentaciones_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60,,
7,lamentaciones,1,7,Tristeza de Sion la cautiva,"Jerusalén, cuando cayó su pueblo en mano del enemigo y no hubo quien la ayudase,Se acordó de los días de su aflicción, y de sus rebeliones,Y de todas las cosas agradables que tuvo desde los tiempos antiguos.La miraron los enemigos, y se burlaron de su caída.",lamentaciones_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60,,
8,lamentaciones,1,8,Tristeza de Sion la cautiva,"Pecado cometió Jerusalén, por lo cual ella ha sido removida;Todos los que la honraban la han menospreciado, porque vieron su vergüenza;Y ella suspira, y se vuelve atrás.",lamentaciones_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60,,
9,lamentaciones,1,9,Tristeza de Sion la cautiva,"Su inmundicia está en sus faldas, y no se acordó de su fin;Por tanto, ella ha descendido sorprendentemente, y no tiene quien la consuele.Mira, oh Jehová, mi aflicción, porque el enemigo se ha engrandecido.",lamentaciones_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60,,
10,lamentaciones,1,10,Tristeza de Sion la cautiva,Extendió su mano el enemigo a todas sus cosas preciosas;Ella ha visto entrar en su santuario a las nacionesDe las cuales mandaste que no entrasen en tu congregación.,lamentaciones_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60,,
11,lamentaciones,1,11,Tristeza de Sion la cautiva,"Todo su pueblo buscó su pan suspirando;Dieron por la comida todas sus cosas preciosas, para entretener la vida.Mira, oh Jehová, y ve que estoy abatida.",lamentaciones_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60,,
12,lamentaciones,1,12,Tristeza de Sion la cautiva,"¿No os conmueve a cuantos pasáis por el camino?Mirad, y ved si hay dolor como mi dolor que me ha venido;Porque Jehová me ha angustiado en el día de su ardiente furor.",lamentaciones_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=lamentaciones&capitulo=1&version=rv60,,
