id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,oseas,1,1,"La esposa infiel de Oseas, y sus hijos","Palabra de Jehová que vino a Oseas hijo de Beeri, en días de Uzías, Jotam, Acaz y Ezequías, reyes de Judá, y en días de Jeroboam hijo de Joás, rey de Israel.",oseas_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=1&version=rv60,,
2,oseas,1,2,"La esposa infiel de Oseas, y sus hijos","El principio de la palabra de Jehová por medio de Oseas. Dijo Jehová a Oseas: Ve, tómate una mujer fornicaria, e hijos de fornicación; porque la tierra fornica apartándose de Jehová.",oseas_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=1&version=rv60,,
3,oseas,1,3,"La esposa infiel de Oseas, y sus hijos","Fue, pues, y tomó a Gomer hija de Diblaim, la cual concibió y le dio a luz un hijo.",oseas_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=1&version=rv60,,
4,oseas,1,4,"La esposa infiel de Oseas, y sus hijos","Y le dijo Jehová: Ponle por nombre Jezreel; porque de aquí a poco yo castigaré a la casa de Jehú por causa de la sangre de Jezreel, y haré cesar el reino de la casa de Israel.",oseas_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=1&version=rv60,,
5,oseas,1,5,"La esposa infiel de Oseas, y sus hijos",Y en aquel día quebraré yo el arco de Israel en el valle de Jezreel.,oseas_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=1&version=rv60,,
6,oseas,1,6,"La esposa infiel de Oseas, y sus hijos","Concibió ella otra vez, y dio a luz una hija. Y le dijo Dios: Ponle por nombre Lo-ruhama, porque no me compadeceré más de la casa de Israel, sino que los quitaré del todo.",oseas_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=1&version=rv60,,
7,oseas,1,7,"La esposa infiel de Oseas, y sus hijos","Mas de la casa de Judá tendré misericordia, y los salvaré por Jehová su Dios; y no los salvaré con arco, ni con espada, ni con batalla, ni con caballos ni jinetes.",oseas_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=1&version=rv60,,
8,oseas,1,8,"La esposa infiel de Oseas, y sus hijos","Después de haber destetado a Lo-ruhama, concibió y dio a luz un hijo.",oseas_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=1&version=rv60,,
9,oseas,1,9,"La esposa infiel de Oseas, y sus hijos","Y dijo Dios: Ponle por nombre Lo-ammi, porque vosotros no sois mi pueblo, ni yo seré vuestro Dios.",oseas_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=1&version=rv60,,
10,oseas,1,10,"La esposa infiel de Oseas, y sus hijos","Con todo, será el número de los hijos de Israel como la arena del mar, que no se puede medir ni contar. Y en el lugar en donde les fue dicho: Vosotros no sois pueblo mío, les será dicho: Sois hijos del Dios viviente.",oseas_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=1&version=rv60,,
11,oseas,1,11,"La esposa infiel de Oseas, y sus hijos","Y se congregarán los hijos de Judá y de Israel, y nombrarán un solo jefe, y subirán de la tierra; porque el día de Jezreel será grande.",oseas_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=1&version=rv60,,
12,oseas,2,1,El amor de Jehová hacia su pueblo infiel,Decid a vuestros hermanos: Ammi; y a vuestras hermanas: Ruhama.,oseas_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=2&version=rv60,,
13,oseas,2,2,El amor de Jehová hacia su pueblo infiel,"Contended con vuestra madre, contended; porque ella no es mi mujer, ni yo su marido; aparte, pues, sus fornicaciones de su rostro, y sus adulterios de entre sus pechos;",oseas_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=oseas&capitulo=2&version=rv60,,
