id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,amos,1,1,Juicios contra las naciones vecinas,"Las palabras de Amós, que fue uno de los pastores de Tecoa, que profetizó acerca de Israel en días de Uzías rey de Judá y en días de Jeroboam hijo de Joás, rey de Israel, dos años antes del terremoto.",amos_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
2,amos,1,2,Juicios contra las naciones vecinas,"Dijo: Jehová rugirá desde Sion, y dará su voz desde Jerusalén, y los campos de los pastores se enlutarán, y se secará la cumbre del Carmelo.",amos_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
3,amos,1,3,Juicios contra las naciones vecinas,"Así ha dicho Jehová: Por tres pecados de Damasco, y por el cuarto, no revocaré su castigo; porque trillaron a Galaad con trillos de hierro.",amos_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
4,amos,1,4,Juicios contra las naciones vecinas,"Prenderé fuego en la casa de Hazael, y consumirá los palacios de Ben-adad.",amos_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
5,amos,1,5,Juicios contra las naciones vecinas,"Y quebraré los cerrojos de Damasco, y destruiré a los moradores del valle de Avén, y los gobernadores de Bet-edén; y el pueblo de Siria será transportado a Kir, dice Jehová.",amos_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
6,amos,1,6,Juicios contra las naciones vecinas,"Así ha dicho Jehová: Por tres pecados de Gaza, y por el cuarto, no revocaré su castigo; porque llevó cautivo a todo un pueblo para entregarlo a Edom.",amos_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
7,amos,1,7,Juicios contra las naciones vecinas,"Prenderé fuego en el muro de Gaza, y consumirá sus palacios.",amos_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
8,amos,1,8,Juicios contra las naciones vecinas,"Y destruiré a los moradores de Asdod, y a los gobernadores de Ascalón; y volveré mi mano contra Ecrón, y el resto de los filisteos perecerá, ha dicho Jehová el Señor.",amos_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
9,amos,1,9,Juicios contra las naciones vecinas,"Así ha dicho Jehová: Por tres pecados de Tiro, y por el cuarto, no revocaré su castigo; porque entregaron a todo un pueblo cautivo a Edom, y no se acordaron del pacto de hermanos.",amos_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
10,amos,1,10,Juicios contra las naciones vecinas,"Prenderé fuego en el muro de Tiro, y consumirá sus palacios.",amos_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
11,amos,1,11,Juicios contra las naciones vecinas,"Así ha dicho Jehová: Por tres pecados de Edom, y por el cuarto, no revocaré su castigo; porque persiguió a espada a su hermano, y violó todo afecto natural; y en su furor le ha robado siempre, y perpetuamente ha guardado el rencor.",amos_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
12,amos,1,12,Juicios contra las naciones vecinas,"Prenderé fuego en Temán, y consumirá los palacios de Bosra.",amos_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
13,amos,1,13,Juicios contra las naciones vecinas,"Así ha dicho Jehová: Por tres pecados de los hijos de Amón, y por el cuarto, no revocaré su castigo; porque para ensanchar sus tierras abrieron a las mujeres de Galaad que estaban encintas.",amos_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
14,amos,1,14,Juicios contra las naciones vecinas,"Encenderé fuego en el muro de Rabá, y consumirá sus palacios con estruendo en el día de la batalla, con tempestad en día tempestuoso;",amos_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
15,amos,1,15,Juicios contra las naciones vecinas,"y su rey irá en cautiverio, él y todos sus príncipes, dice Jehová.",amos_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=1&version=rv60,,
16,amos,2,1,,"Así ha dicho Jehová: Por tres pecados de Moab, y por el cuarto, no revocaré su castigo; porque quemó los huesos del rey de Edom hasta calcinarlos.",amos_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60,,
17,amos,2,2,,"Prenderé fuego en Moab, y consumirá los palacios de Queriot; y morirá Moab con tumulto, con estrépito y sonido de trompeta.",amos_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60,,
18,amos,2,3,,"Y quitaré el juez de en medio de él, y mataré con él a todos sus príncipes, dice Jehová.",amos_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60,,
19,amos,2,4,,"Así ha dicho Jehová: Por tres pecados de Judá, y por el cuarto, no revocaré su castigo; porque menospreciaron la ley de Jehová, y no guardaron sus ordenanzas, y les hicieron errar sus mentiras, en pos de las cuales anduvieron sus padres.",amos_2_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60,,
20,amos,2,5,,"Prenderé, por tanto, fuego en Judá, el cual consumirá los palacios de Jerusalén.",amos_2_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60,,
21,amos,2,6,Juicio contra Israel,"Así ha dicho Jehová: Por tres pecados de Israel, y por el cuarto, no revocaré su castigo; porque vendieron por dinero al justo, y al pobre por un par de zapatos.",amos_2_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=amos&capitulo=2&version=rv60,,
