id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,nahum,1,1,La ira vengadora de Dios,Profecía sobre Nínive. Libro de la visión de Nahum de Elcos.,nahum_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
2,nahum,1,2,La ira vengadora de Dios,"Jehová es Dios celoso y vengador; Jehová es vengador y lleno de indignación; se venga de sus adversarios, y guarda enojo para sus enemigos.",nahum_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
3,nahum,1,3,La ira vengadora de Dios,"Jehová es tardo para la ira y grande en poder, y no tendrá por inocente al culpable. Jehová marcha en la tempestad y el torbellino, y las nubes son el polvo de sus pies.",nahum_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
4,nahum,1,4,La ira vengadora de Dios,"El amenaza al mar, y lo hace secar, y angosta todos los ríos; Basán fue destruido, y el Carmelo, y la flor del Líbano fue destruida.",nahum_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
5,nahum,1,5,La ira vengadora de Dios,"Los montes tiemblan delante de él, y los collados se derriten; la tierra se conmueve a su presencia, y el mundo, y todos los que en él habitan.",nahum_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
6,nahum,1,6,La ira vengadora de Dios,"¿Quién permanecerá delante de su ira? ¿y quién quedará en pie en el ardor de su enojo? Su ira se derrama como fuego, y por él se hienden las peñas.",nahum_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
7,nahum,1,7,La ira vengadora de Dios,"Jehová es bueno, fortaleza en el día de la angustia; y conoce a los que en él confían.",nahum_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
8,nahum,1,8,La ira vengadora de Dios,"Mas con inundación impetuosa consumirá a sus adversarios, y tinieblas perseguirán a sus enemigos.",nahum_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
9,nahum,1,9,La ira vengadora de Dios,¿Qué pensáis contra Jehová? El hará consumación; no tomará venganza dos veces de sus enemigos.,nahum_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
10,nahum,1,10,La ira vengadora de Dios,"Aunque sean como espinos entretejidos, y estén empapados en su embriaguez, serán consumidos como hojarasca completamente seca.",nahum_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
11,nahum,1,11,La ira vengadora de Dios,"De ti salió el que imaginó mal contra Jehová, un consejero perverso.",nahum_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
12,nahum,1,12,La ira vengadora de Dios,"Así ha dicho Jehová: Aunque reposo tengan, y sean tantos, aun así serán talados, y él pasará. Bastante te he afligido; no te afligiré ya más.",nahum_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
13,nahum,1,13,La ira vengadora de Dios,"Porque ahora quebraré su yugo de sobre ti, y romperé tus coyundas.",nahum_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
14,nahum,1,14,La ira vengadora de Dios,"Mas acerca de ti mandará Jehová, que no quede ni memoria de tu nombre; de la casa de tu dios destruiré escultura y estatua de fundición; allí pondré tu sepulcro, porque fuiste vil.",nahum_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
15,nahum,1,15,Anuncio de la caída de Nínive,"He aquí sobre los montes los pies del que trae buenas nuevas, del que anuncia la paz. Celebra, oh Judá, tus fiestas, cumple tus votos; porque nunca más volverá a pasar por ti el malvado; pereció del todo.",nahum_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=1&version=rv60,,
16,nahum,2,1,,"Subió destruidor contra ti; guarda la fortaleza, vigila el camino, cíñete los lomos, refuerza mucho tu poder.",nahum_2_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=2&version=rv60,,
17,nahum,2,2,,"Porque Jehová restaurará la gloria de Jacob como la gloria de Israel; porque saqueadores los saquearon, y estropearon sus mugrones.",nahum_2_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=2&version=rv60,,
18,nahum,2,3,,"El escudo de sus valientes estará enrojecido, los varones de su ejército vestidos de grana; el carro como fuego de antorchas; el día que se prepare, temblarán las hayas.",nahum_2_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=nahum&capitulo=2&version=rv60,,
