"id","book","chapter","verse","subtitle","text","verse_id","source_url","theme","emotion"
"1","zacarias","1","1","Llamamiento a volver a Jehová","En el octavo mes del año segundo de Darío, vino palabra de Jehová al profeta Zacarías hijo de Berequías, hijo de Iddo, diciendo:","zacarias_1_1","https://www.biblia.es/biblia-buscar-libros-1.php?libro=zacarias&capitulo=1&version=rv60","",""
"2","zacarias","1","2","Llamamiento a volver a Jehová","Se enojó Jehová en gran manera contra vuestros padres.","zacarias_1_2","https://www.biblia.es/biblia-buscar-libros-1.php?libro=zacarias&capitulo=1&version=rv60","",""
"3","zacarias","1","3","Llamamiento a volver a Jehová","Diles, pues: Así ha dicho Jehová de los ejércitos: Volveos a mí, dice Jehová de los ejércitos, y yo me volveré a vosotros, ha dicho Jehová de los ejércitos.","zacarias_1_3","https://www.biblia.es/biblia-buscar-libros-1.php?libro=zacarias&capitulo=1&version=rv60","",""
"4","zacarias","1","4","Llamamiento a volver a Jehová","No seáis como vuestros padres, a los cuales clamaron los primeros profetas, diciendo: Así ha dicho Jehová de los ejércitos: Volveos ahora de vuestros malos caminos y de vuestras malas obras; y no atendieron, ni me escucharon, dice Jehová.","zacarias_1_4","https://www.biblia.es/biblia-buscar-libros-1.php?libro=zacarias&capitulo=1&version=rv60","",""
"5","zacarias","1","5","Llamamiento a volver a Jehová","Vuestros padres, ¿dónde están? y los profetas, ¿han de vivir para siempre?","zacarias_1_5","https://www.biblia.es/biblia-buscar-libros-1.php?libro=zacarias&capitulo=1&version=rv60","",""
"6","zacarias","1","6","Llamamiento a volver a Jehová","Pero mis palabras y mis ordenanzas que mandé a mis siervos los profetas, ¿no alcanzaron a vuestros padres? Por eso volvieron ellos y dijeron: Como Jehová de los ejércitos pensó tratarnos conforme a nuestros caminos, y conforme a nuestras obras, así lo hizo con nosotros.","zacarias_1_6","https://www.biblia.es/biblia-buscar-libros-1.php?libro=zacarias&capitulo=1&version=rv60","",""
"7","zacarias","1","7","La visión de los caballos","A los veinticuatro días del mes undécimo, que es el mes de Sebat, en el año segundo de Darío, vino palabra de Jehová al profeta Zacarías hijo de Berequías, hijo de Iddo, diciendo:","zacarias_1_7","https://www.biblia.es/biblia-buscar-libros-1.php?libro=zacarias&capitulo=1&version=rv60","",""
"8","zacarias","1","8","La visión de los caballos","Vi de noche, y he aquí un varón que cabalgaba sobre un caballo alazán, el cual estaba entre los mirtos que había en la hondura; y detrás de él había caballos alazanes, overos y blancos.","zacarias_1_8","https://www.biblia.es/biblia-buscar-libros-1.php?libro=zacarias&capitulo=1&version=rv60","",""
"9","zacarias","1","9","La visión de los caballos","Entonces dije: ¿Qué son éstos, señor mío? Y me dijo el ángel que hablaba conmigo: Yo te enseñaré lo que son éstos.","zacarias_1_9","https://www.biblia.es/biblia-buscar-libros-1.php?libro=zacarias&capitulo=1&version=rv60","",""
"10","zacarias","1","10","La visión de los caballos","Y aquel varón que estaba entre los mirtos respondió y dijo: Estos son los que Jehová ha enviado a recorrer la tierra.","zacarias_1_10","https://www.biblia.es/biblia-buscar-libros-1.php?libro=zacarias&capitulo=1&version=rv60","",""
