id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,marcos,1,1,Predicación de Juan el Bautista,"Principio del evangelio de Jesucristo, Hijo de Dios.",marcos_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
2,marcos,1,2,Predicación de Juan el Bautista,"Como está escrito en Isaías el profeta: He aquí yo envío mi mensajero delante de tu faz, El cual preparará tu camino delante de ti.",marcos_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
3,marcos,1,3,Predicación de Juan el Bautista,Voz del que clama en el desierto: Preparad el camino del Señor; Enderezad sus sendas.,marcos_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
4,marcos,1,4,Predicación de Juan el Bautista,"Bautizaba Juan en el desierto, y predicaba el bautismo de arrepentimiento para perdón de pecados.",marcos_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
5,marcos,1,5,Predicación de Juan el Bautista,"Y salían a él toda la provincia de Judea, y todos los de Jerusalén; y eran bautizados por él en el río Jordán, confesando sus pecados.",marcos_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
6,marcos,1,6,Predicación de Juan el Bautista,"Y Juan estaba vestido de pelo de camello, y tenía un cinto de cuero alrededor de sus lomos; y comía langostas y miel silvestre.",marcos_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
7,marcos,1,7,Predicación de Juan el Bautista,"Y predicaba, diciendo: Viene tras mí el que es más poderoso que yo, a quien no soy digno de desatar encorvado la correa de su calzado.",marcos_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
8,marcos,1,8,Predicación de Juan el Bautista,Yo a la verdad os he bautizado con agua; pero él os bautizará con Espíritu Santo.,marcos_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
9,marcos,1,9,El bautismo de Jesús,"Aconteció en aquellos días, que Jesús vino de Nazaret de Galilea, y fue bautizado por Juan en el Jordán.",marcos_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
10,marcos,1,10,El bautismo de Jesús,"Y luego, cuando subía del agua, vio abrirse los cielos, y al Espíritu como paloma que descendía sobre él.",marcos_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
11,marcos,1,11,El bautismo de Jesús,Y vino una voz de los cielos que decía: Tú eres mi Hijo amado; en ti tengo complacencia.,marcos_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
12,marcos,1,12,Tentación de Jesús,Y luego el Espíritu le impulsó al desierto.,marcos_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
13,marcos,1,13,Tentación de Jesús,"Y estuvo allí en el desierto cuarenta días, y era tentado por Satanás, y estaba con las fieras; y los ángeles le servían.",marcos_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
14,marcos,1,14,Jesús principia su ministerio,"Después que Juan fue encarcelado, Jesús vino a Galilea predicando el evangelio del reino de Dios,",marcos_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
15,marcos,1,15,Jesús principia su ministerio,"diciendo: El tiempo se ha cumplido, y el reino de Dios se ha acercado; arrepentíos, y creed en el evangelio.",marcos_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
16,marcos,1,16,Jesús llama a cuatro pescadores,"Andando junto al mar de Galilea, vio a Simón y a Andrés su hermano, que echaban la red en el mar; porque eran pescadores.",marcos_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
17,marcos,1,17,Jesús llama a cuatro pescadores,"Y les dijo Jesús: Venid en pos de mí, y haré que seáis pescadores de hombres.",marcos_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
18,marcos,1,18,Jesús llama a cuatro pescadores,"Y dejando luego sus redes, le siguieron.",marcos_1_18,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
19,marcos,1,19,Jesús llama a cuatro pescadores,"Pasando de allí un poco más adelante, vio a Jacobo hijo de Zebedeo, y a Juan su hermano, también ellos en la barca, que remendaban las redes.",marcos_1_19,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
20,marcos,1,20,Jesús llama a cuatro pescadores,"Y luego los llamó; y dejando a su padre Zebedeo en la barca con los jornaleros, le siguieron.",marcos_1_20,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
21,marcos,1,21,Un hombre que tenía un espíritu inmundo,"Y entraron en Capernaum; y los días de reposo, entrando en la sinagoga, enseñaba.",marcos_1_21,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
22,marcos,1,22,Un hombre que tenía un espíritu inmundo,"Y se admiraban de su doctrina; porque les enseñaba como quien tiene autoridad, y no como los escribas.",marcos_1_22,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
23,marcos,1,23,Un hombre que tenía un espíritu inmundo,"Pero había en la sinagoga de ellos un hombre con espíritu inmundo, que dio voces,",marcos_1_23,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
24,marcos,1,24,Un hombre que tenía un espíritu inmundo,"diciendo: ¡Ah! ¿qué tienes con nosotros, Jesús nazareno? ¿Has venido para destruirnos? Sé quién eres, el Santo de Dios.",marcos_1_24,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
25,marcos,1,25,Un hombre que tenía un espíritu inmundo,"Pero Jesús le reprendió, diciendo: ¡Cállate, y sal de él!",marcos_1_25,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
26,marcos,1,26,Un hombre que tenía un espíritu inmundo,"Y el espíritu inmundo, sacudiéndole con violencia, y clamando a gran voz, salió de él.",marcos_1_26,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
27,marcos,1,27,Un hombre que tenía un espíritu inmundo,"Y todos se asombraron, de tal manera que discutían entre sí, diciendo: ¿Qué es esto? ¿Qué nueva doctrina es esta, que con autoridad manda aun a los espíritus inmundos, y le obedecen?",marcos_1_27,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
28,marcos,1,28,Un hombre que tenía un espíritu inmundo,Y muy pronto se difundió su fama por toda la provincia alrededor de Galilea.,marcos_1_28,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
29,marcos,1,29,Jesús sana a la suegra de Pedro,"Al salir de la sinagoga, vinieron a casa de Simón y Andrés, con Jacobo y Juan.",marcos_1_29,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
30,marcos,1,30,Jesús sana a la suegra de Pedro,Y la suegra de Simón estaba acostada con fiebre; y en seguida le hablaron de ella.,marcos_1_30,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
31,marcos,1,31,Jesús sana a la suegra de Pedro,"Entonces él se acercó, y la tomó de la mano y la levantó; e inmediatamente le dejó la fiebre, y ella les servía.",marcos_1_31,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
32,marcos,1,32,Muchos sanados al ponerse el sol,"Cuando llegó la noche, luego que el sol se puso, le trajeron todos los que tenían enfermedades, y a los endemoniados;",marcos_1_32,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
33,marcos,1,33,Muchos sanados al ponerse el sol,y toda la ciudad se agolpó a la puerta.,marcos_1_33,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
34,marcos,1,34,Muchos sanados al ponerse el sol,"Y sanó a muchos que estaban enfermos de diversas enfermedades, y echó fuera muchos demonios; y no dejaba hablar a los demonios, porque le conocían.",marcos_1_34,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
35,marcos,1,35,Jesús recorre Galilea predicando,"Levantándose muy de mañana, siendo aún muy oscuro, salió y se fue a un lugar desierto, y allí oraba.",marcos_1_35,https://www.biblia.es/biblia-buscar-libros-1.php?libro=marcos&capitulo=1&version=rv60,,
