id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,hechos,1,1,La promesa del Espíritu Santo,"En el primer tratado, oh Teófilo, hablé acerca de todas las cosas que Jesús comenzó a hacer y a enseñar,",hechos_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
2,hechos,1,2,La promesa del Espíritu Santo,"hasta el día en que fue recibido arriba, después de haber dado mandamientos por el Espíritu Santo a los apóstoles que había escogido;",hechos_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
3,hechos,1,3,La promesa del Espíritu Santo,"a quienes también, después de haber padecido, se presentó vivo con muchas pruebas indubitables, apareciéndoseles durante cuarenta días y hablándoles acerca del reino de Dios.",hechos_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
4,hechos,1,4,La promesa del Espíritu Santo,"Y estando juntos, les mandó que no se fueran de Jerusalén, sino que esperasen la promesa del Padre, la cual, les dijo, oísteis de mí.",hechos_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
5,hechos,1,5,La promesa del Espíritu Santo,"Porque Juan ciertamente bautizó con agua, mas vosotros seréis bautizados con el Espíritu Santo dentro de no muchos días.",hechos_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
6,hechos,1,6,La ascensión,"Entonces los que se habían reunido le preguntaron, diciendo: Señor, ¿restaurarás el reino a Israel en este tiempo?",hechos_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
7,hechos,1,7,La ascensión,"Y les dijo: No os toca a vosotros saber los tiempos o las sazones, que el Padre puso en su sola potestad;",hechos_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
8,hechos,1,8,La ascensión,"pero recibiréis poder, cuando haya venido sobre vosotros el Espíritu Santo, y me seréis testigos en Jerusalén, en toda Judea, en Samaria, y hasta lo último de la tierra.",hechos_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
9,hechos,1,9,La ascensión,"Y habiendo dicho estas cosas, viéndolo ellos, fue alzado, y le recibió una nube que le ocultó de sus ojos.",hechos_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
10,hechos,1,10,La ascensión,"Y estando ellos con los ojos puestos en el cielo, entre tanto que él se iba, he aquí se pusieron junto a ellos dos varones con vestiduras blancas,",hechos_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
11,hechos,1,11,La ascensión,"los cuales también les dijeron: Varones galileos, ¿por qué estáis mirando al cielo? Este mismo Jesús, que ha sido tomado de vosotros al cielo, así vendrá como le habéis visto ir al cielo.",hechos_1_11,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
12,hechos,1,12,Elección del sucesor de Judas,"Entonces volvieron a Jerusalén desde el monte que se llama del Olivar, el cual está cerca de Jerusalén, camino de un día de reposo.",hechos_1_12,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
13,hechos,1,13,Elección del sucesor de Judas,"Y entrados, subieron al aposento alto, donde moraban Pedro y Jacobo, Juan, Andrés, Felipe, Tomás, Bartolomé, Mateo, Jacobo hijo de Alfeo, Simón el Zelote y Judas hermano de Jacobo.",hechos_1_13,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
14,hechos,1,14,Elección del sucesor de Judas,"Todos éstos perseveraban unánimes en oración y ruego, con las mujeres, y con María la madre de Jesús, y con sus hermanos.",hechos_1_14,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
15,hechos,1,15,Elección del sucesor de Judas,"En aquellos días Pedro se levantó en medio de los hermanos (y los reunidos eran como ciento veinte en número), y dijo:",hechos_1_15,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
16,hechos,1,16,Elección del sucesor de Judas,"Varones hermanos, era necesario que se cumpliese la Escritura en que el Espíritu Santo habló antes por boca de David acerca de Judas, que fue guía de los que prendieron a Jesús,",hechos_1_16,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
17,hechos,1,17,Elección del sucesor de Judas,"y era contado con nosotros, y tenía parte en este ministerio.",hechos_1_17,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
18,hechos,1,18,Elección del sucesor de Judas,"Este, pues, con el salario de su iniquidad adquirió un campo, y cayendo de cabeza, se reventó por la mitad, y todas sus entrañas se derramaron.",hechos_1_18,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
19,hechos,1,19,Elección del sucesor de Judas,"Y fue notorio a todos los habitantes de Jerusalén, de tal manera que aquel campo se llama en su propia lengua, Acéldama, que quiere decir, Campo de sangre.",hechos_1_19,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
20,hechos,1,20,Elección del sucesor de Judas,"Porque está escrito en el libro de los Salmos:Sea hecha desierta su habitación,Y no haya quien more en ella;y:Tome otro su oficio.",hechos_1_20,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
21,hechos,1,21,Elección del sucesor de Judas,"Es necesario, pues, que de estos hombres que han estado juntos con nosotros todo el tiempo que el Señor Jesús entraba y salía entre nosotros,",hechos_1_21,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
22,hechos,1,22,Elección del sucesor de Judas,"comenzando desde el bautismo de Juan hasta el día en que de entre nosotros fue recibido arriba, uno sea hecho testigo con nosotros, de su resurrección.",hechos_1_22,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
23,hechos,1,23,Elección del sucesor de Judas,"Y señalaron a dos: a José, llamado Barsabás, que tenía por sobrenombre Justo, y a Matías.",hechos_1_23,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
24,hechos,1,24,Elección del sucesor de Judas,"Y orando, dijeron: Tú, Señor, que conoces los corazones de todos, muestra cuál de estos dos has escogido,",hechos_1_24,https://www.biblia.es/biblia-buscar-libros-1.php?libro=hechos&capitulo=1&version=rv60,,
