id,book,chapter,verse,subtitle,text,verse_id,source_url,theme,emotion
1,romanos,1,1,Salutación,"Pablo, siervo de Jesucristo, llamado a ser apóstol, apartado para el evangelio de Dios,",romanos_1_1,https://www.biblia.es/biblia-buscar-libros-1.php?libro=romanos&capitulo=1&version=rv60,,
2,romanos,1,2,Salutación,"que él había prometido antes por sus profetas en las santas Escrituras,",romanos_1_2,https://www.biblia.es/biblia-buscar-libros-1.php?libro=romanos&capitulo=1&version=rv60,,
3,romanos,1,3,Salutación,"acerca de su Hijo, nuestro Señor Jesucristo, que era del linaje de David según la carne,",romanos_1_3,https://www.biblia.es/biblia-buscar-libros-1.php?libro=romanos&capitulo=1&version=rv60,,
4,romanos,1,4,Salutación,"que fue declarado Hijo de Dios con poder, según el Espíritu de santidad, por la resurrección de entre los muertos,",romanos_1_4,https://www.biblia.es/biblia-buscar-libros-1.php?libro=romanos&capitulo=1&version=rv60,,
5,romanos,1,5,Salutación,"y por quien recibimos la gracia y el apostolado, para la obediencia a la fe en todas las naciones por amor de su nombre;",romanos_1_5,https://www.biblia.es/biblia-buscar-libros-1.php?libro=romanos&capitulo=1&version=rv60,,
6,romanos,1,6,Salutación,"entre las cuales estáis también vosotros, llamados a ser de Jesucristo;",romanos_1_6,https://www.biblia.es/biblia-buscar-libros-1.php?libro=romanos&capitulo=1&version=rv60,,
7,romanos,1,7,Salutación,"a todos los que estáis en Roma, amados de Dios, llamados a ser santos: Gracia y paz a vosotros, de Dios nuestro Padre y del Señor Jesucristo.",romanos_1_7,https://www.biblia.es/biblia-buscar-libros-1.php?libro=romanos&capitulo=1&version=rv60,,
8,romanos,1,8,Deseo de Pablo de visitar Roma,"Primeramente doy gracias a mi Dios mediante Jesucristo con respecto a todos vosotros, de que vuestra fe se divulga por todo el mundo.",romanos_1_8,https://www.biblia.es/biblia-buscar-libros-1.php?libro=romanos&capitulo=1&version=rv60,,
9,romanos,1,9,Deseo de Pablo de visitar Roma,"Porque testigo me es Dios, a quien sirvo en mi espíritu en el evangelio de su Hijo, de que sin cesar hago mención de vosotros siempre en mis oraciones,",romanos_1_9,https://www.biblia.es/biblia-buscar-libros-1.php?libro=romanos&capitulo=1&version=rv60,,
10,romanos,1,10,Deseo de Pablo de visitar Roma,"rogando que de alguna manera tenga al fin, por la voluntad de Dios, un próspero viaje para ir a vosotros.",romanos_1_10,https://www.biblia.es/biblia-buscar-libros-1.php?libro=romanos&capitulo=1&version=rv60,,
